"","y","classes","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"7799",1,"p","k","y","e","f","s","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","d"
"949",1,"e","f","f","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"996",1,"e","f","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"4120",1,"p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","g"
"6911",1,"e","x","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","n","o","p","o","c","l"
"380",1,"e","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"7664",1,"p","k","y","n","f","s","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","d"
"2532",1,"e","x","y","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","d"
"5793",1,"p","x","y","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p"
"345",1,"e","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"5279",1,"p","f","s","w","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","m"
"408",1,"e","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"5483",1,"p","f","s","w","t","f","f","c","b","p","t","b","s","f","w","w","p","w","o","p","h","s","u"
"5936",1,"p","b","y","y","f","n","f","c","n","w","e","?","k","y","w","n","p","w","o","e","w","v","d"
"2919",1,"e","x","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","d"
"5095",1,"p","x","f","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","d"
"6721",1,"p","f","s","e","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","d"
"1929",1,"e","f","s","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g"
"6113",1,"p","x","s","e","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"1704",1,"p","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"7932",1,"e","f","s","n","f","n","f","c","b","w","e","b","y","y","n","n","p","w","t","p","w","y","p"
"3204",1,"e","f","f","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","d"
"4178",1,"p","x","f","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"506",1,"p","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"3313",1,"e","f","y","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","d"
"8069",1,"e","f","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","o","o","p","b","c","l"
"199",1,"e","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"701",1,"p","x","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1041",1,"e","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","p"
"4069",1,"e","f","y","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","y","d"
"6422",1,"p","f","y","e","f","s","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","l"
"6584",1,"p","f","y","n","f","s","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"4239",1,"p","f","f","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","p"
"1944",1,"e","f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1996",1,"e","x","f","n","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1595",1,"e","x","f","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","g"
"6738",1,"p","x","y","e","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"1970",1,"e","f","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","g"
"3677",1,"e","f","y","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1473",1,"p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u"
"6291",1,"p","x","s","n","f","y","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","l"
"2452",1,"e","x","y","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","y","d"
"7315",1,"e","x","s","g","f","n","f","w","b","p","e","?","k","s","w","w","p","w","t","p","w","n","g"
"1384",1,"e","f","s","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1126",1,"e","x","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1518",1,"e","f","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"6317",1,"p","f","s","e","f","f","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"3995",1,"p","x","f","g","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","v","d"
"1163",1,"e","x","f","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"7104",1,"e","b","s","w","f","n","f","w","b","p","e","?","s","k","w","w","p","w","t","p","w","s","g"
"579",1,"e","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","g"
"2127",1,"e","x","f","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","y","d"
"1108",1,"e","f","f","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","g"
"5191",1,"p","f","y","p","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","g"
"725",1,"e","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","g"
"6577",1,"p","f","s","n","f","f","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"8113",1,"e","k","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","n","o","p","b","v","l"
"2909",1,"e","x","f","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","y","d"
"4101",1,"p","x","y","e","f","y","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","d"
"438",1,"e","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"2623",1,"e","x","f","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","y","d"
"7334",1,"p","k","s","e","f","y","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","d"
"3856",1,"e","f","y","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d"
"2708",1,"e","x","y","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","v","d"
"1059",1,"e","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"223",1,"e","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","g"
"3410",1,"e","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"4701",1,"p","f","y","y","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","p"
"1380",1,"e","f","f","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"6862",1,"p","f","y","n","f","y","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","l"
"2374",1,"e","x","f","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","v","d"
"4497",1,"p","x","s","g","t","f","f","c","b","p","t","b","f","s","w","w","p","w","o","p","h","v","g"
"2592",1,"e","x","y","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","v","d"
"4343",1,"p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"5053",1,"e","k","y","b","t","n","f","c","b","e","e","?","s","s","e","w","p","w","t","e","w","c","w"
"5186",1,"e","f","y","c","f","n","f","w","n","w","e","b","s","f","w","n","p","w","o","e","w","v","l"
"3662",1,"p","x","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p"
"4715",1,"p","f","f","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"2927",1,"p","x","f","g","f","f","f","c","b","g","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3177",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","d"
"7929",1,"p","k","y","n","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"7307",1,"e","f","s","n","f","n","a","c","b","n","e","?","s","s","o","o","p","o","o","p","o","c","l"
"1808",1,"e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","y","d"
"5844",1,"p","f","y","y","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","p"
"5444",1,"e","x","y","p","t","n","f","c","b","e","e","?","s","s","e","e","p","w","t","e","w","c","w"
"1295",1,"p","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g"
"7024",1,"p","k","s","e","f","y","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","d"
"3309",1,"e","x","y","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","y","d"
"4380",1,"e","f","y","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3932",1,"p","f","f","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","g"
"2034",1,"e","f","y","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","d"
"3838",1,"e","f","y","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","d"
"3701",1,"e","x","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","y","d"
"5510",1,"p","f","s","w","t","f","f","c","b","p","t","b","f","f","w","w","p","w","o","p","h","v","g"
"6494",1,"p","f","s","e","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l"
"2860",1,"e","x","f","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","d"
"1777",1,"e","x","f","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"4529",1,"p","x","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","g"
"2551",1,"e","x","y","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d"
"3374",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","d"
"15",1,"e","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"5305",1,"p","x","y","n","f","f","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","l"
"7759",1,"p","k","s","e","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","l"
"4558",1,"e","x","y","u","f","n","f","c","n","u","e","?","s","f","w","w","p","w","o","f","h","v","d"
"4252",1,"p","x","f","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3996",1,"p","x","y","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","g"
"7071",1,"p","k","s","n","f","s","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"5413",1,"p","f","y","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"87",1,"e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"4771",1,"p","x","f","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","d"
"1336",1,"e","x","f","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","d"
"4472",1,"p","f","f","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","p"
"2940",1,"e","x","y","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","y","d"
"1224",1,"e","f","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"3326",1,"e","f","y","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d"
"5780",1,"e","x","y","w","f","n","f","c","n","w","e","?","s","f","w","w","p","w","o","f","h","v","d"
"2017",1,"e","f","f","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"902",1,"e","x","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","g"
"6076",1,"p","x","s","e","f","f","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","d"
"3292",1,"e","f","f","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d"
"2101",1,"e","x","y","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","y","d"
"4363",1,"p","f","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","d"
"5229",1,"p","x","s","b","t","f","f","c","b","w","t","b","s","s","w","w","p","w","o","p","h","s","u"
"2615",1,"e","f","f","g","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d"
"5641",1,"e","k","s","n","t","n","f","c","b","e","e","?","s","s","w","e","p","w","t","e","w","c","w"
"3161",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"566",1,"p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1091",1,"e","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","y","u"
"2075",1,"p","x","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"5536",1,"p","x","y","n","f","f","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l"
"2466",1,"e","x","f","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"3022",1,"e","f","f","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","v","d"
"3759",1,"p","f","f","y","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","y","p"
"7367",1,"e","k","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","o","o","p","o","c","l"
"1782",1,"e","f","s","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","g"
"3331",1,"e","f","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"7646",1,"p","k","y","e","f","s","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
"6086",1,"p","f","y","n","f","s","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","d"
"6371",1,"p","f","s","n","f","f","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d"
"6046",1,"p","x","y","e","f","y","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","l"
"2041",1,"e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","y","d"
"5085",1,"p","x","f","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","p"
"191",1,"e","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"3542",1,"e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","d"
"2642",1,"e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","d"
"7569",1,"p","f","y","n","f","f","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","d"
"3249",1,"p","x","f","g","f","f","f","c","b","g","e","b","k","k","b","n","p","w","o","l","h","y","g"
"3560",1,"p","f","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","d"
"5682",1,"e","f","y","u","f","n","f","c","n","w","e","?","s","f","w","w","p","w","o","f","h","v","d"
"4144",1,"p","f","s","g","t","f","f","c","b","p","t","b","f","f","w","w","p","w","o","p","h","v","u"
"8039",1,"e","x","y","g","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p"
"112",1,"e","s","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u"
"6473",1,"p","x","s","e","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","l"
"4689",1,"p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","g"
"7620",1,"p","k","s","e","f","y","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d"
"4815",1,"p","k","f","n","f","n","f","c","n","w","e","?","k","y","w","n","p","w","o","e","w","v","d"
"6067",1,"p","f","s","e","f","f","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"711",1,"e","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","p"
"1222",1,"e","x","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","g"
"2282",1,"e","x","y","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1848",1,"e","x","y","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","d"
"374",1,"e","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"1253",1,"e","f","s","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","g"
"2618",1,"e","x","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","d"
"924",1,"e","x","s","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d"
"683",1,"e","x","f","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d"
"6467",1,"p","k","y","n","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"1846",1,"e","f","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"4423",1,"p","x","y","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","g"
"5986",1,"p","x","y","n","f","f","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","l"
"2117",1,"e","x","y","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"2937",1,"e","f","f","g","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","d"
"1555",1,"e","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","g"
"7507",1,"p","k","y","n","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l"
"116",1,"e","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","g"
"3796",1,"e","f","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d"
"6162",1,"p","x","s","e","f","s","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l"
"3742",1,"p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"1504",1,"e","x","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1053",1,"e","x","f","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","g"
"2319",1,"e","x","y","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","y","d"
"7599",1,"p","k","s","n","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"7286",1,"p","x","y","e","f","m","a","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"6280",1,"e","b","s","w","f","n","f","w","b","p","e","?","k","k","w","w","p","w","t","p","w","s","g"
"2783",1,"e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"3500",1,"e","f","y","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","v","d"
"2552",1,"e","f","f","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","y","d"
"4915",1,"p","f","s","g","t","f","f","c","b","p","t","b","f","s","w","w","p","w","o","p","h","s","g"
"5087",1,"p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","g"
"1760",1,"e","x","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"648",1,"e","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m"
"5236",1,"p","f","y","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","d"
"1687",1,"e","f","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"7341",1,"p","x","s","n","f","s","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","d"
"3390",1,"p","x","y","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","d"
"976",1,"e","x","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","g"
"7355",1,"e","b","s","w","f","n","f","w","b","g","e","?","s","k","w","w","p","w","t","p","w","n","g"
"6964",1,"p","x","s","n","f","y","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l"
"6588",1,"p","f","y","e","f","y","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","l"
"2902",1,"e","f","y","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","d"
"6136",1,"p","k","s","e","f","f","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"7143",1,"p","f","s","n","f","s","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","d"
"2216",1,"e","x","y","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d"
"5813",1,"p","f","s","g","t","f","f","c","b","h","t","b","s","s","w","w","p","w","o","p","h","s","g"
"6572",1,"p","x","s","e","f","s","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","d"
"5710",1,"p","x","y","e","f","y","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"2828",1,"e","f","f","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","d"
"914",1,"e","f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","g"
"2972",1,"e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","v","d"
"2924",1,"e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","y","d"
"5505",1,"e","x","y","b","t","n","f","c","b","w","e","?","s","s","w","e","p","w","t","e","w","c","w"
"4531",1,"p","x","y","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4524",1,"p","x","y","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","y","d"
"6986",1,"p","k","s","e","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"119",1,"e","x","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d"
"3543",1,"e","f","f","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","v","d"
"2085",1,"e","f","f","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g"
"6517",1,"p","x","s","n","f","y","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","l"
"1324",1,"p","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"4846",1,"p","x","s","w","t","f","f","c","b","p","t","b","f","f","w","w","p","w","o","p","h","v","g"
"2433",1,"e","x","f","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d"
"1546",1,"e","x","y","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","y","d"
"1700",1,"e","x","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","g"
"5704",1,"p","b","y","b","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","g"
"7865",1,"p","x","y","e","f","f","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"3948",1,"p","f","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","g"
"4436",1,"p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","g"
"1178",1,"e","f","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1943",1,"e","x","f","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"4637",1,"p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"6974",1,"p","f","y","n","f","s","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"1646",1,"e","x","f","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","g"
"3343",1,"e","f","f","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","v","d"
"938",1,"e","x","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"3129",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","v","d"
"7178",1,"p","k","s","n","f","f","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l"
"3832",1,"p","x","s","w","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","d"
"2083",1,"e","x","f","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","d"
"2369",1,"e","x","y","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3007",1,"e","f","f","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","d"
"330",1,"e","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g"
"2761",1,"e","f","y","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","y","d"
"846",1,"e","x","f","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"4793",1,"p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","d"
"1322",1,"p","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","g"
"3763",1,"e","f","y","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","y","d"
"5482",1,"e","k","s","p","t","n","f","c","b","e","e","?","s","s","w","w","p","w","t","e","w","c","w"
"8042",1,"p","k","y","e","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"680",1,"e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"6886",1,"p","x","s","e","f","y","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","d"
"7472",1,"p","k","y","e","f","f","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","d"
"3754",1,"p","x","s","g","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","d"
"4612",1,"e","f","y","b","t","n","f","c","b","w","e","?","s","s","w","w","p","w","t","e","w","c","w"
"4530",1,"p","f","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"5909",1,"p","x","s","g","t","f","f","c","b","w","t","b","f","f","w","w","p","w","o","p","h","v","g"
"253",1,"e","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","u"
"5811",1,"p","x","y","n","f","f","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","d"
