"","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","SeriousDlqin2yrs"
"1988",0,57,0,0,10580,1,0,0,0,3,0
"1989",0.005432338,85,0,0.303775241,2277,9,0,1,0,1,0
"2000",0.829695381,49,3,0.109257815,16666,7,0,0,0,0,0
"2005",0.085715721,72,0,0.996088657,2300,19,0,2,0,0,0
"2013",0.018788485,47,0,0.132889063,2550,8,0,0,0,0,0
"2014",0.006695361,61,0,1.289800051,3950,8,0,3,0,0,0
"2021",0.087624148,53,0,0.061787642,5000,11,0,0,0,0,0
"2025",0.116587117,68,0,0.225649814,3500,8,0,1,0,0,0
"2028",0.042477494,62,0,0.319951522,6600,20,0,1,0,0,0
"2053",0.067538998,39,0,0.197960408,5000,5,0,1,0,0,0
"2054",0.142270768,43,0,0.196408061,9576,10,0,2,0,1,0
"2057",0.076417737,56,0,0.479122622,7567,13,0,3,0,2,0
"2067",0.050862492,30,0,0.057407112,6270,7,0,0,0,0,0
"2068",0.24495896,51,0,0.306576797,19583,32,0,2,0,6,0
"2071",0,75,0,0,3900,6,0,0,0,0,0
"2072",0.026571029,49,0,0.385124697,4530,10,0,2,0,1,0
"2073",0.001147025,55,0,0.160637043,5085,5,0,1,0,0,0
"2074",0.122408342,55,0,0.413673036,11774,11,0,3,0,0,0
"2077",1.100042576,43,0,0.875308787,8500,23,0,2,0,2,0
"2079",0.255254595,41,5,0.433223825,7000,15,0,1,0,2,0
"2083",0.003058734,51,0,0.87291713,4500,6,0,3,0,0,0
"2084",0.010338439,44,0,0.143255456,10400,7,0,1,0,1,0
"2085",0.052627385,60,0,0.569539667,4083,9,0,2,0,0,0
"2110",0.99097264,49,1,0.321578325,9300,13,0,1,0,3,0
"2116",0.9999999,28,0,0.965574681,1800,4,1,1,0,0,0
"2117",0.002046664,63,0,0.000604961,4958,7,0,0,0,1,0
"2118",0.023033134,39,0,0.201438849,1250,19,0,0,0,0,0
"2137",0.610367636,24,0,0.107841498,5980,6,0,0,0,0,0
"2143",0,26,0,0.030570253,3401,2,0,0,0,2,0
"2145",0.194001621,38,0,0.292284619,6000,7,0,1,0,0,0
"2147",0.017941509,38,2,0.008746356,2400,6,0,0,0,0,0
"2153",0.017998909,46,0,0.406226926,8125,5,0,3,0,1,0
"2161",0.1246441,39,0,0.010427082,7000,4,0,0,1,0,0
"2173",0.0787432,46,1,0.444521594,7200,12,0,1,0,0,0
"2188",0.296113116,57,0,0.445092485,6000,10,0,2,0,0,0
"2194",0.721471104,44,0,0.605498957,8146,10,0,3,0,1,0
"2195",0.9999999,43,0,0,1500,0,0,0,0,1,0
"2208",0.129575207,46,0,0.436281859,2000,8,0,1,0,1,0
"2214",0.078154487,43,0,0.013047189,8200,5,0,0,0,0,0
"2221",0.05189827,54,0,0.19561152,8020,6,0,2,0,0,0
"2225",0.9999999,43,0,0.177489177,8084,3,0,1,0,3,0
"2233",0.08952507,64,0,1.05439756,5900,7,0,4,0,0,0
"2234",0.686052593,38,0,0.608762181,12416,13,0,2,0,4,0
"2236",0.046952439,88,0,0.004995317,3202,6,0,0,0,0,0
"2240",0.068458929,52,2,0.268017223,14166,15,0,2,0,2,0
"2242",0.343477203,44,0,0.607541605,4746,11,0,1,0,0,0
"2243",0.352709819,51,0,0.336153846,9099,12,0,1,0,0,0
"2247",0.554381521,55,0,0.29240434,1750,6,0,0,0,0,0
"2254",0.035299412,82,0,0.012597481,5000,5,0,0,0,0,0
"2264",0.939283608,41,0,0.36755715,15047,8,0,3,0,3,0
"2268",0.161098326,61,1,4.24750499,500,5,0,2,0,0,0
"2272",0.983206717,29,0,0.437281359,2000,5,0,0,0,0,0
"2277",0.050389389,48,2,1.281566694,3650,20,0,4,0,0,0
"2280",0,49,0,0.249166694,30300,9,0,2,0,2,0
"2285",0.040493066,77,0,0.006839453,8333,9,0,0,0,0,0
"2287",0.034311013,58,1,0.281594011,9083,13,0,2,0,3,0
"2303",0.649960368,32,0,0.226973684,3343,9,0,0,0,1,0
"2306",0.349041755,26,0,0.159730034,8000,6,0,1,0,0,0
"2324",0.496633991,36,1,0.562730627,4335,11,0,1,0,2,0
"2327",0.866427998,48,0,0.470346528,7300,11,0,2,1,0,0
"2329",0.061926812,47,0,0.475836018,9000,14,0,2,0,0,0
"2330",0,71,0,0.107277764,3970,3,0,0,0,0,0
"2335",0.001242159,55,0,0.668244949,3167,7,0,1,0,0,0
"2343",0.395219275,53,0,0.336858296,5200,4,0,1,0,1,0
"2344",0.031446107,34,0,0.069733249,4760,5,0,0,0,0,0
"2345",0.225670973,59,0,0.12903533,10500,9,0,2,0,0,0
"2360",0.072613379,49,0,0.167497414,10632,10,0,2,0,0,0
"2362",0.9999999,66,2,0,4052,0,1,0,1,1,0
"2364",0.11039724,70,0,0.129398148,12959,9,0,1,0,0,0
"2368",0.012432096,49,0,0.22628871,10300,4,0,1,0,0,0
"2372",0.017711682,78,0,0.010562052,2650,11,0,0,0,0,0
"2382",0.868918018,42,0,0.3098809,4533,6,0,0,0,1,0
"2387",0.006469691,59,0,0.309447507,7800,5,0,1,0,3,0
"2391",0.232280645,67,0,0.581693221,3200,13,0,1,0,0,0
"2396",0.871928518,72,0,1.131696429,3583,8,0,3,0,0,0
"2399",0.803361604,40,1,1.551368421,4749,9,0,2,0,2,0
"2400",0.263756764,62,0,0.13093991,10500,11,0,0,0,0,0
"2401",0.021961486,77,0,0.011322011,3002,5,0,0,0,0,0
"2403",0.582609275,59,0,0.393430328,6666,6,0,1,0,0,0
"2405",0.540432446,44,0,2.326673327,1000,6,0,1,0,0,0
"2407",0.108775974,37,0,0.196577672,9700,3,0,1,0,0,0
"2415",0.01545427,36,0,0.614824447,3844,9,0,2,0,0,0
"2418",0.9999999,39,0,0.048475762,2000,1,0,0,0,1,0
"2420",0.951566952,29,1,0.028248588,530,3,0,0,0,0,0
"2424",0.014696299,90,0,0.050138313,5783,3,0,0,0,0,0
"2425",0.400926267,60,2,0.436063642,1696,3,0,0,0,1,0
"2428",0.9999999,51,0,0.081507113,2600,4,0,0,1,2,0
"2429",0.626059232,58,0,0.859134415,4805,11,0,2,0,1,0
"2435",0.838949033,38,0,0.300843486,3200,5,0,1,0,2,0
"2438",0.425072804,35,1,2461,0,8,0,1,0,3,0
"2439",0.054187657,51,0,0.508230173,7350,9,0,3,0,0,0
"2446",0.123699584,30,0,0.050610574,14166,10,0,0,0,0,0
"2448",0.180352456,65,1,0.439140215,4000,6,0,1,0,2,0
"2478",0.08551829,38,0,0.469489201,5833,9,0,2,0,2,0
"2489",0.22075861,26,0,0.129548181,2500,4,0,0,0,0,0
"2497",0.872689938,40,0,0.107948244,2704,3,0,0,1,0,0
"2509",0.034838646,70,0,0.482991431,3850,10,0,1,0,1,0
"2510",0.971805639,27,0,0.434885556,3800,4,0,1,0,0,0
"2512",0.01953334,79,0,0.372073101,3501,14,0,1,0,0,0
"2518",0.24198285,41,0,0.266269076,5700,6,0,2,0,2,0
"2519",0.665666705,55,0,0.886119467,2326,5,0,1,0,0,0
"2531",0.428103981,54,1,0.041947273,43506,7,1,1,1,1,0
"2532",0.616779036,53,0,0.99705917,8500,25,0,2,0,3,0
"2533",0.021999154,53,0,3.411043736,7750,8,0,0,0,0,0
"2535",0.045710095,68,0,0.005828397,10465,4,0,0,0,0,0
"2538",0.019853938,37,2,0.452934662,5417,15,0,2,0,2,0
"2542",0.251533543,69,1,0.377009839,4166,10,0,1,0,3,0
"2547",0.133811291,39,2,0.449137716,4000,11,0,1,0,0,0
"2550",0.195745763,54,0,0.30931543,8340,14,0,2,0,0,0
"2552",0.934503163,58,0,1.775858097,4340,7,0,2,0,0,0
"2558",0.184787698,63,0,0.203436051,11000,7,0,1,0,1,0
"2571",0.000666622,62,0,0.492706645,1850,4,0,1,0,0,0
"2574",0.078069481,46,0,0.371661602,6252,7,0,1,0,6,0
"2581",0.217849739,68,0,0.547308879,5833,17,0,1,0,1,0
"2583",0.386692876,39,0,0.420430487,5667,8,0,2,0,0,0
"2584",0.228602456,53,0,0.285742851,5000,13,0,1,0,4,0
"2598",0.0304617,43,0,0.526973547,4800,18,0,1,0,0,0
"2603",0.062731242,63,0,0.01599543,3500,11,0,0,0,0,0
"2604",0.004391179,63,0,0.007065217,1839,10,0,0,0,0,0
"2606",0.97386806,45,0,1.156143924,1472,8,0,0,0,0,0
"2613",0.034080493,44,0,0.12720633,11500,6,0,1,0,5,0
"2620",0.003796893,64,0,0.807612743,4833,13,0,1,0,0,0
"2659",0.093697951,65,0,0.229330709,5079,10,0,2,0,1,0
"2660",0.289707521,59,2,1.015733626,5465,12,0,1,0,0,0
"2664",0.000545435,74,0,0.221796866,8358,9,0,2,0,0,0
"2665",0.172171709,61,0,0.501982161,4035,12,0,1,0,0,0
"2667",0.00500864,49,0,0.007664112,3000,12,0,0,0,0,0
"2688",0.408091063,37,0,0.272795105,6700,7,0,2,0,1,0
"2689",0.020155108,53,0,0.006778452,5605,8,0,0,0,4,0
"2692",0.141831239,52,0,0.120787921,10000,7,0,1,0,0,0
"2699",0.00564573,83,0,0.140437544,1416,2,0,0,0,0,0
"2701",0.023247094,31,0,0.32183908,2000,3,0,0,0,0,0
"2707",0,36,0,0.331160011,3680,4,0,1,0,0,0
"2708",0.396992488,50,0,0.447897922,12225,26,0,6,0,1,0
"2710",0.637290773,53,0,0.345851462,13100,11,0,3,0,2,0
"2713",0.754010532,41,0,0.332891749,5283,10,0,0,0,1,0
"2714",0.031549211,76,0,0.194061506,6600,12,0,1,0,0,0
"2725",0.322755214,56,0,0.381492491,12783,17,0,2,0,2,0
"2728",0,59,0,0.133923788,28000,11,0,2,0,2,0
"2729",0.054343891,44,0,0.430087154,7916,14,0,3,0,1,0
"2732",0.152408871,73,0,0.231501762,10500,17,0,2,0,0,0
"2736",0.189262358,55,0,0.193277311,6782,14,0,0,0,0,0
"2749",0.016178259,49,0,0.590811711,4200,9,0,1,0,0,0
"2758",0.121546961,46,0,0.321971683,1906,6,0,0,0,3,0
"2762",0.9999999,35,0,0.25461579,5686,1,0,1,0,4,0
"2765",0.9999999,72,0,0.129304599,4500,1,0,0,0,1,0
"2767",0.182827028,35,0,0.389559797,7700,7,0,1,0,0,0
"2771",0.9999999,82,4,20.94513716,400,4,0,0,1,0,0
"2773",0.956452431,41,1,0.661167788,4606,9,0,2,0,2,0
"2776",0.904417387,51,0,0.133275513,3458,2,0,0,0,0,0
"2777",0.107475574,44,0,0.332037217,7200,6,0,2,0,2,0
"2778",0.062633926,69,0,0.285810583,8900,11,0,1,0,0,0
"2783",0.265890112,30,2,0.476702509,5300,10,0,2,0,1,0
"2784",0.414619513,56,0,0.126692336,8050,7,0,0,0,0,0
"2785",0.14914181,56,0,0.006781429,3833,1,0,0,0,0,0
"2787",0.040994617,45,0,0.880730782,2900,12,0,1,0,0,0
"2788",0.9999999,28,0,0.175412294,2000,1,0,0,0,0,0
"2799",0.041632811,60,0,0.311527357,14200,17,0,2,0,1,0
"2800",0.587155129,61,1,0.432733302,4221,8,0,1,0,1,0
"2808",0.394727467,56,0,2.468265867,2000,29,0,2,0,0,0
"2816",0.833881357,63,0,0.336943843,6000,8,0,0,0,0,0
"2818",0.312832708,58,0,0.823362773,6000,9,0,3,0,0,0
"2819",0.072963518,40,1,0.199000454,2200,3,0,0,0,0,0
"2823",0.9999999,49,1,1.093632959,800,2,1,1,0,0,0
"2827",0.946601335,60,0,1.226285714,2624,5,0,1,0,0,0
"2832",0.367991637,89,0,0.281906031,3000,5,0,1,0,0,0
"2845",0.013563189,30,0,0.005175601,5409,8,0,0,0,0,0
"2848",0.029096662,57,0,0.163274052,4666,8,0,1,0,1,0
"2851",0.463538921,43,0,0.531346865,10000,12,0,2,0,2,0
"2873",0.034838618,75,0,0.314457029,1500,8,0,0,0,0,0
"2875",0.9999999,46,0,0.556147951,3000,3,0,2,0,3,0
"2877",0,66,0,0,6000,6,0,0,0,1,0
"2882",0.993335555,31,0,0.068227425,4484,6,0,0,0,1,0
"2887",0.024234047,85,0,0.008925107,5153,6,0,0,0,0,0
"2897",0.9999999,35,0,0.321011673,3083,9,0,0,0,0,0
"2906",0.462811546,29,0,0.2264941,2626,4,0,0,0,0,0
"2921",0.056842052,53,1,0.245716952,15000,14,0,1,0,0,0
"2922",0.026555705,39,0,0.580066656,6300,15,0,2,0,2,0
"2926",0,35,0,0.559626437,4175,6,0,1,0,0,0
"2928",0.00474256,65,0,0.005380477,1300,8,0,0,0,0,0
"2930",0.419053964,52,0,1.03327787,600,3,0,1,0,0,0
"2931",0.288063505,62,0,0.324267573,10000,19,0,0,0,2,0
"2938",0.004768986,71,0,0.112142057,6250,6,0,1,0,0,0
"2941",0.202055336,52,0,0.466586672,10833,22,0,2,0,0,0
"2949",0.035492387,81,0,0.206376414,5833,5,0,1,0,0,0
"2953",0.19649219,61,0,0.262934266,4000,12,0,0,0,0,0
"2954",0.014505818,68,0,1.34156051,1255,20,0,3,0,0,0
"2960",0.9999999,31,1,0,5416,1,0,0,0,0,0
"2965",0.117295276,57,0,0.387864161,5800,9,0,2,0,1,0
"2969",0.175079894,85,0,0.501666296,4500,9,0,1,0,0,0
"2971",0.026583936,38,0,0.437380218,12000,14,0,2,0,0,0
"2979",1.045969354,23,0,0.133398247,3080,6,0,0,0,1,0
"2981",0,56,0,0.23094297,7083,19,0,1,0,1,0
"2993",0.9999999,34,1,0.158460385,4000,3,0,0,0,0,0
"2994",0,45,0,563,1,4,0,1,0,2,0
"3000",0.371739754,58,0,0.080833865,4700,8,0,0,0,0,0
"3004",0.107926872,70,0,0.533379027,7294,7,0,2,0,0,0
"3012",0.038451528,73,0,0.137536102,10040,13,0,1,0,1,0
"3018",0.433910381,27,0,1.210457516,764,5,0,0,0,0,0
"3028",0.098766205,67,0,0.652658885,3854,15,0,2,0,0,0
"3037",0.003413846,88,0,0.000799872,6250,6,0,0,0,0,0
"3047",0.543903306,53,0,0.114359415,4651,8,0,0,0,0,0
"3056",0.9999999,64,0,0.089965398,2600,3,0,0,0,0,0
"3061",0.568589312,45,0,0.18075915,10300,10,0,0,0,3,0
"3065",0.412782989,62,2,0.609199459,17000,17,0,6,0,2,0
"3070",0.0721031,62,0,0.429285504,3400,10,0,2,0,0,0
"3071",0,31,1,0.194046808,4400,10,0,0,0,1,0
"3083",0.775074655,70,0,0.432859762,4363,7,0,1,0,0,0
"3084",0.043265224,51,0,0.348266459,7700,9,0,1,0,0,0
"3089",0.008873461,36,0,0.568638984,8500,8,0,1,0,1,0
"3095",0.230353121,53,0,0.406063538,6200,14,0,2,0,1,0
"3097",0.080323777,42,0,0.327798607,5600,10,0,2,0,1,0
"3098",0.402876812,48,1,0.351909523,6100,10,0,2,0,1,0
"3111",0.9999999,74,0,0,3000,0,0,0,0,0,0
"3113",0.330966973,37,0,1.011661808,2400,13,0,0,0,3,0
"3115",0.849140459,49,0,0.452035887,7244,9,0,1,0,1,0
"3117",0.464688971,29,0,0.13034188,6083,9,0,0,0,0,0
"3118",0.195936866,53,0,0.14022565,8685,5,0,1,0,1,0
"3120",0.100351248,43,0,0.614004879,6968,13,0,2,0,0,0
"3121",0.871285721,53,0,0.600255292,9400,14,0,3,0,1,0
"3125",0.489206517,37,0,0.291077155,5300,6,0,2,0,0,0
"3126",0.516717609,47,0,0.312239485,15833,18,0,3,0,0,0
"3133",0.543340538,47,0,0.149738696,4400,11,0,0,0,2,0
"3134",0.014378817,73,3,0.007105043,7177,9,0,0,0,0,0
"3139",0.029836632,52,0,0.165931611,17458,12,0,1,0,0,0
"3153",0.249927286,50,0,0.341858946,9187,13,0,2,0,2,0
"3160",0.381983023,35,0,0.165254773,7908,8,0,0,0,0,0
"3161",0.9999999,60,0,0.282543491,5000,7,0,2,0,0,0
"3169",0.354257179,56,1,0.586470964,4700,10,0,3,0,1,0
"3172",0.066833664,57,0,0.830774152,3125,29,0,2,0,1,0
"3178",0.97921867,39,0,1.154153811,8750,12,0,4,0,0,0
"3180",0.069944884,44,0,0.415265414,6065,4,0,1,0,0,0
"3193",0.004868908,74,0,0.17946388,2200,24,0,1,0,0,0
"3198",0.443159803,44,0,0.324150189,4500,6,0,1,0,4,0
"3207",0.027451581,53,0,0.288525631,6300,8,0,2,0,2,0
"3208",0.939412299,36,0,0.038733861,2400,2,0,0,0,0,0
"3215",0.000602003,69,0,3.312134218,2562,28,0,1,0,0,0
"3221",1.052732045,45,0,0.352516268,16750,12,0,2,0,3,0
"3222",0.095452274,27,0,0.160313502,2806,3,0,0,0,0,0
"3223",0.277925732,46,0,0.207083545,5900,8,0,0,0,0,0
"3229",0.028589227,71,0,0.002063328,12600,5,0,0,0,0,0
"3239",0.08298868,49,0,0.323675693,12666,8,0,2,0,0,0
"3241",0.03079824,53,0,0.084143024,5145,5,0,0,0,0,0
"3242",0.9999999,24,0,0.057221648,2900,1,0,0,0,0,0
"3249",0.977022855,36,0,1.327948796,6561,33,0,1,0,1,0
"3253",0.01379954,75,0,0.274545091,5000,4,0,2,0,0,0
"3266",0.174639739,60,0,0.031564155,9250,3,0,0,0,0,0
"3268",0.73719295,75,0,0.238113949,2544,7,0,0,0,0,0
"3270",0.007661595,71,0,0.110903759,3750,11,0,0,0,0,0
"3272",0.388906111,85,0,0.089347685,17000,8,0,0,0,0,0
"3273",0.022531736,53,0,0.443826799,3417,6,0,1,0,1,0
"3276",0.069592349,61,1,0.265323924,12610,18,0,1,0,3,0
"3282",0.013066834,80,0,0.332396126,3200,24,0,0,0,0,0
"3283",0.042710156,68,0,0.652669466,5000,28,0,2,0,1,0
"3284",0.018946601,46,0,0.922447389,2565,10,0,1,0,1,0
"3288",0.291880967,37,0,0.082702471,7000,4,0,0,0,0,0
"3291",0.095514247,48,1,0.194565345,8500,14,0,1,0,4,0
"3305",0.054857177,91,0,0.013623297,8000,5,0,0,0,1,0
"3313",0.954030646,46,0,0.113342258,2240,3,0,0,0,2,0
"3316",0.075773639,50,0,0.509926098,6900,20,0,1,0,1,0
"3321",0.920668743,46,1,0.315042926,2678,5,1,0,0,1,0
"3324",0.034553771,61,0,0.046936115,2300,5,0,0,0,1,0
"3332",0.847757783,34,0,0.097468771,6083,9,0,0,0,0,0
"3334",0.021949616,85,0,0.021991204,2500,6,0,0,0,0,0
"3338",0.098828723,39,0,0.251961237,6500,9,0,1,0,3,0
"3351",0.161307564,59,1,0.4827452,7707,14,0,3,0,0,0
"3361",0.254401202,52,1,0.218390294,22500,11,0,5,0,1,0
"3363",8.851851852,34,0,0.168537586,12916,7,0,1,0,0,0
"3364",0.726759759,55,0,0.65170345,9333,9,0,3,0,2,0
"3370",0.393811455,30,0,0.36372679,6031,15,0,2,0,1,0
"3374",0.05064815,64,2,0.703986429,4715,16,0,4,0,1,0
"3384",0.00585603,47,0,0.280813653,5800,7,0,2,0,0,0
"3390",0.604181008,36,0,0.526868283,4000,14,0,1,0,1,0
"3391",0.06912495,45,0,0.092568784,11666,11,0,1,0,1,0
"3393",0.097883099,48,0,0.477771307,5150,10,0,1,0,1,0
"3398",1.059850374,28,0,0.005466615,2560,2,0,0,1,3,0
"3401",0.9999999,29,0,0.093391856,4100,3,0,0,0,0,0
"3417",0.677003892,55,1,0.692041061,7500,11,0,2,0,2,0
"3421",0.226663103,53,0,0.334775087,5779,7,0,1,0,1,0
"3427",0.725263608,27,0,0.408692104,4900,9,0,0,0,0,0
"3434",0.750419051,45,0,0.679092382,3084,6,0,0,0,0,0
"3463",0.007465671,74,0,0.239940755,4050,5,0,1,0,0,0
"3471",0.066199547,44,0,0.77967298,8500,8,0,2,0,1,0
"3473",0,47,1,0.025060491,5785,5,0,0,0,2,0
"3475",0.570476261,31,0,0.775545852,3434,6,0,1,0,1,0
"3481",0.221477852,27,0,1.178547635,1500,4,0,1,0,1,0
"3482",0.530154215,45,0,0.255048409,7229,4,0,2,0,2,0
"3484",0.823627288,32,0,0.08041958,857,4,0,0,0,0,0
"3503",0.103944803,84,0,0.022134952,2800,3,0,0,0,0,0
"3514",0.03775226,61,0,0.391102739,6900,19,0,2,0,1,0
"3515",0.825230901,40,0,0.338748385,5416,7,1,0,0,0,0
"3523",0.030738174,70,0,0.379137691,3594,10,0,3,0,0,0
"3530",0.675300193,87,0,0.549973276,3741,9,0,1,0,0,0
"3552",0.941640379,41,1,0.410281147,7255,11,0,0,0,4,0
"3559",0.14415664,47,1,0.20748271,12000,5,0,1,0,2,0
"3562",0.22645157,43,0,1.633354154,1600,4,0,1,0,6,0
"3563",0.063867285,75,0,0.049089124,9166,5,0,1,0,0,0
"3565",0,64,0,0.304316233,6880,6,0,2,0,0,0
"3566",0.033715694,48,0,0.324168958,4000,12,0,1,0,1,0
"3569",0.899164887,67,2,0.35400873,13058,7,0,1,0,0,0
"3577",0.9999999,61,0,0.00921731,6400,1,0,0,0,0,0
"3583",0.663486051,37,0,0.023032939,37250,10,0,0,0,0,0
"3588",0.584510387,55,0,0.347070283,6672,5,0,1,0,3,0
"3593",0.057547123,40,0,0.246459481,5083,7,0,2,0,0,0
"3606",0.157116451,54,0,0.69062441,5300,7,0,1,0,2,0
"3607",0.009666022,59,0,0.000363603,11000,6,0,0,0,1,0
"3613",0.245250678,42,0,0.404856688,2511,10,0,1,0,3,0
"3614",0.000843361,64,0,0.269485253,8916,9,0,2,0,0,0
"3615",0.20164939,59,0,0.469921105,4055,6,0,1,0,0,0
"3632",0.004928219,46,0,0.00159936,2500,5,0,0,0,0,0
"3639",0.050223465,63,0,0.179373125,9666,6,0,1,0,1,0
"3640",0.343239713,66,0,0.404438406,4415,9,0,0,0,0,0
"3649",0.225144629,47,0,0.294877711,6500,11,0,1,0,1,0
"3661",0,61,0,0.283516653,13000,11,0,2,0,1,0
"3666",0.08460101,57,0,0.214973804,5916,10,0,1,0,1,0
"3669",0.297772162,65,0,0.696185515,5950,18,0,5,0,0,0
"3673",0.699102084,40,0,0.459542431,13680,10,0,2,0,3,0
"3680",0.245236427,64,0,0.23208707,9922,14,0,2,0,0,0
"3683",0.412729364,37,1,0.274509804,2345,6,0,0,0,2,0
"3684",0.155084492,35,0,0.257376466,5625,6,0,2,0,0,0
"3692",0.110696941,74,0,0.313345091,1700,6,0,0,0,0,0
"3699",0.381665458,45,0,0.688577856,4000,9,0,2,0,3,0
"3701",0.576351207,65,0,0.301519757,6579,9,0,1,0,1,0
"3710",0,22,0,0,820,2,0,0,0,0,0
"3715",0.090875107,30,1,0.144758735,600,5,0,0,0,0,0
"3722",0.830042489,41,1,0.405998696,4600,7,0,1,1,2,0
"3731",0.053165401,64,0,0.014397906,4583,6,0,0,0,0,0
"3736",0.164962002,57,0,0.206499294,9200,11,0,1,1,2,0
"3740",0.669604271,51,2,0.307791372,3105,15,1,0,0,1,0
"3742",0.421478926,47,0,0.242261498,10240,6,0,1,0,6,0
"3751",0.224955009,50,1,0.670183232,1800,6,0,0,0,2,0
"3752",0.9999999,30,0,0.156959934,2420,1,1,0,0,0,0
"3754",0.056809275,40,0,0.527457314,6500,10,0,3,0,0,0
"3761",0.053319885,43,1,0.207120253,6319,9,0,1,0,0,0
"3763",0.632867632,62,0,0.605239476,10000,9,0,2,0,0,0
"3770",0.726072744,48,0,0.451581028,7083,11,0,2,0,1,0
"3777",0.038855909,48,0,0.197450637,4000,7,0,1,0,0,0
"3782",0.410789169,48,0,0.41025641,4094,15,0,0,0,0,0
"3783",0,43,0,0.501119236,6700,5,0,3,0,0,0
"3784",0.244432324,33,0,0.106616585,3460,6,0,0,0,0,0
"3785",0.302498267,60,0,0.187178545,5443,6,0,1,0,1,0
"3789",0.02519944,64,0,0.420566355,8333,3,0,1,0,3,0
"3792",0.60801076,57,1,0.963672721,6000,11,0,1,0,1,0
"3805",0.007499886,76,0,0.003998934,3750,17,0,0,0,0,0
"3809",0.013499663,48,0,0.231213277,9700,13,0,2,0,2,0
"3817",0.043856312,59,0,0.363251738,3308,16,2,1,0,2,0
"3822",0.162101134,65,0,0.043440857,131350,17,0,1,0,1,0
"3827",0.175621796,48,0,0.033405384,45800,4,0,1,0,0,0
"3831",0.142831996,58,1,0.488478385,5250,29,0,1,0,2,0
"3833",0.392633947,36,1,0.732021928,3100,7,0,2,0,3,0
"3837",0.003460596,47,0,0.301139772,3333,11,0,1,0,0,0
"3843",0.838989727,34,0,0.65514369,2400,3,0,0,0,0,0
"3861",0.07916025,45,0,0.670217633,15300,22,0,4,0,3,0
"3868",0,45,0,0,2000,2,0,0,0,0,0
"3874",0.277827606,81,0,0.508862018,6036,30,0,2,0,0,0
"3882",0.015617898,40,0,0.435764035,11916,8,0,4,0,2,0
"3883",0.383233533,23,0,0.006090134,820,2,0,0,0,0,0
"3885",0.058416154,29,0,0.299711296,5541,10,0,0,0,0,0
"3889",0.140469831,63,0,0.033983008,2000,6,0,0,0,0,0
"3894",1.020489755,40,1,0.35151959,2730,5,0,0,0,1,0
"3896",0,63,0,0.277066667,7499,4,0,2,0,0,0
"3903",0.168815944,46,0,0.369792456,6600,8,0,2,0,2,0
"3907",0.111554933,65,0,0.105062921,6833,18,0,0,0,0,0
"3910",0.007683603,43,0,0.139188865,12500,20,0,2,0,0,0
"3916",0.256193756,57,0,0.146239554,5025,8,0,1,0,2,0
"3919",0.042296246,42,0,0.268591772,7583,13,0,2,0,3,0
"3922",0.071308043,29,0,0.311768851,7094,8,0,2,0,0,0
"3928",0,66,0,0,5000,7,0,0,0,0,0
"3929",0.9999999,60,0,0.249875062,2000,1,0,0,0,0,0
"3932",0.886673535,32,0,0.131073785,3333,4,0,0,0,2,0
"3935",0.190710166,64,0,0.470994248,6084,18,0,0,0,0,0
"3936",0.158058065,38,0,0.203689816,6666,12,0,2,0,0,0
"3943",0.23516069,45,0,0.402213038,7500,14,0,1,0,0,0
"3948",0.576143046,46,0,0.218761362,8250,7,0,0,1,0,0
"3990",0.003764003,77,0,0.00359928,5000,9,0,0,0,0,0
"3991",0.133706487,57,0,0.122250785,3500,7,0,0,0,2,0
"3998",0.070948744,39,0,0.513435821,8000,8,0,1,0,0,0
"4002",0.278630494,53,0,0.474600871,6200,12,0,1,0,1,0
"4004",0.089662397,54,1,1.074288471,2072,10,0,1,0,1,0
"4007",0.580627842,74,0,0.454590902,6000,10,0,1,0,0,0
"4008",0.053618841,50,1,1.244510978,1001,8,0,2,0,0,0
"4009",0.983813378,51,0,0.151426286,3750,7,1,0,0,0,0
"4014",0.036624253,87,0,0.854267311,2483,11,0,1,0,0,0
"4015",0.134304106,36,0,0.29696288,5333,13,0,1,0,1,0
"4016",0,59,1,0.774890044,2500,8,0,1,0,0,0
"4017",0.439141912,63,1,0.451043876,8956,12,0,3,0,1,0
"4018",0.498957324,63,0,1.333161689,1941,17,0,2,0,0,0
"4020",0.213922299,63,0,0.297075078,7418,13,0,1,0,0,0
"4023",0.289410777,72,0,0.436123348,5674,13,0,2,0,0,0
"4025",0.993480261,47,0,0.443288241,11531,5,0,2,0,0,0
"4029",0.091965052,54,0,0.270208356,9166,7,0,1,0,0,0
"4035",0.373492571,61,0,0.44927343,7500,9,0,1,0,1,0
"4038",0.466153846,64,8,13.31223629,236,8,0,2,2,0,0
"4039",0,50,0,0.205715826,3708,10,0,2,0,1,0
"4041",0.017899494,49,0,0.356264374,10000,13,0,2,0,0,0
"4047",0.007623915,88,0,0.002504174,9583,5,0,0,0,1,0
"4052",0.115187624,65,1,0.480803839,3333,8,0,1,0,0,0
"4053",0.446083512,51,0,0.69971982,8208,10,0,3,0,1,0
"4067",0,59,0,0.207597646,14951,4,0,1,0,1,0
