"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","Class"
"2804",46,"technician","married","secondary","no",1029,"yes","no","unknown",14,"may",142,1,-1,0,"unknown",1
"2805",47,"technician","divorced","secondary","no",4135,"yes","no","unknown",14,"may",283,8,-1,0,"unknown",1
"2817",45,"management","single","tertiary","no",1088,"no","no","unknown",14,"may",132,1,-1,0,"unknown",1
"2819",52,"blue-collar","single","secondary","no",1541,"yes","no","unknown",14,"may",243,1,-1,0,"unknown",1
"2825",41,"services","married","secondary","no",4505,"yes","no","unknown",14,"may",108,2,-1,0,"unknown",1
"2826",57,"management","married","tertiary","no",0,"yes","no","unknown",14,"may",124,1,-1,0,"unknown",1
"2830",33,"technician","single","secondary","no",261,"yes","no","unknown",14,"may",622,1,-1,0,"unknown",1
"2832",39,"management","divorced","tertiary","no",517,"yes","yes","unknown",14,"may",1328,1,-1,0,"unknown",2
"2833",50,"services","married","secondary","no",2956,"yes","no","unknown",14,"may",686,1,-1,0,"unknown",1
"2837",52,"services","married","secondary","no",2257,"yes","no","unknown",14,"may",203,1,-1,0,"unknown",1
"2838",42,"admin.","single","secondary","no",277,"yes","no","unknown",14,"may",121,1,-1,0,"unknown",1
"2845",40,"technician","married","secondary","no",503,"yes","no","unknown",14,"may",127,3,-1,0,"unknown",1
"2847",59,"retired","married","secondary","no",2516,"yes","yes","unknown",14,"may",282,1,-1,0,"unknown",1
"2848",48,"housemaid","married","tertiary","no",468,"yes","no","unknown",14,"may",220,1,-1,0,"unknown",1
"2851",49,"unemployed","married","secondary","no",769,"yes","no","unknown",14,"may",257,1,-1,0,"unknown",1
"2868",53,"blue-collar","married","secondary","no",5700,"yes","no","unknown",14,"may",97,1,-1,0,"unknown",1
"2869",46,"admin.","married","secondary","no",3028,"yes","yes","unknown",14,"may",116,1,-1,0,"unknown",1
"2870",45,"entrepreneur","married","primary","no",2418,"yes","no","unknown",14,"may",120,1,-1,0,"unknown",1
"2879",45,"blue-collar","married","primary","no",626,"yes","no","unknown",14,"may",68,1,-1,0,"unknown",1
"2887",54,"blue-collar","married","secondary","no",1765,"yes","no","unknown",14,"may",188,1,-1,0,"unknown",1
"2895",41,"admin.","married","secondary","no",1309,"yes","no","unknown",14,"may",568,1,-1,0,"unknown",1
"2902",45,"blue-collar","married","primary","no",246,"yes","no","unknown",14,"may",263,1,-1,0,"unknown",1
"2913",34,"unemployed","single","secondary","no",9,"yes","no","unknown",14,"may",153,2,-1,0,"unknown",1
"2920",40,"blue-collar","divorced","secondary","no",2540,"yes","no","unknown",14,"may",189,1,-1,0,"unknown",1
"2937",49,"blue-collar","married","primary","no",0,"yes","no","unknown",14,"may",151,2,-1,0,"unknown",1
"2940",41,"technician","married","secondary","no",1043,"yes","yes","unknown",14,"may",225,1,-1,0,"unknown",1
"2941",41,"services","married","secondary","no",890,"yes","no","unknown",14,"may",829,1,-1,0,"unknown",1
"2943",52,"entrepreneur","married","tertiary","no",618,"yes","yes","unknown",14,"may",166,2,-1,0,"unknown",1
"2944",40,"blue-collar","married","secondary","no",1313,"no","no","unknown",14,"may",87,1,-1,0,"unknown",1
"2954",31,"management","married","secondary","no",6943,"yes","no","unknown",14,"may",109,1,-1,0,"unknown",1
"2959",52,"blue-collar","single","primary","no",2024,"yes","no","unknown",14,"may",314,1,-1,0,"unknown",1
"2962",28,"blue-collar","married","secondary","no",1238,"yes","no","unknown",14,"may",246,1,-1,0,"unknown",1
"2964",40,"admin.","divorced","secondary","no",1000,"yes","no","unknown",14,"may",98,1,-1,0,"unknown",1
"2967",36,"management","single","tertiary","no",-38,"yes","no","unknown",14,"may",784,1,-1,0,"unknown",1
"2969",41,"entrepreneur","married","tertiary","no",221,"yes","no","unknown",14,"may",57,2,-1,0,"unknown",1
"2971",40,"entrepreneur","married","secondary","no",1416,"yes","no","unknown",14,"may",210,2,-1,0,"unknown",1
"2974",44,"blue-collar","married","secondary","no",1944,"yes","no","unknown",14,"may",222,5,-1,0,"unknown",1
"2977",50,"blue-collar","married","secondary","no",2087,"yes","no","unknown",14,"may",371,1,-1,0,"unknown",1
"2982",33,"admin.","single","secondary","no",1613,"yes","no","unknown",14,"may",565,1,-1,0,"unknown",1
"2987",49,"services","married","secondary","no",892,"no","no","unknown",14,"may",102,2,-1,0,"unknown",1
"2989",57,"technician","married","secondary","no",3240,"yes","no","unknown",14,"may",129,2,-1,0,"unknown",1
"2991",57,"retired","married","secondary","no",3545,"yes","no","unknown",14,"may",138,2,-1,0,"unknown",1
"2995",46,"blue-collar","married","primary","no",501,"yes","no","unknown",14,"may",230,2,-1,0,"unknown",1
"2997",42,"blue-collar","married","secondary","no",3743,"yes","no","unknown",14,"may",136,1,-1,0,"unknown",1
"3001",41,"services","married","primary","no",455,"yes","no","unknown",14,"may",80,1,-1,0,"unknown",1
"3012",36,"services","married","secondary","no",338,"no","no","unknown",14,"may",90,1,-1,0,"unknown",1
"3019",34,"blue-collar","married","secondary","no",683,"yes","no","unknown",14,"may",245,2,-1,0,"unknown",1
"3026",44,"admin.","married","secondary","no",447,"yes","yes","unknown",14,"may",106,5,-1,0,"unknown",1
"3028",36,"admin.","married","secondary","no",998,"yes","no","unknown",14,"may",1044,2,-1,0,"unknown",1
"3034",50,"admin.","divorced","secondary","yes",-500,"yes","no","unknown",14,"may",148,3,-1,0,"unknown",1
"3036",43,"technician","married","secondary","no",672,"yes","no","unknown",14,"may",267,8,-1,0,"unknown",1
"3047",47,"services","divorced","secondary","no",430,"yes","yes","unknown",14,"may",335,1,-1,0,"unknown",1
"3049",51,"blue-collar","married","primary","no",111,"yes","no","unknown",14,"may",140,1,-1,0,"unknown",1
"3051",43,"services","married","secondary","no",823,"yes","no","unknown",14,"may",293,3,-1,0,"unknown",1
"3056",44,"management","married","tertiary","no",474,"yes","yes","unknown",14,"may",183,4,-1,0,"unknown",1
"3065",29,"admin.","married","secondary","no",387,"yes","yes","unknown",14,"may",49,1,-1,0,"unknown",1
"3066",47,"blue-collar","married","primary","no",6439,"yes","no","unknown",14,"may",326,3,-1,0,"unknown",1
"3069",29,"admin.","single","secondary","no",900,"yes","no","unknown",14,"may",339,1,-1,0,"unknown",1
"3071",40,"blue-collar","single","unknown","no",4370,"yes","no","unknown",14,"may",232,2,-1,0,"unknown",1
"3074",60,"retired","married","secondary","no",2077,"yes","no","unknown",14,"may",163,1,-1,0,"unknown",1
"3075",44,"management","married","tertiary","no",1945,"no","no","unknown",14,"may",191,1,-1,0,"unknown",1
"3085",32,"services","married","secondary","no",162,"yes","no","unknown",14,"may",297,2,-1,0,"unknown",1
"3087",42,"technician","married","secondary","no",645,"yes","yes","unknown",14,"may",349,5,-1,0,"unknown",1
"3094",45,"entrepreneur","married","secondary","no",245,"yes","no","unknown",14,"may",126,3,-1,0,"unknown",1
"3099",30,"blue-collar","single","secondary","no",609,"yes","no","unknown",14,"may",402,1,-1,0,"unknown",1
"3100",43,"blue-collar","married","secondary","no",15740,"yes","no","unknown",14,"may",252,2,-1,0,"unknown",1
"3106",40,"technician","single","secondary","no",277,"yes","no","unknown",14,"may",274,2,-1,0,"unknown",1
"3111",40,"unemployed","divorced","secondary","no",262,"yes","no","unknown",14,"may",163,5,-1,0,"unknown",1
"3115",29,"blue-collar","married","secondary","no",294,"yes","no","unknown",14,"may",594,2,-1,0,"unknown",1
"3132",49,"blue-collar","married","secondary","no",2631,"yes","no","unknown",14,"may",76,2,-1,0,"unknown",1
"3137",42,"blue-collar","married","primary","no",321,"yes","no","unknown",14,"may",147,3,-1,0,"unknown",1
"3139",52,"services","married","secondary","no",989,"yes","no","unknown",14,"may",260,2,-1,0,"unknown",1
"3142",36,"blue-collar","married","unknown","no",-389,"yes","no","unknown",14,"may",76,9,-1,0,"unknown",1
"3143",42,"blue-collar","married","unknown","no",1260,"yes","no","unknown",14,"may",79,3,-1,0,"unknown",1
"3147",57,"retired","married","primary","no",3401,"yes","no","unknown",14,"may",271,2,-1,0,"unknown",1
"3166",43,"technician","divorced","tertiary","no",123,"no","no","unknown",14,"may",279,2,-1,0,"unknown",1
"3167",55,"management","married","tertiary","no",0,"yes","no","unknown",14,"may",159,2,-1,0,"unknown",1
"3169",36,"blue-collar","married","secondary","no",-406,"yes","yes","unknown",14,"may",104,3,-1,0,"unknown",1
"3172",41,"management","married","tertiary","no",1132,"no","no","unknown",15,"may",95,4,-1,0,"unknown",1
"3181",32,"management","single","tertiary","no",0,"yes","no","unknown",15,"may",86,4,-1,0,"unknown",1
"3182",46,"services","married","secondary","no",74,"yes","no","unknown",15,"may",101,4,-1,0,"unknown",1
"3184",54,"entrepreneur","married","secondary","no",52,"yes","no","unknown",15,"may",44,3,-1,0,"unknown",1
"3187",42,"unemployed","married","primary","no",259,"yes","no","unknown",15,"may",155,6,-1,0,"unknown",1
"3188",50,"blue-collar","married","secondary","no",95,"yes","no","unknown",15,"may",468,5,-1,0,"unknown",1
"3192",50,"blue-collar","married","primary","no",5131,"yes","no","unknown",15,"may",114,2,-1,0,"unknown",1
"3193",42,"admin.","married","secondary","no",2918,"yes","no","unknown",15,"may",349,2,-1,0,"unknown",1
"3197",52,"technician","divorced","primary","no",1500,"no","no","unknown",15,"may",148,3,-1,0,"unknown",1
"3198",43,"admin.","single","secondary","no",56831,"no","no","unknown",15,"may",243,1,-1,0,"unknown",1
"3199",57,"management","married","tertiary","no",2440,"yes","no","unknown",15,"may",391,2,-1,0,"unknown",1
"3205",46,"admin.","married","secondary","no",4048,"yes","no","unknown",15,"may",360,1,-1,0,"unknown",1
"3207",46,"services","married","secondary","no",3269,"yes","no","unknown",15,"may",366,1,-1,0,"unknown",1
"3210",47,"technician","married","secondary","no",201,"yes","no","unknown",15,"may",254,1,-1,0,"unknown",1
"3211",60,"retired","married","secondary","no",2537,"yes","yes","unknown",15,"may",230,1,-1,0,"unknown",1
"3213",48,"services","married","secondary","no",6127,"yes","no","unknown",15,"may",97,1,-1,0,"unknown",1
"3217",54,"technician","married","tertiary","no",2883,"yes","yes","unknown",15,"may",12,3,-1,0,"unknown",1
"3219",48,"admin.","divorced","secondary","no",1108,"yes","no","unknown",15,"may",420,1,-1,0,"unknown",1
"3220",43,"retired","married","secondary","no",56,"yes","yes","unknown",15,"may",259,1,-1,0,"unknown",1
"3222",56,"retired","married","secondary","no",1894,"yes","no","unknown",15,"may",189,1,-1,0,"unknown",1
"3224",45,"blue-collar","married","primary","no",2217,"yes","no","unknown",15,"may",126,1,-1,0,"unknown",1
"3234",49,"services","divorced","secondary","no",3649,"yes","yes","unknown",15,"may",150,1,-1,0,"unknown",1
"3239",43,"blue-collar","married","primary","no",1620,"yes","no","unknown",15,"may",121,1,-1,0,"unknown",1
"3244",41,"blue-collar","divorced","primary","no",1563,"yes","no","unknown",15,"may",112,1,-1,0,"unknown",1
"3245",50,"blue-collar","single","secondary","no",708,"yes","no","unknown",15,"may",104,1,-1,0,"unknown",1
"3247",60,"retired","married","secondary","no",2086,"yes","no","unknown",15,"may",182,2,-1,0,"unknown",1
"3258",52,"blue-collar","divorced","primary","no",1758,"yes","no","unknown",15,"may",41,1,-1,0,"unknown",1
"3265",50,"blue-collar","married","unknown","no",605,"yes","no","unknown",15,"may",200,1,-1,0,"unknown",1
"3269",52,"admin.","married","secondary","no",225,"yes","no","unknown",15,"may",167,1,-1,0,"unknown",1
"3270",55,"services","married","secondary","no",697,"yes","no","unknown",15,"may",206,1,-1,0,"unknown",1
"3279",40,"blue-collar","married","primary","no",2651,"yes","no","unknown",15,"may",94,1,-1,0,"unknown",1
"3283",46,"management","married","secondary","no",3714,"yes","no","unknown",15,"may",86,1,-1,0,"unknown",1
"3285",47,"services","married","secondary","no",3216,"yes","no","unknown",15,"may",451,2,-1,0,"unknown",1
"3287",50,"blue-collar","married","primary","no",2212,"yes","no","unknown",15,"may",116,1,-1,0,"unknown",1
"3288",40,"blue-collar","married","primary","no",409,"yes","no","unknown",15,"may",191,1,-1,0,"unknown",1
"3293",47,"blue-collar","married","secondary","no",5306,"yes","no","unknown",15,"may",322,1,-1,0,"unknown",1
"3297",60,"entrepreneur","divorced","secondary","no",80,"yes","no","unknown",15,"may",397,1,-1,0,"unknown",1
"3300",45,"blue-collar","married","primary","no",1992,"yes","no","unknown",15,"may",163,1,-1,0,"unknown",1
"3302",21,"services","married","secondary","no",0,"yes","yes","unknown",15,"may",168,5,-1,0,"unknown",1
"3304",30,"blue-collar","married","secondary","no",2,"yes","no","unknown",15,"may",1000,1,-1,0,"unknown",1
"3307",51,"management","single","tertiary","no",6510,"no","no","unknown",15,"may",30,1,-1,0,"unknown",1
"3308",53,"technician","married","tertiary","no",4323,"yes","no","unknown",15,"may",58,5,-1,0,"unknown",1
"3313",45,"technician","married","secondary","no",3583,"yes","no","unknown",15,"may",191,1,-1,0,"unknown",1
"3323",53,"blue-collar","married","unknown","no",2785,"yes","no","unknown",15,"may",1165,1,-1,0,"unknown",1
"3332",50,"entrepreneur","married","primary","no",461,"yes","no","unknown",15,"may",651,32,-1,0,"unknown",2
"3336",60,"retired","married","tertiary","no",1224,"yes","no","unknown",15,"may",120,1,-1,0,"unknown",1
"3340",40,"blue-collar","married","primary","no",1061,"yes","no","unknown",15,"may",191,4,-1,0,"unknown",1
"3341",60,"admin.","divorced","secondary","no",3020,"yes","no","unknown",15,"may",131,1,-1,0,"unknown",1
"3342",42,"blue-collar","married","primary","no",3405,"yes","no","unknown",15,"may",221,2,-1,0,"unknown",1
"3348",46,"blue-collar","married","primary","no",346,"yes","no","unknown",15,"may",402,1,-1,0,"unknown",1
"3358",42,"blue-collar","married","primary","no",-181,"yes","no","unknown",15,"may",297,3,-1,0,"unknown",1
"3361",41,"management","married","secondary","no",6526,"no","no","unknown",15,"may",334,3,-1,0,"unknown",1
"3366",44,"blue-collar","married","secondary","no",1786,"yes","no","unknown",15,"may",452,2,-1,0,"unknown",1
"3370",55,"admin.","married","secondary","no",1105,"yes","yes","unknown",15,"may",94,1,-1,0,"unknown",1
"3388",33,"technician","divorced","primary","no",20,"yes","no","unknown",15,"may",172,4,-1,0,"unknown",1
"3390",40,"management","single","tertiary","no",157,"yes","no","unknown",15,"may",68,2,-1,0,"unknown",1
"3396",24,"services","married","secondary","no",51,"yes","yes","unknown",15,"may",187,2,-1,0,"unknown",1
"3400",32,"blue-collar","married","secondary","no",231,"yes","no","unknown",15,"may",51,10,-1,0,"unknown",1
"3401",30,"technician","married","tertiary","no",-256,"yes","no","unknown",15,"may",51,5,-1,0,"unknown",1
"3403",41,"technician","married","secondary","no",288,"yes","no","unknown",15,"may",221,4,-1,0,"unknown",1
"3407",56,"management","married","tertiary","no",334,"yes","no","unknown",15,"may",127,2,-1,0,"unknown",1
"3413",28,"blue-collar","married","secondary","no",86,"yes","yes","unknown",15,"may",918,1,-1,0,"unknown",1
"3415",57,"services","married","primary","no",3990,"yes","no","unknown",15,"may",309,2,-1,0,"unknown",1
"3416",54,"admin.","married","unknown","no",3965,"yes","no","unknown",15,"may",138,2,-1,0,"unknown",1
"3418",41,"management","married","tertiary","no",6060,"yes","no","unknown",15,"may",71,2,-1,0,"unknown",1
"3420",42,"management","married","tertiary","no",1323,"yes","yes","unknown",15,"may",193,5,-1,0,"unknown",1
"3422",41,"entrepreneur","divorced","tertiary","no",252,"no","no","unknown",15,"may",57,2,-1,0,"unknown",1
"3423",46,"blue-collar","married","secondary","no",84,"yes","no","unknown",15,"may",49,1,-1,0,"unknown",1
"3430",46,"blue-collar","married","primary","no",252,"yes","no","unknown",15,"may",570,2,-1,0,"unknown",1
"3443",42,"services","married","secondary","no",1048,"yes","no","unknown",15,"may",51,1,-1,0,"unknown",1
"3447",38,"housemaid","married","secondary","no",1372,"yes","yes","unknown",15,"may",224,1,-1,0,"unknown",1
"3449",46,"self-employed","single","tertiary","no",1934,"yes","no","unknown",15,"may",236,3,-1,0,"unknown",1
"3450",39,"management","divorced","tertiary","no",9541,"no","no","unknown",15,"may",815,1,-1,0,"unknown",1
"3453",34,"services","divorced","secondary","no",202,"yes","no","unknown",15,"may",318,1,-1,0,"unknown",1
"3454",42,"admin.","married","secondary","no",281,"yes","no","unknown",15,"may",118,1,-1,0,"unknown",1
"3456",45,"services","married","secondary","no",4060,"yes","no","unknown",15,"may",238,1,-1,0,"unknown",1
"3470",40,"retired","married","secondary","no",1842,"no","no","unknown",15,"may",56,1,-1,0,"unknown",1
"3471",43,"management","married","tertiary","no",4004,"yes","no","unknown",15,"may",190,2,-1,0,"unknown",1
"3472",41,"entrepreneur","married","tertiary","no",102,"no","no","unknown",15,"may",323,1,-1,0,"unknown",1
"3474",32,"management","single","secondary","no",6,"yes","no","unknown",15,"may",228,1,-1,0,"unknown",1
"3476",42,"management","divorced","tertiary","no",497,"no","no","unknown",15,"may",84,22,-1,0,"unknown",1
"3486",31,"blue-collar","married","primary","no",605,"yes","no","unknown",15,"may",334,10,-1,0,"unknown",1
"3487",47,"management","divorced","tertiary","no",10399,"yes","no","unknown",15,"may",59,2,-1,0,"unknown",1
"3488",54,"technician","divorced","secondary","no",784,"yes","yes","unknown",15,"may",579,1,-1,0,"unknown",1
"3489",48,"blue-collar","married","primary","no",680,"yes","no","unknown",15,"may",387,4,-1,0,"unknown",1
"3495",55,"management","married","unknown","yes",-171,"yes","no","unknown",15,"may",30,2,-1,0,"unknown",1
"3502",54,"management","married","primary","no",366,"yes","no","unknown",15,"may",589,1,-1,0,"unknown",1
"3512",59,"management","single","secondary","no",671,"yes","yes","unknown",15,"may",157,5,-1,0,"unknown",1
"3515",45,"services","married","secondary","no",520,"yes","no","unknown",15,"may",714,4,-1,0,"unknown",1
"3522",49,"services","single","secondary","no",3061,"yes","no","unknown",15,"may",155,2,-1,0,"unknown",1
"3523",44,"blue-collar","married","primary","no",0,"yes","no","unknown",15,"may",226,6,-1,0,"unknown",1
"3525",40,"blue-collar","married","primary","no",902,"yes","no","unknown",15,"may",619,4,-1,0,"unknown",1
"3531",56,"services","married","secondary","no",2658,"yes","no","unknown",15,"may",302,1,-1,0,"unknown",1
"3536",51,"blue-collar","married","primary","no",4497,"yes","no","unknown",15,"may",276,3,-1,0,"unknown",1
"3541",35,"self-employed","single","primary","no",181,"yes","no","unknown",15,"may",19,8,-1,0,"unknown",1
"3545",52,"blue-collar","married","secondary","no",665,"yes","no","unknown",15,"may",57,4,-1,0,"unknown",1
"3548",34,"blue-collar","married","secondary","no",326,"yes","yes","unknown",15,"may",150,2,-1,0,"unknown",1
"3549",42,"technician","single","secondary","no",1364,"yes","no","unknown",15,"may",1867,6,-1,0,"unknown",2
"3553",25,"blue-collar","single","secondary","no",0,"yes","no","unknown",15,"may",244,2,-1,0,"unknown",1
"3562",42,"blue-collar","married","primary","no",1320,"no","no","unknown",15,"may",301,4,-1,0,"unknown",1
"3564",36,"management","married","tertiary","no",900,"yes","no","unknown",15,"may",475,2,-1,0,"unknown",1
"3569",52,"blue-collar","married","primary","no",1079,"yes","no","unknown",15,"may",257,7,-1,0,"unknown",1
"3573",46,"technician","divorced","secondary","no",435,"yes","no","unknown",15,"may",192,3,-1,0,"unknown",1
"3578",44,"blue-collar","married","primary","no",412,"yes","no","unknown",15,"may",56,13,-1,0,"unknown",1
"3587",31,"blue-collar","married","secondary","no",-720,"yes","yes","unknown",15,"may",112,2,-1,0,"unknown",1
"3589",40,"management","married","primary","no",1231,"yes","yes","unknown",15,"may",184,2,-1,0,"unknown",1
"3593",45,"technician","married","secondary","no",-237,"yes","yes","unknown",15,"may",71,3,-1,0,"unknown",1
"3594",53,"admin.","married","secondary","no",1739,"yes","no","unknown",15,"may",103,3,-1,0,"unknown",1
"3600",33,"blue-collar","married","secondary","no",175,"yes","no","unknown",15,"may",392,2,-1,0,"unknown",1
"3601",37,"services","married","secondary","no",1,"no","no","unknown",15,"may",395,2,-1,0,"unknown",1
"3605",31,"unemployed","single","primary","no",0,"yes","no","unknown",15,"may",24,18,-1,0,"unknown",1
"3607",45,"blue-collar","married","secondary","no",120,"yes","yes","unknown",15,"may",53,3,-1,0,"unknown",1
"3611",42,"blue-collar","married","primary","no",2519,"yes","no","unknown",15,"may",262,4,-1,0,"unknown",1
"3615",41,"technician","married","secondary","no",768,"yes","no","unknown",15,"may",214,4,-1,0,"unknown",1
"3617",57,"management","married","tertiary","no",388,"no","yes","unknown",15,"may",262,4,-1,0,"unknown",1
"3621",55,"services","married","secondary","no",151,"yes","no","unknown",15,"may",88,2,-1,0,"unknown",1
"3622",31,"admin.","married","unknown","no",-295,"yes","no","unknown",15,"may",311,3,-1,0,"unknown",1
"3629",35,"technician","single","tertiary","no",1455,"yes","no","unknown",15,"may",70,6,-1,0,"unknown",1
"3637",39,"blue-collar","single","primary","no",-21,"no","no","unknown",15,"may",121,3,-1,0,"unknown",1
"3639",60,"retired","married","primary","no",894,"yes","no","unknown",15,"may",65,7,-1,0,"unknown",1
"3643",56,"entrepreneur","married","tertiary","no",-124,"yes","no","unknown",15,"may",374,5,-1,0,"unknown",1
"3645",50,"blue-collar","married","secondary","no",6258,"yes","no","unknown",15,"may",139,7,-1,0,"unknown",1
"3649",45,"blue-collar","married","primary","no",91,"yes","no","unknown",15,"may",239,2,-1,0,"unknown",1
"3652",51,"blue-collar","married","unknown","no",2547,"yes","no","unknown",15,"may",491,2,-1,0,"unknown",1
"3655",43,"management","single","secondary","no",-228,"yes","yes","unknown",16,"may",122,2,-1,0,"unknown",1
"3657",50,"admin.","divorced","secondary","no",1332,"yes","no","unknown",16,"may",95,3,-1,0,"unknown",1
"3659",52,"blue-collar","married","primary","no",779,"yes","no","unknown",16,"may",30,3,-1,0,"unknown",1
"3661",51,"blue-collar","married","secondary","no",22,"yes","no","unknown",16,"may",336,2,-1,0,"unknown",1
"3671",32,"admin.","married","secondary","no",0,"no","no","unknown",16,"may",137,1,-1,0,"unknown",1
"3673",32,"technician","divorced","secondary","no",75,"no","no","unknown",16,"may",129,1,-1,0,"unknown",1
"3675",58,"retired","divorced","primary","no",6,"no","no","unknown",16,"may",228,1,-1,0,"unknown",1
"3676",40,"technician","married","secondary","no",75,"yes","no","unknown",16,"may",259,1,-1,0,"unknown",1
"3681",39,"blue-collar","married","primary","no",2133,"yes","yes","unknown",16,"may",179,1,-1,0,"unknown",1
"3688",27,"student","single","tertiary","no",66,"yes","no","unknown",16,"may",456,1,-1,0,"unknown",1
"3693",29,"admin.","single","secondary","no",-507,"yes","no","unknown",16,"may",286,1,-1,0,"unknown",1
"3699",33,"services","single","secondary","no",0,"yes","no","unknown",16,"may",212,1,-1,0,"unknown",1
"3700",55,"housemaid","married","primary","no",1000,"yes","no","unknown",16,"may",178,1,-1,0,"unknown",1
"3707",36,"services","married","secondary","no",208,"yes","no","unknown",16,"may",99,1,-1,0,"unknown",1
"3715",26,"blue-collar","married","secondary","no",246,"yes","no","unknown",16,"may",1143,3,-1,0,"unknown",2
"3722",45,"admin.","divorced","secondary","no",109,"yes","no","unknown",16,"may",122,1,-1,0,"unknown",1
"3729",32,"management","single","tertiary","no",0,"no","no","unknown",16,"may",91,1,-1,0,"unknown",1
"3736",29,"management","married","tertiary","no",1,"yes","yes","unknown",16,"may",49,1,-1,0,"unknown",1
"3739",51,"blue-collar","married","primary","no",196,"yes","no","unknown",16,"may",248,1,-1,0,"unknown",1
"3752",34,"self-employed","married","tertiary","no",1029,"yes","yes","unknown",16,"may",125,1,-1,0,"unknown",1
"3757",29,"services","single","secondary","no",-142,"yes","no","unknown",16,"may",140,1,-1,0,"unknown",1
"3760",50,"entrepreneur","married","secondary","no",556,"yes","no","unknown",16,"may",130,2,-1,0,"unknown",1
"3765",34,"technician","single","secondary","no",0,"yes","yes","unknown",16,"may",214,1,-1,0,"unknown",1
"3769",44,"blue-collar","married","primary","no",1511,"yes","no","unknown",16,"may",96,2,-1,0,"unknown",1
"3776",47,"services","married","primary","no",1496,"yes","no","unknown",16,"may",211,2,-1,0,"unknown",1
"3784",36,"technician","single","tertiary","no",705,"yes","no","unknown",16,"may",111,1,-1,0,"unknown",1
"3795",25,"blue-collar","married","secondary","no",109,"yes","no","unknown",16,"may",306,1,-1,0,"unknown",1
"3799",45,"blue-collar","married","secondary","no",-1400,"yes","no","unknown",16,"may",172,4,-1,0,"unknown",1
"3804",28,"admin.","married","tertiary","no",364,"yes","no","unknown",16,"may",169,1,-1,0,"unknown",1
"3807",32,"self-employed","single","tertiary","no",12269,"no","no","unknown",16,"may",141,1,-1,0,"unknown",1
"3811",37,"blue-collar","single","primary","no",117,"yes","no","unknown",16,"may",196,3,-1,0,"unknown",1
"3815",27,"blue-collar","single","primary","no",0,"yes","no","unknown",16,"may",576,1,-1,0,"unknown",1
"3818",36,"admin.","divorced","secondary","no",246,"yes","no","unknown",16,"may",206,2,-1,0,"unknown",1
"3823",27,"entrepreneur","married","secondary","no",554,"yes","no","unknown",16,"may",131,1,-1,0,"unknown",1
"3834",30,"technician","single","tertiary","no",236,"yes","no","unknown",16,"may",197,1,-1,0,"unknown",1
"3837",45,"management","married","tertiary","no",876,"no","no","unknown",16,"may",178,1,-1,0,"unknown",1
"3842",57,"housemaid","married","primary","no",260,"yes","no","unknown",16,"may",38,3,-1,0,"unknown",1
"3849",59,"blue-collar","married","secondary","no",169,"yes","no","unknown",16,"may",181,3,-1,0,"unknown",1
"3860",55,"management","married","primary","no",19,"yes","no","unknown",16,"may",56,3,-1,0,"unknown",1
"3866",44,"services","married","secondary","no",0,"yes","yes","unknown",16,"may",471,2,-1,0,"unknown",1
"3893",43,"services","married","primary","no",822,"yes","no","unknown",16,"may",112,1,-1,0,"unknown",1
"3898",47,"services","married","secondary","no",2597,"yes","no","unknown",16,"may",323,1,-1,0,"unknown",1
"3906",47,"services","married","secondary","no",837,"yes","yes","unknown",16,"may",136,1,-1,0,"unknown",1
"3910",44,"self-employed","married","secondary","no",1310,"yes","no","unknown",16,"may",290,1,-1,0,"unknown",1
"3921",50,"management","single","tertiary","no",567,"yes","no","unknown",16,"may",274,8,-1,0,"unknown",1
"3922",27,"services","single","secondary","no",194,"yes","no","unknown",16,"may",326,1,-1,0,"unknown",1
"3934",41,"blue-collar","married","primary","no",208,"yes","no","unknown",16,"may",315,3,-1,0,"unknown",1
"3936",44,"blue-collar","married","tertiary","no",2185,"yes","no","unknown",16,"may",698,1,-1,0,"unknown",1
"3955",49,"blue-collar","married","primary","no",327,"yes","no","unknown",16,"may",138,2,-1,0,"unknown",1
"3959",30,"technician","single","secondary","no",298,"yes","no","unknown",16,"may",164,2,-1,0,"unknown",1
"3961",35,"blue-collar","single","secondary","no",88,"yes","no","unknown",16,"may",344,4,-1,0,"unknown",1
"3962",44,"admin.","married","secondary","no",2687,"yes","no","unknown",16,"may",131,4,-1,0,"unknown",1
"3964",42,"blue-collar","married","primary","yes",398,"yes","no","unknown",16,"may",251,4,-1,0,"unknown",1
"3965",39,"services","single","secondary","no",-388,"yes","no","unknown",16,"may",1135,2,-1,0,"unknown",1
"3968",40,"blue-collar","married","secondary","no",1161,"yes","yes","unknown",16,"may",292,8,-1,0,"unknown",1
"3971",49,"management","married","primary","no",267,"yes","no","unknown",16,"may",198,5,-1,0,"unknown",1
"3977",55,"blue-collar","married","primary","no",-268,"yes","no","unknown",16,"may",160,6,-1,0,"unknown",1
"3982",30,"management","single","tertiary","no",5,"no","no","unknown",16,"may",476,3,-1,0,"unknown",1
"3984",34,"management","divorced","tertiary","no",488,"yes","no","unknown",16,"may",4,2,-1,0,"unknown",1
"3986",46,"unknown","married","unknown","no",300,"yes","no","unknown",16,"may",323,3,-1,0,"unknown",1
"3988",44,"blue-collar","married","primary","no",195,"yes","no","unknown",16,"may",541,5,-1,0,"unknown",1
