"","y","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"6545",1,709,"France","Female",45,3,104118.5,1,0,1,174032,0
"6282",1,850,"France","Male",31,4,0,2,0,0,152298.28,0
"3904",1,643,"Spain","Female",45,9,150840.03,2,1,0,155516.35,0
"5821",1,721,"Germany","Male",37,4,98459.6,1,0,0,90821.66,0
"2677",1,667,"Germany","Male",43,1,103018.45,1,1,0,32462.39,1
"9280",1,727,"France","Male",62,5,0,2,0,1,38652.96,0
"5670",1,648,"Germany","Male",33,7,135310.41,2,0,1,171668.2,0
"9049",1,729,"Germany","Male",40,5,113574.61,2,1,0,103396.08,0
"6724",1,699,"Germany","Female",51,2,92246.14,2,0,1,91346.03,0
"9601",1,621,"Germany","Female",55,7,131033.76,1,0,1,75685.59,1
"8597",1,709,"France","Female",32,2,0,2,0,0,109681.29,0
"5626",1,508,"France","Female",60,7,143262.04,1,1,1,129562.74,0
"628",1,752,"France","Male",49,2,78653.84,1,1,0,7698.6,0
"8113",1,578,"France","Female",35,2,0,2,0,1,26389.92,0
"7126",1,746,"France","Female",32,4,0,2,1,1,72909.75,0
"7975",1,716,"Germany","Male",50,2,119655.77,1,1,1,12944.17,1
"6444",1,753,"France","Male",92,3,121513.31,1,0,1,195563.99,0
"5441",1,690,"Germany","Male",43,2,166522.78,1,0,0,119644.59,1
"2052",1,712,"France","Female",37,1,106881.5,2,0,0,169386.81,0
"9357",1,373,"France","Male",42,7,0,1,1,0,77786.37,1
"6270",1,652,"Spain","Female",36,1,0,2,1,1,19302.78,0
"983",1,668,"France","Male",32,7,0,2,1,1,777.37,0
"8309",1,556,"France","Male",36,7,154872.08,2,1,1,32044.64,0
"1897",1,850,"Spain","Female",38,3,0,2,0,1,179360.76,0
"5759",1,681,"Germany","Female",44,4,91115.76,2,0,0,24208.84,1
"4774",1,646,"Germany","Female",35,1,121952.75,2,1,1,142839.82,0
"6640",1,588,"Germany","Male",41,6,106116.56,2,1,0,198766.61,0
"8301",1,733,"Germany","Male",48,7,85915.52,1,1,1,23860.5,0
"1613",1,665,"France","Male",52,3,0,1,1,0,116137.01,1
"2637",1,702,"Spain","Male",30,2,0,2,1,1,145537.32,0
"5376",1,686,"Spain","Male",38,7,111484.88,1,1,1,76076.2,0
"5439",1,679,"France","Male",34,7,160515.37,1,1,0,121904.14,0
"5036",1,657,"Spain","Male",34,5,154983.98,1,1,0,27738.01,0
"4711",1,585,"Germany","Female",40,3,162261.01,2,1,0,137028.51,0
"9714",1,714,"France","Male",40,9,46520.69,1,1,1,96687.25,0
"2399",1,706,"Spain","Female",42,8,95386.82,1,1,1,75732.25,0
"3681",1,850,"Spain","Male",22,3,0,1,1,1,144385.54,0
"8593",1,719,"Spain","Female",40,9,0,2,1,0,182224.14,0
"6774",1,625,"France","Male",43,4,122351.29,1,1,0,71216.6,0
"186",1,514,"France","Male",32,8,0,2,1,0,95857.18,0
"885",1,515,"France","Male",65,7,92113.61,1,1,1,142548.33,0
"4728",1,648,"France","Female",19,1,0,2,0,1,22101.86,0
"1506",1,606,"Germany","Male",48,4,132403.56,1,0,0,36091.91,1
"3977",1,566,"Germany","Male",22,7,144954.75,2,1,0,102246,0
"9165",1,680,"Spain","Male",36,7,0,2,1,0,20109.21,0
"6637",1,575,"France","Male",24,2,0,2,1,1,119927.81,0
"6713",1,599,"France","Female",43,4,0,1,1,0,170347.1,0
"8775",1,452,"France","Female",33,6,131698.57,2,1,0,151623.91,0
"144",1,793,"Spain","Male",52,2,0,1,1,0,159123.82,1
"7217",1,679,"France","Male",41,8,147726.98,3,1,0,172749.4,1
"1325",1,687,"Germany","Male",26,2,142721.52,1,1,1,153605.75,0
"6268",1,705,"Germany","Male",48,9,114169.16,1,0,0,173273.2,1
"9020",1,421,"France","Male",34,2,0,2,1,1,96615.23,0
"5274",1,529,"France","Male",32,9,147493.89,1,1,0,33656.35,0
"4275",1,502,"Germany","Female",42,0,132002.7,1,0,1,28204.98,1
"8831",1,562,"Germany","Female",39,6,130565.02,1,1,0,9854.72,1
"3383",1,655,"Germany","Female",72,5,138089.97,2,1,1,99920.41,0
"9886",1,670,"France","Male",33,8,126679.69,1,1,1,39451.09,0
"8835",1,657,"France","Male",34,3,107136.6,1,1,0,153895.46,0
"2385",1,732,"France","Female",40,10,0,2,1,0,154189.08,0
"746",1,606,"France","Male",40,5,0,2,1,1,70899.27,0
"3442",1,596,"France","Male",36,2,0,2,1,1,12067.39,0
"1901",1,570,"France","Female",33,8,0,1,1,1,124641.42,0
"8954",1,711,"Spain","Male",42,3,177626.77,3,0,1,16392.72,1
"2679",1,819,"France","Female",38,10,0,2,1,0,30498.7,0
"2338",1,701,"Spain","Female",35,9,0,2,0,0,170996.86,0
"857",1,567,"Germany","Female",49,5,134956.02,1,1,0,93953.84,1
"2292",1,598,"Spain","Male",27,8,90721.52,2,1,0,109296.18,0
"4122",1,628,"Spain","Male",42,7,0,2,0,1,172967.87,0
"2174",1,698,"France","Female",46,0,0,2,1,1,125962.02,0
"7871",1,529,"France","Female",29,8,0,2,1,0,19842.11,0
"580",1,701,"France","Male",39,2,0,2,1,1,82526.92,0
"9592",1,708,"Spain","Male",40,8,83015.71,1,1,0,101089.76,0
"8694",1,621,"France","Female",50,5,0,2,1,0,191756.54,1
"6786",1,621,"Spain","Male",41,5,104631.67,1,1,1,95551.22,0
"5059",1,714,"France","Male",37,9,148466.93,2,0,1,151280.96,0
"1939",1,518,"France","Male",38,3,90957.81,1,0,1,162304.59,0
"4972",1,681,"Spain","Male",30,2,128393.29,1,1,1,180593.45,0
"1844",1,587,"France","Female",36,1,134997.49,2,1,0,44688.08,0
"6318",1,450,"France","Male",29,7,117199.8,1,1,1,43480.63,0
"7751",1,550,"France","Male",25,0,0,2,1,1,184221.11,0
"9135",1,481,"France","Male",40,3,0,1,1,1,32319.93,0
"3874",1,530,"Spain","Male",37,4,0,2,1,1,164844.37,0
"8644",1,754,"Spain","Male",40,2,160625.17,1,0,1,3554.63,0
"6425",1,743,"France","Male",43,5,0,2,0,0,113079.19,1
"1976",1,622,"France","Female",35,5,0,2,1,0,51112.8,0
"2498",1,613,"France","Male",20,3,0,2,1,1,149613.77,0
"140",1,579,"Spain","Female",35,1,129490.36,2,0,1,8590.83,1
"4289",1,577,"Germany","Female",31,4,61211.18,1,1,1,145250.43,0
"387",1,611,"Spain","Male",46,6,0,2,1,0,45886.33,0
"3142",1,710,"Germany","Female",24,2,110407.44,2,0,0,15832.43,1
"5073",1,472,"France","Male",29,8,102490.27,1,0,1,181224.56,0
"3830",1,587,"France","Female",36,1,70784.27,1,1,0,30579.82,0
"9411",1,640,"Germany","Female",46,5,107978.4,2,1,0,155876.06,0
"4101",1,635,"Germany","Female",37,9,146748.07,1,0,1,11407.58,0
"1627",1,617,"France","Female",28,0,0,2,1,1,7597.83,1
"3466",1,692,"Germany","Female",43,2,69014.49,2,0,0,164621.43,0
"233",1,512,"France","Female",37,1,0,2,0,1,156105.03,0
"9133",1,635,"France","Female",33,5,0,2,1,0,122949.71,0
"150",1,416,"France","Male",32,0,0,2,0,1,878.87,0
"1245",1,587,"Germany","Female",38,0,132122.42,2,0,0,31730.32,0
"7643",1,811,"France","Male",40,1,101514.89,1,1,1,121765,0
"4229",1,740,"France","Female",37,9,0,2,1,1,73225.31,0
"6415",1,618,"France","Female",21,2,125682.79,1,0,0,57762,0
"9605",1,770,"France","Male",31,3,155047.56,2,1,1,186064.34,0
"3800",1,458,"Spain","Female",35,5,166492.48,1,1,0,135287.74,0
"9732",1,607,"Germany","Male",29,7,102609,1,1,0,163257.44,0
"1739",1,796,"Spain","Male",41,8,107525.07,1,1,0,18510.41,0
"1675",1,680,"Germany","Female",42,7,105722.69,1,1,1,90558.24,1
"7342",1,850,"Spain","Male",54,7,108185.81,2,0,0,24093.4,1
"2269",1,659,"France","Female",56,9,123785.24,1,1,0,99504.03,1
"1276",1,719,"France","Male",32,9,146605.27,1,1,1,77119.45,0
"7359",1,600,"France","Female",49,6,0,1,0,1,148087.88,1
"716",1,786,"France","Male",34,9,0,2,1,0,144517.19,0
"9265",1,414,"Spain","Male",60,3,0,2,1,1,93844.82,0
"4253",1,452,"Germany","Male",33,7,153663.27,1,1,0,111868.23,0
"4937",1,580,"Germany","Male",24,1,133811.78,1,1,0,17185.95,1
"6726",1,603,"Germany","Female",40,8,148897.02,1,0,0,105052.9,0
"1510",1,528,"France","Male",37,6,103772.45,1,1,0,197111.99,0
"9726",1,625,"France","Female",36,3,0,2,1,0,41295.1,1
"8104",1,479,"Germany","Male",51,1,107714.74,3,1,0,86128.21,1
"2106",1,492,"France","Female",31,7,0,2,1,1,49463.44,0
"3658",1,731,"France","Male",30,7,0,2,1,1,184581.68,0
"7099",1,621,"Germany","Male",51,4,109978.83,1,0,0,177740.58,1
"8503",1,530,"France","Male",37,8,0,2,1,1,287.99,0
"1069",1,594,"France","Male",57,6,0,1,1,0,19376.56,1
"1279",1,681,"Spain","Male",67,7,0,2,0,1,163714.92,0
"1075",1,535,"France","Female",31,7,111855.04,2,1,1,36278.89,0
"7840",1,566,"France","Female",21,3,0,2,1,1,3626.47,0
"9627",1,813,"Spain","Male",27,1,137275.36,1,0,1,115733.16,0
"6052",1,723,"Spain","Female",45,4,0,2,1,0,37214.39,0
"400",1,616,"France","Female",66,1,135842.41,1,1,0,183840.51,1
"2658",1,562,"France","Male",29,9,0,1,1,1,25858.68,0
"237",1,712,"France","Female",29,2,0,1,1,1,144375,0
"5898",1,781,"France","Male",23,2,107433.48,1,1,0,173843.21,0
"1596",1,677,"France","Male",38,4,0,2,1,0,187800.63,0
"7561",1,512,"France","Male",51,6,144953.31,1,1,1,165035.17,0
"2834",1,683,"Spain","Male",40,8,0,1,1,0,75848.22,0
"1610",1,619,"France","Female",35,8,132292.63,1,1,0,65682.93,0
"8978",1,631,"Spain","Female",31,2,88161.85,2,1,0,127630.88,0
"5042",1,567,"Spain","Male",29,8,0,2,1,0,156125.72,0
"2428",1,798,"Germany","Female",49,5,132571.67,1,1,1,31686.33,1
"2816",1,694,"Germany","Male",37,1,95668.82,2,1,0,100335.55,0
"2665",1,586,"France","Male",29,3,0,2,1,1,142238.54,0
"4947",1,546,"France","Female",47,8,0,1,1,1,66408.01,1
"1028",1,737,"Germany","Male",35,0,133377.8,1,0,1,64050.19,0
"6151",1,632,"Germany","Male",41,8,127205.32,4,1,0,93874.87,1
"9568",1,724,"France","Male",29,4,0,1,1,0,8982.75,0
"9812",1,645,"Germany","Female",31,1,128927.93,1,1,1,2850.01,0
"6113",1,462,"Germany","Male",34,1,94682.56,2,1,0,138478.2,0
"7729",1,616,"France","Female",31,8,0,1,0,1,76456.17,0
"668",1,503,"France","Male",29,3,0,2,1,1,143954.99,0
"5507",1,590,"Spain","Male",34,0,65812.35,2,0,1,160346.3,0
"6788",1,502,"France","Male",37,10,0,1,1,1,76642.68,0
"3897",1,741,"France","Female",21,9,0,2,0,1,139259.54,0
"7867",1,666,"France","Female",38,6,127043.09,1,1,1,8247,0
"6722",1,824,"Germany","Male",77,3,27517.15,2,0,1,2746.41,0
"3395",1,466,"France","Male",29,6,0,2,1,1,2797.27,0
"9018",1,830,"Germany","Female",40,8,77701.64,1,0,1,19512.38,0
"5914",1,679,"Spain","Male",42,2,0,1,1,1,168294.27,0
"8421",1,669,"Spain","Male",29,9,0,1,1,1,93901.61,0
"5291",1,795,"Germany","Female",56,9,94348.94,1,1,0,29239.29,1
"2322",1,545,"Germany","Male",45,6,93796.42,2,1,1,162321.26,0
"7703",1,850,"France","Male",31,8,0,2,1,0,178667.7,0
"693",1,745,"Germany","Male",36,8,145071.24,1,0,0,6078.46,0
"9603",1,634,"Germany","Female",59,3,95727.05,1,0,0,97939.4,1
"7898",1,603,"Spain","Male",30,6,129548.5,2,1,1,19282.85,0
"2022",1,716,"Germany","Female",18,3,128743.8,1,0,0,197322.13,0
"4611",1,589,"Germany","Male",38,8,92219.21,1,1,0,99106.97,0
"4996",1,807,"France","Female",36,4,0,2,0,1,147007.33,0
"4194",1,550,"Spain","Male",45,0,0,2,0,1,70399.71,0
"292",1,747,"Spain","Female",41,5,94521.17,2,1,0,194926.86,0
"8968",1,835,"France","Male",25,7,0,2,1,1,83449.65,0
"58",1,725,"Germany","Male",19,0,75888.2,1,0,0,45613.75,0
"4199",1,612,"Spain","Male",35,1,0,1,1,1,83256.26,1
"1125",1,606,"Spain","Male",35,7,0,1,1,0,106837.06,1
"2783",1,646,"France","Male",24,8,0,2,0,0,92612.88,0
"2056",1,469,"Germany","Male",38,9,113599.42,1,0,0,11950.29,0
"4069",1,631,"Spain","Male",23,3,0,2,1,0,13813.24,0
"8791",1,416,"Spain","Male",35,8,0,1,0,0,119712.78,0
"2168",1,787,"France","Male",33,1,126588.81,2,0,1,62163.53,0
"1298",1,498,"France","Male",34,5,0,2,1,1,91711.66,0
"921",1,729,"France","Male",44,5,0,2,0,1,9200.54,0
"6537",1,625,"France","Female",37,7,115895.42,1,1,0,48486.25,0
"5704",1,516,"France","Female",42,8,56228.25,1,1,0,46857.52,0
"3683",1,620,"Spain","Male",44,8,0,2,1,1,15627.51,0
"3253",1,641,"France","Male",31,10,155978.17,1,1,0,91510.71,0
"4421",1,714,"Germany","Female",35,6,126077.43,2,1,1,53954.24,0
"6435",1,628,"France","Female",45,8,0,2,1,0,193903.06,0
"5321",1,525,"Spain","Male",36,3,77910.23,1,1,0,67238.01,0
"8895",1,485,"France","Female",39,2,75339.64,1,1,1,70665.16,0
"4706",1,533,"Germany","Female",22,10,115743.6,1,0,0,43852.05,0
"5204",1,753,"Germany","Male",30,1,110824.52,1,1,1,57896.27,0
"1505",1,741,"France","Male",32,8,0,2,1,0,143598.7,0
"2752",1,704,"France","Male",42,8,129735.3,2,1,1,179565.57,0
"3371",1,698,"Spain","Female",47,6,0,1,1,0,50213.81,1
"8468",1,709,"Spain","Male",62,3,0,2,1,1,82195.15,0
"2705",1,718,"France","Male",27,2,0,2,0,0,26229.24,0
"2538",1,573,"France","Female",33,0,90124.64,1,1,0,137476.71,0
"8196",1,577,"Germany","Female",59,7,111396.97,1,0,1,191070.01,0
"7054",1,755,"Germany","Male",43,6,165048.5,3,1,0,16929.41,1
"9692",1,765,"France","Male",42,4,123311.39,2,1,1,82868.34,0
"6850",1,716,"France","Female",44,1,0,1,1,1,152108.47,0
"8378",1,802,"Spain","Male",40,4,0,2,1,1,81908.09,0
"2606",1,635,"Spain","Female",34,5,98683.47,2,1,0,15733.19,0
"9794",1,772,"Germany","Female",42,0,101979.16,1,1,0,90928.48,0
"5615",1,512,"Spain","Female",46,3,0,2,1,1,56408.14,0
"4368",1,573,"Spain","Male",50,0,159304.07,1,0,1,155915.24,1
"5183",1,670,"France","Female",31,2,57530.06,1,1,1,181893.31,1
"1800",1,850,"Spain","Female",39,10,0,2,1,1,143030.09,0
"2719",1,788,"France","Female",39,3,135139.33,1,0,1,113086.08,0
"7011",1,639,"France","Female",35,8,0,1,0,0,164453.98,0
"5601",1,786,"France","Male",37,7,165896.22,2,1,1,66977.68,0
"4073",1,810,"France","Female",38,9,153166.17,1,1,1,93261.69,0
"9773",1,660,"Germany","Male",30,1,84440.1,2,1,1,60485.98,0
"1443",1,683,"France","Male",43,8,0,1,1,0,96754.8,0
"9656",1,583,"France","Female",40,4,55776.39,2,1,0,26920.43,0
"6690",1,630,"Spain","Male",41,7,107511.52,1,0,1,46156.87,0
"7954",1,622,"Germany","Male",33,3,96926.12,2,1,0,48553.77,0
"2781",1,778,"Spain","Male",40,8,104291.41,2,1,1,117507.11,0
"2697",1,698,"Spain","Female",40,0,92053.44,1,1,1,143681.83,0
"2325",1,681,"France","Female",29,2,148143.84,1,1,1,52021.39,0
"2647",1,425,"Spain","Female",39,5,0,2,1,0,140941.47,0
"6337",1,536,"Germany","Female",35,4,121520.36,1,0,0,77178.42,0
"6462",1,710,"France","Female",36,4,116085.06,1,1,0,58601.61,0
"5810",1,850,"France","Male",32,4,0,1,1,1,180622.02,0
"549",1,508,"France","Male",49,7,122451.46,2,1,1,75808.1,0
"236",1,763,"Germany","Male",42,6,100160.75,1,1,0,33462.94,1
"8073",1,780,"Germany","Male",51,4,126725.25,1,1,0,195259.31,1
"1932",1,573,"France","Female",26,4,129109.02,1,0,0,149814.68,1
"1285",1,583,"France","Male",59,7,127450.14,1,0,1,67552.71,0
"4555",1,592,"France","Male",39,7,0,2,1,0,83084.33,0
"4159",1,850,"France","Female",38,0,106831.69,1,0,1,148977.72,0
"7371",1,655,"France","Male",37,4,0,2,1,1,142415.97,0
"2957",1,792,"France","Male",30,8,0,2,1,0,199644.2,0
"4183",1,550,"Germany","Male",52,5,121016.23,1,1,1,41730.37,1
"2845",1,606,"France","Male",35,2,132164.26,1,0,1,164815.59,0
"7210",1,653,"France","Male",47,6,0,1,1,0,50695.93,1
"5177",1,756,"France","Female",28,6,0,1,1,1,164394.65,0
"6453",1,538,"Spain","Male",43,5,0,2,1,0,126933.73,0
"8595",1,722,"Spain","Male",37,9,0,2,1,0,31921.95,0
"5403",1,828,"France","Male",37,4,0,2,1,0,94845.45,0
"3922",1,567,"France","Male",59,3,0,2,1,0,25843.7,1
"1559",1,571,"France","Female",35,1,104783.81,2,0,1,178512.52,0
"315",1,744,"Spain","Male",36,2,153804.44,1,1,1,87213.33,0
"6249",1,590,"France","Male",47,3,0,2,1,0,171774.5,0
"7652",1,431,"Germany","Male",45,5,83624.55,2,0,0,36899.62,0
"1720",1,760,"Spain","Female",57,1,0,2,1,1,25101.17,0
"4120",1,670,"France","Male",36,7,0,2,0,0,59571.5,0
"6935",1,550,"Spain","Male",39,2,116120.19,2,1,1,195638.13,0
"9354",1,670,"Spain","Male",37,0,178742.71,1,1,1,194493.57,0
"4537",1,642,"France","Female",55,7,0,2,1,1,101515.76,0
"8569",1,615,"France","Male",64,0,81564.1,2,0,1,35896.09,0
"5342",1,646,"France","Female",51,4,101629.3,1,0,0,130541.1,0
"6371",1,707,"France","Male",35,2,0,3,1,1,94148.3,0
"3799",1,700,"Spain","Female",43,0,0,2,1,0,59475.35,0
"1621",1,712,"Germany","Male",43,1,141749.74,2,0,1,90905.26,0
"1507",1,747,"France","Male",27,10,0,2,0,0,13007.89,0
"1282",1,790,"Spain","Male",46,8,182364.53,1,0,0,139266.48,1
"3572",1,664,"Germany","Male",36,6,71142.77,2,1,0,122433.09,0
"9838",1,750,"France","Male",38,5,151532.4,1,1,1,46555.15,0
"767",1,700,"France","Female",82,2,0,2,0,1,182055.36,0
"4360",1,545,"Germany","Female",44,2,127536.44,1,1,0,108398.63,0
"6764",1,718,"France","Female",67,7,0,3,1,1,82782.08,0
"7402",1,633,"France","Female",39,9,129189.15,2,0,0,170998.83,0
"7822",1,777,"France","Female",28,2,134571.5,1,0,1,118313.38,0
"6946",1,554,"Germany","Female",31,6,135470.9,1,1,0,107074.81,0
"3770",1,698,"France","Male",47,5,156265.31,2,0,0,1055.66,0
"4787",1,577,"France","Female",34,2,0,2,1,1,84033.35,0
"5149",1,731,"Spain","Male",70,3,0,2,1,1,141180.66,0
"2608",1,814,"France","Male",31,1,118870.92,1,1,0,101704.19,0
"4804",1,802,"Spain","Male",41,5,0,2,1,1,134626.3,0
"8953",1,565,"Germany","Female",47,10,139756.12,1,1,0,165849.49,1
"6051",1,703,"France","Male",44,6,98862.54,1,1,0,151516.7,0
"7953",1,746,"Germany","Female",33,2,107868.14,2,1,1,146192.4,0
"6817",1,559,"France","Male",50,5,162702.35,1,0,0,150548.5,1
"2708",1,637,"France","Female",38,3,104339.56,1,0,0,119882.86,0
"9555",1,779,"France","Female",29,3,46388.16,3,1,0,127939.26,1
"8282",1,567,"Spain","Male",40,8,28649.64,1,1,1,95140.62,0
"7995",1,519,"Germany","Female",21,1,151701.45,3,1,1,170138.68,1
"7935",1,629,"Spain","Male",31,6,132876.55,1,1,1,130862.11,0
"7775",1,850,"Germany","Male",43,5,129305.09,2,0,1,19244.58,0
"6704",1,681,"Germany","Male",49,8,142946.18,1,0,0,187280.51,1
"7779",1,583,"Spain","Female",22,2,0,2,0,1,5985.36,0
"6190",1,714,"Germany","Male",39,3,149887.49,2,1,0,63846.36,0
"501",1,555,"Spain","Male",32,4,0,2,1,1,54405.79,0
"7940",1,720,"France","Male",26,10,51962.91,2,1,0,45507.24,0
"178",1,606,"Germany","Male",36,5,190479.48,2,0,0,179351.89,0
"4747",1,757,"France","Male",32,9,0,2,1,0,115950.96,0
"167",1,704,"Germany","Female",24,7,113034.22,1,1,0,162503.48,1
"4205",1,573,"France","Male",27,2,128243.03,1,1,1,11631.34,0
"2599",1,587,"Spain","Male",48,1,0,2,1,1,8908,0
"3339",1,688,"Spain","Female",24,3,0,2,1,1,102195.16,0
"9616",1,692,"Spain","Female",47,3,0,2,1,0,150802.41,1
"6063",1,718,"Spain","Male",32,8,0,2,1,1,41399.33,0
"4411",1,503,"Germany","Male",42,9,153279.39,1,1,1,151336.96,0
"9579",1,662,"France","Male",34,2,117731.79,2,0,1,55120.79,0
"2132",1,614,"France","Male",38,2,116248.88,1,1,0,105140.92,0
"6409",1,729,"Spain","Male",44,4,107726.93,2,1,0,153064.87,0
"2119",1,460,"France","Female",27,7,0,2,1,0,156150.08,1
"1838",1,561,"France","Male",56,7,152759,2,1,0,133167.11,1
"9538",1,783,"France","Male",40,6,0,2,1,0,109742.55,0
"8536",1,597,"Spain","Male",43,2,85162.26,1,0,1,5104.08,1
"5526",1,624,"France","Male",51,10,123401.43,2,1,1,127825.25,0
"3236",1,684,"Spain","Male",34,9,100628,2,1,1,190263.78,0
"1278",1,743,"France","Male",42,7,77002.2,2,1,1,80428.42,0
"8728",1,734,"Germany","Female",30,7,123040.38,1,1,1,76503.06,0
"6469",1,767,"France","Female",35,6,115576.44,1,0,1,27922.45,0
"6187",1,618,"France","Male",37,5,0,1,0,1,178705.45,1
"2120",1,690,"France","Male",29,5,0,2,1,0,108577.97,0
"5834",1,656,"Germany","Female",49,9,97092.87,1,1,0,74771.22,1
"5006",1,733,"France","Male",48,5,0,1,0,1,117830.57,0
"1820",1,714,"Spain","Male",45,8,150900.29,2,0,1,139889.15,0
"7122",1,672,"France","Male",34,6,0,1,0,0,22736.06,0
"490",1,714,"Germany","Female",55,9,180075.22,1,1,1,100127.71,0
"1414",1,503,"Germany","Male",30,10,136622.55,2,0,0,47310.24,0
"8843",1,614,"France","Female",27,9,106414.57,2,0,0,77500.81,0
"9285",1,633,"France","Male",61,3,157201.48,1,0,1,50368.63,0
"9675",1,600,"France","Male",31,8,0,2,1,1,121555.51,0
"7805",1,684,"Germany","Male",59,9,122471.09,1,0,1,15807.07,0
"2997",1,729,"Spain","Female",45,7,91091.06,2,1,0,71133.12,0
"6062",1,544,"Germany","Male",47,5,105245.21,1,0,0,99922.08,1
"9491",1,624,"France","Male",80,3,0,1,1,1,65801.44,0
"6397",1,684,"Germany","Female",44,2,133776.86,2,0,1,49865.04,0
"2087",1,725,"Spain","Female",32,0,0,2,1,1,138525.19,0
"5199",1,604,"France","Male",40,1,84315.02,1,0,0,36209.1,0
"6933",1,647,"France","Female",42,9,0,2,1,1,51362.82,0
"9870",1,521,"France","Male",38,6,0,2,1,0,51454.06,0
"4115",1,624,"Germany","Male",54,3,116726.22,1,1,0,110498.1,1
"1580",1,618,"Germany","Male",41,8,37702.79,1,1,1,195775.48,0
"6811",1,546,"Germany","Female",42,9,86351.85,2,1,0,57380.13,0
"1680",1,712,"France","Female",42,1,87842.98,1,0,0,92223.59,0
"5451",1,803,"France","Male",33,6,0,2,1,0,115676.61,0
"4110",1,702,"Germany","Male",28,1,103033.83,1,1,1,40321.87,0
"6963",1,677,"Germany","Female",26,3,102395.79,1,1,0,119368.99,0
"9064",1,609,"France","Male",39,3,121778.71,1,1,1,138399.67,0
"2104",1,594,"France","Male",61,3,62391.22,1,1,1,192434.11,0
"9897",1,795,"France","Female",40,2,101891.1,1,1,1,183044.86,0
"9711",1,543,"Germany","Female",37,3,122304.65,2,0,0,33998.7,0
"9296",1,658,"Germany","Female",45,9,134562.8,1,1,1,159268.67,0
"2587",1,691,"France","Male",50,6,136953.47,1,1,1,2704.98,0
"9966",1,627,"Germany","Female",33,4,83199.05,1,0,0,159334.93,0
"3768",1,769,"France","Male",29,4,145471.37,1,1,0,188382.77,0
"5133",1,439,"France","Female",66,9,0,1,1,0,65535.56,0
"9652",1,469,"France","Male",33,1,127818.52,1,1,0,163477.22,0
"7799",1,518,"France","Male",46,3,0,2,1,0,76515.79,0
"6258",1,774,"Germany","Male",36,9,130809.77,1,1,0,152290.28,0
"9259",1,539,"France","Male",20,0,83459.86,1,1,1,146752.67,0
"7256",1,563,"France","Female",32,0,148326.09,1,1,0,191604.27,1
"937",1,775,"France","Male",52,8,109922.61,1,1,1,96823.32,1
"871",1,535,"France","Female",40,8,0,1,1,1,27689.77,0
"1918",1,428,"Germany","Female",40,3,129248.11,2,1,0,72876.43,1
"3732",1,554,"Germany","Female",51,7,105701.91,1,0,1,179797.79,1
"5349",1,547,"Germany","Male",41,3,151191.31,1,1,0,175295.89,1
"5333",1,710,"Spain","Female",29,3,119670.18,1,1,0,188022.44,0
"6018",1,487,"France","Female",34,2,96019.5,1,0,0,9085,0
"2919",1,578,"Germany","Female",38,4,113150.44,2,1,0,176712.59,1
"9214",1,584,"France","Female",40,4,82441.75,1,0,0,80852.11,0
"4163",1,652,"France","Female",74,5,0,2,1,1,937.15,0
"8850",1,664,"France","Female",38,4,74306.19,2,1,0,154395.56,0
"1311",1,748,"Germany","Female",27,2,90971.85,1,1,1,131662.47,0
"7045",1,678,"France","Male",26,3,0,2,1,0,4989.33,0
"3690",1,703,"France","Female",45,5,0,2,1,0,131906.44,0
"2806",1,688,"France","Female",51,5,0,1,1,0,91624.11,1
"9657",1,696,"Germany","Male",32,4,84421.62,1,0,1,52314.71,0
"5545",1,507,"France","Male",42,6,0,2,1,0,34777.23,0
"8832",1,599,"France","Female",41,2,91328.71,1,1,0,115724.78,0
"9372",1,641,"France","Male",31,9,112494.99,1,1,1,32231.6,0
"8721",1,711,"France","Female",28,8,0,2,0,0,105159.89,0
"5912",1,752,"France","Male",33,4,0,2,1,1,39570.78,0
"437",1,627,"Germany","Female",30,4,79871.02,2,1,0,129826.89,0
"984",1,614,"Germany","Female",35,6,128100.28,1,0,0,69454.24,1
"9022",1,655,"Germany","Female",61,2,183997.7,2,1,1,161217.18,0
"8526",1,712,"France","Female",29,8,140170.61,1,1,1,38170.04,0
"1886",1,563,"Spain","Male",32,6,0,2,1,1,19720.08,0
"425",1,596,"France","Male",39,9,0,1,1,0,48963.59,0
"472",1,703,"France","Male",37,1,149762.08,1,1,0,20629.4,1
"3090",1,743,"France","Male",40,8,68155.59,1,1,0,94876.65,0
"8485",1,802,"France","Female",60,3,92887.06,1,1,0,39473.63,1
"9476",1,616,"France","Male",46,2,0,2,1,0,137136.46,0
"513",1,735,"Spain","Male",34,5,0,2,0,0,71095.41,0
"9089",1,736,"Germany","Female",36,8,103914.17,1,1,1,110035.88,1
"8512",1,643,"Germany","Male",28,9,160858.13,2,1,0,27149.27,0
"2724",1,614,"France","Female",41,8,121558.46,1,1,1,598.8,0
"3856",1,708,"Germany","Male",32,3,151691.44,2,1,1,172810.51,0
"2405",1,631,"Germany","Male",37,8,138292.64,2,0,0,152422.91,1
"154",1,539,"France","Male",37,2,127609.59,1,1,0,98646.22,0
"2049",1,567,"France","Female",35,5,166118.45,2,1,0,127827.18,0
"5282",1,687,"Spain","Male",31,3,0,2,0,0,48228.1,0
"5739",1,653,"France","Male",38,8,119315.75,1,1,0,150468.35,0
