"","y","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","SeriousDlqin2yrs"
"4766",1,0.125823247,52,0,0.180296811,9500,4,0,1,0,2,0
"8576",1,0.478124637,41,0,0.737864078,6900,12,0,5,0,3,1
"10126",1,0.793453919,45,0,0.14214308,3200,5,0,0,0,0,1
"14239",1,0.827592968,51,0,0.322573703,9293,12,0,1,0,5,1
"11963",1,0,33,1,0.096725819,4000,8,0,0,1,0,1
"4809",1,0,57,0,0.270317443,9166,5,0,1,0,0,0
"927",1,0.268943475,55,0,0.127325922,8544,5,0,0,0,0,0
"11397",1,0.9999999,30,0,0.087330105,6400,4,0,0,0,0,1
"4782",1,0.055808877,42,0,0.014459314,6500,5,0,0,0,0,0
"2860",1,0.002666598,52,1,0.222491703,7833,14,0,1,0,0,0
"7022",1,0.093628028,57,0,0.261658729,11128,19,0,1,0,1,0
"7026",1,0.054109613,45,0,0.434077522,13750,14,0,2,0,3,0
"2919",1,0.022941745,59,0,0.49861547,5416,40,0,1,0,0,0
"4056",1,0.288722202,79,0,0.4162799,2800,25,0,1,0,1,0
"6356",1,0.164992489,52,0,0.19844502,2700,10,0,0,0,4,0
"15420",1,0.222967343,38,0,0.367947436,7000,14,0,1,0,2,1
"9638",1,0.592294562,57,4,1.323504634,2373,9,0,1,0,0,1
"16635",1,1.004183029,33,0,1.151282906,3000,12,0,3,1,0,1
"463",1,0.70778601,42,0,0.99387855,4083,7,0,2,0,0,0
"16448",1,0.478152488,43,1,0.278303673,5281,6,0,1,1,3,1
"5306",1,0.9999999,32,0,0.411398246,4333,3,0,1,0,3,0
"13780",1,0,24,1,0,1600,2,0,0,0,0,1
"7345",1,0.379530755,65,1,0.214385778,20700,8,0,2,0,0,0
"5081",1,0.551177953,49,0,1.018687527,2300,4,0,1,0,0,0
"2861",1,0.175839229,65,0,0.323795459,10833,20,0,2,0,0,0
"14906",1,0.9999999,38,0,0.019993336,3000,1,0,0,0,1,1
"3093",1,0.650938432,29,0,0.209386282,3600,4,0,0,0,1,0
"16247",1,0.85971389,55,0,0.599348239,11046,18,7,6,6,1,1
"11478",1,0.757475083,55,0,0.484175458,1800,7,4,2,2,0,1
"14069",1,1.610556348,45,1,0.207700852,2700,3,4,0,1,2,1
"11535",1,0.141997264,53,0,0.172322093,9400,11,1,2,0,1,1
"7898",1,0.2966392,23,0,0.06054812,1568,3,0,0,0,0,0
"11387",1,0.9999999,36,0,0.11001142,2626,1,1,0,1,0,1
"4178",1,0.531945498,64,0,0.447966648,12712,8,0,2,0,0,0
"13224",1,0.819287576,39,0,0.61437618,9000,13,0,2,0,0,1
"9533",1,0.871407594,49,5,0.198790979,4300,10,0,0,0,4,1
"3151",1,0.49228996,57,0,0.454947368,4749,9,0,2,0,0,0
"6129",1,0.287965052,40,0,0.186120925,15000,13,0,2,0,0,0
"2806",1,0.369970509,59,0,0.363356665,13000,17,0,2,0,1,0
"13117",1,0,39,0,0.232806555,6833,9,0,1,0,1,1
"1915",1,0.015966414,61,0,0.007495315,1600,9,0,0,0,0,0
"3206",1,0.9999999,38,1,0.8814448,3432,6,0,2,0,1,0
"10779",1,0.276827003,48,1,0.572063428,9900,14,1,4,0,2,1
"15766",1,0.969458247,30,0,0.130967258,4000,2,0,0,0,2,1
"8578",1,0.9999999,24,0,0.068850639,1800,0,3,0,0,1,1
"15047",1,0.574850299,31,0,0.090969677,3000,2,0,0,1,0,1
"3555",1,0.314700097,57,0,0.258133333,11249,10,0,2,0,0,0
"8527",1,0,26,0,0.084269663,533,1,2,0,0,2,1
"2020",1,0,48,0,0.292169501,14583,7,0,2,0,2,0
"624",1,0.261530329,63,0,0.422041534,9100,9,0,1,0,0,0
"1883",1,0.308129207,69,0,0.828429153,2208,12,0,1,0,0,0
"9993",1,0.9999999,63,0,0.544984933,4645,3,0,1,3,1,1
"4745",1,0.9999999,56,0,0.835407467,2490,3,0,2,0,0,0
"15028",1,0.9999999,58,6,3.972309396,5416,12,0,9,1,0,1
"12366",1,0.194813757,48,0,0.271394295,3750,8,0,1,1,1,1
"9818",1,0.020070782,50,0,0.187762448,5000,9,0,1,0,1,1
"1393",1,0,43,0,0.312949986,10416,5,0,3,0,3,0
"159",1,0,62,0,1.017585931,1250,7,0,3,0,0,0
"15824",1,0.880010256,46,0,0.673028857,4400,13,0,2,0,1,1
"1484",1,0.428845066,46,0,0.165321261,18333,9,0,2,0,4,0
"2717",1,0.109505984,56,0,0.10466761,2120,12,0,0,0,0,0
"5741",1,0.017832073,60,0,0.00489716,4083,5,0,0,0,0,0
"10434",1,0.925349922,30,0,0.109617373,966,3,0,0,0,1,1
"11023",1,0.888475137,53,6,0.30324516,11000,13,0,1,1,0,1
"3054",1,0.0419985,65,0,0.044558698,1166,1,0,0,0,0,0
"8616",1,0.030300997,47,0,0.008247938,4000,6,0,0,0,0,1
"14833",1,0.9999999,77,0,0.022393677,5313,0,1,0,1,0,1
"1968",1,0.455031244,80,0,2.65913371,1592,13,0,1,0,1,0
"15081",1,1.050794921,30,2,0.487225977,6066,8,0,2,3,0,1
"12861",1,0.614855947,39,0,0.341339541,9450,12,0,2,0,2,1
"3287",1,0.401550221,45,0,0.384384635,12000,9,0,2,0,4,0
"5797",1,0.654859219,22,0,0.142605116,3400,3,0,0,1,1,0
"2283",1,0,78,0,0.069572171,2500,4,0,0,0,0,0
"1634",1,0.616661447,72,0,0.658085479,4000,12,0,1,0,0,0
"12515",1,0.018107966,31,0,0.178912352,6913,10,2,0,0,4,1
"5664",1,0.058760191,26,0,0.319736053,1666,4,0,0,0,0,0
"13320",1,0.398878958,46,0,0.241174633,3200,4,3,1,0,0,1
"15511",1,0.991440799,44,2,0.482680935,3550,7,0,1,1,2,1
"10903",1,1.136212625,37,0,0.062298108,2166,3,1,0,0,1,1
"15840",1,0.319295254,52,0,0.56958275,12150,18,0,2,0,3,1
"11398",1,0.9999999,25,0,0,6550,0,0,0,0,0,1
"5205",1,0.07139881,53,0,0.442005993,11345,20,0,1,0,0,0
"6947",1,0.085201007,65,0,0.356352665,2982,11,0,2,0,0,0
"13597",1,0.831646044,49,1,0.310229923,3000,3,2,0,0,0,1
"2377",1,0.036477846,77,0,0.033343721,3208,4,0,0,0,0,0
"4349",1,0.055294471,50,0,0.234826287,7166,2,0,1,0,1,0
"8973",1,0.9999999,45,1,0.095800988,5667,3,3,0,1,2,1
"6485",1,0.0763245,79,0,0.303929251,8932,6,0,3,0,0,0
"13160",1,0.905081496,45,0,0.838131357,5800,7,0,2,0,0,1
"10262",1,0.984000696,43,2,0.782817997,5400,8,1,2,0,2,1
"10420",1,0.565689736,47,0,0.881367639,5790,12,0,2,0,2,1
"6591",1,0.154331952,51,0,0.129224149,7900,9,0,1,0,2,0
"2555",1,0.472029104,57,0,0.297081168,2500,8,0,0,0,0,0
"2704",1,0.80394079,42,0,0.226239817,6996,10,0,0,0,1,0
"13133",1,0.859407305,43,0,0.216956683,2700,5,0,0,0,0,1
"15080",1,0.417394064,32,3,0.171027552,5770,7,3,0,3,1,1
"13292",1,0.247858661,38,2,0.460277008,9024,17,0,1,0,2,1
"773",1,1.113735783,41,1,0.17434973,3882,5,2,0,3,1,0
"13363",1,0.643689165,54,0,0.572815534,1750,9,0,0,0,0,1
"13965",1,1.108420351,48,0,0.16522041,2880,4,2,0,2,2,1
"8243",1,0.318704029,54,0,0.19334238,12526,7,0,2,0,1,0
"12738",1,0.9999999,57,1,0.038568257,3603,3,0,0,0,1,1
"4985",1,0.005634326,36,1,0.287505532,6778,12,0,1,0,2,0
"2102",1,0.602794411,25,0,0.065868263,333,2,0,0,0,0,0
"2987",1,0,33,0,0.308527974,1840,8,0,0,0,1,0
"10748",1,0.144294381,60,0,0.044836563,3456,3,0,0,1,0,1
"758",1,0.019381221,49,0,0.83837807,1750,9,0,1,0,1,0
"10535",1,0.656904425,50,2,0.194363972,3796,9,1,0,0,2,1
"3645",1,0.9999999,56,0,0.201236139,5500,5,0,1,0,0,0
"4066",1,0.035708891,67,0,0.46832473,2130,8,0,1,0,0,0
"4172",1,0.148361318,74,0,0.02139786,10000,3,0,0,0,0,0
"12604",1,0.811382426,27,1,0.333496094,2047,4,0,0,0,1,1
"2058",1,0.038824932,50,0,0.46538389,5300,7,0,2,0,2,0
"30",1,0.038249276,50,1,0.367148441,11000,9,0,2,0,0,0
"16162",1,0.801578218,54,2,0.460089985,6000,12,0,2,1,1,1
"10809",1,0.6812749,47,1,0.027597792,8333,2,0,0,0,0,1
"2711",1,0.244253669,35,1,0.088789853,5833,4,0,0,0,2,0
"6136",1,0.135557624,35,0,0.170491475,20000,6,1,1,0,1,0
"1991",1,0.323719804,63,0,0.610841267,5146,9,0,2,0,2,0
"15809",1,0.326272741,50,1,0.509046592,10666,17,0,5,0,4,1
"9028",1,0.970008569,38,2,0.577553957,3474,5,0,1,0,3,1
"14009",1,0.401532612,53,0,0.439246866,20500,22,0,5,0,1,1
"10640",1,0.9999999,40,2,0.434666667,1499,2,1,0,0,1,1
"458",1,0.353919183,48,0,0.575402236,3666,10,0,1,0,2,0
"8324",1,0.085767226,66,0,0.29936538,13708,20,0,1,0,2,0
"9059",1,0.9999999,62,1,0.687565091,4800,5,2,2,1,2,1
"6469",1,0.085420109,66,0,0.37938701,6296,3,0,1,0,0,0
"10485",1,0.500989899,47,2,2.485255031,7900,19,0,9,0,0,1
"10862",1,0.921790096,82,0,1.144146685,7089,14,0,2,0,0,1
"9682",1,1.198880299,37,2,0.478664524,5600,6,3,1,3,3,1
"7367",1,0.686969601,60,1,1.221926025,3000,12,0,2,0,0,0
"3888",1,0.621479152,53,0,0.306669333,10000,6,0,1,0,1,0
"7575",1,0,43,0,0.261871702,3600,6,0,1,0,2,0
"12650",1,1.045908184,23,0,0.007116232,2950,2,0,0,0,1,1
"7267",1,0.080118784,63,0,0.034129693,3808,5,0,0,0,0,0
"1302",1,0.01179941,61,0,0.450137466,4000,12,0,1,0,0,0
"13161",1,0.9999999,43,5,0.525124792,3004,8,2,0,2,2,1
"114",1,0.297683767,59,0,2.7995152,9900,13,0,2,0,2,0
"247",1,0.002903132,30,0,1.911668484,916,7,0,1,0,0,0
"9099",1,0.202411846,36,1,1.169201878,5324,19,0,2,0,1,1
"5847",1,0.035327997,51,0,0.048557555,7001,5,0,0,0,0,0
"5477",1,0.013456054,60,0,0.037984806,2500,15,0,0,0,0,0
"15104",1,0.624061527,61,1,0.135957471,8840,4,0,0,0,0,1
"16169",1,1.007608365,48,2,0.952419032,2500,8,0,0,4,0,1
"3856",1,0.048889462,52,0,0.456939652,14200,22,0,5,0,3,0
"4306",1,0.035964036,21,0,1,0,1,0,0,0,0,0
"7996",1,0.102513808,64,0,0.586863317,5830,13,0,3,0,0,0
"2309",1,0.165700742,61,1,0.397802028,12920,24,0,3,0,0,0
"6042",1,0.447057916,66,0,0.650215916,1620,5,0,0,0,0,0
"12390",1,0.324031653,29,1,0.053654024,1080,4,1,0,0,0,1
"5678",1,0.131062951,51,0,0.378884826,4375,9,0,2,0,0,0
"10173",1,0.024127851,69,0,0.423622413,4300,16,0,1,0,2,1
"10852",1,0.9999999,37,1,0.36031984,2000,10,0,0,1,0,1
"9006",1,0.957035854,49,2,0.305136795,7163,6,1,1,1,3,1
"11790",1,0.609456507,62,2,0.83831592,9666,19,4,2,0,3,1
"10439",1,0.357240251,53,0,0.455006922,4333,4,0,1,0,3,1
"4741",1,0.001819846,56,0,0.348959187,6100,17,0,1,0,1,0
"8235",1,0.256043599,71,1,641,0,5,0,0,0,0,0
"16456",1,0.647252767,38,1,0.455087889,6200,13,0,1,0,0,1
"10901",1,0.885257895,51,1,0.512429566,3016,6,1,0,3,1,1
"14498",1,0.731036091,60,2,0.359737807,9000,17,1,2,0,0,1
"7568",1,0.293129972,60,0,0.358910272,4000,7,0,1,0,1,0
"2579",1,0.024664258,56,0,0.456135966,4000,10,0,1,0,0,0
"10257",1,0.298804781,39,0,0.02270663,1100,1,2,0,0,4,1
"8132",1,0.770081452,29,1,0.503004808,3327,8,1,0,0,1,0
"3418",1,0.133686631,25,0,0.009359251,4166,2,0,0,0,0,0
"2890",1,0.058309615,53,0,0.091517857,3583,7,0,0,0,0,0
"13445",1,0.745309885,31,0,0.641213047,9166,16,0,2,0,1,1
"3700",1,0.153213451,77,0,0.292223095,2545,9,0,1,0,0,0
"7342",1,0.107993734,73,0,0.100838397,13000,8,0,0,0,1,0
"1282",1,0,67,0,0.44403183,1884,7,0,1,0,0,0
"3101",1,0.079009332,48,0,0.209124398,7057,12,0,0,0,0,0
"14571",1,0.9999999,36,0,0,4000,0,1,0,0,0,1
"334",1,0.069115388,73,0,0.178067885,3829,9,0,1,0,0,0
"4577",1,0.034288204,50,0,0.188120792,15000,11,0,3,0,5,0
"6117",1,0.284270919,57,0,1.246053462,4750,12,0,1,0,0,0
"3952",1,0.129057068,78,0,0.012652508,2212,2,0,0,0,0,0
"12449",1,0.9999999,34,1,0.390881216,7500,5,0,1,0,1,1
"6396",1,0.934005832,50,0,0.679432057,10000,13,0,2,0,0,0
"10196",1,0.99090294,45,2,0.268474436,4830,5,0,0,0,3,1
"1841",1,0,61,0,0.124019697,5482,5,0,0,0,3,0
"12309",1,1.028657114,44,1,0.480651935,10000,6,0,1,1,2,1
"4709",1,0.541830887,68,0,0.184110971,9515,22,0,1,0,0,0
"9579",1,0.9999999,34,1,0.59141143,3166,4,1,1,1,2,1
"14818",1,0.9999999,46,0,0.000869187,2300,0,0,0,0,0,1
"13107",1,0.9999999,41,0,0.868131868,1000,1,0,0,1,5,1
"3246",1,0,41,0,0.095642933,3763,4,0,0,0,2,0
"7942",1,0.051638631,65,0,0.122377943,10916,8,0,1,0,0,0
"6076",1,0.330743789,56,1,1.133037694,450,2,0,1,0,0,0
"12413",1,0.9999999,26,0,0.119919719,1992,2,2,0,0,0,1
"4472",1,0.012048193,59,0,0.179481076,4200,7,0,1,0,1,0
"326",1,0.847235662,32,0,0.259532841,5008,5,0,0,0,4,0
"3986",1,0.079384123,57,0,0.001333172,8250,3,0,0,0,0,0
"7357",1,0.407720852,61,0,0.268606976,4500,9,0,0,0,1,0
"1872",1,0.003286946,43,0,0.168156908,3466,17,0,1,0,2,0
"13079",1,0.772074327,59,0,0.31086716,11750,16,0,2,0,0,1
"1154",1,0.03435095,52,0,0.278659612,10772,8,0,1,0,1,0
"14225",1,0.910699535,69,5,95.30092237,2601,14,1,2,5,1,1
"8641",1,0.209494224,25,0,0.326076439,6200,7,0,1,0,0,1
"3228",1,0.518192947,46,0,0.752670397,7863,23,0,2,0,2,0
"2095",1,0.327198957,30,0,0.204819277,5394,3,0,0,0,2,0
"8393",1,1.248751249,33,0,0.175120326,2700,3,2,0,0,0,1
"15448",1,0,47,0,0.328145266,3083,6,0,1,0,0,1
"12182",1,0.195234435,22,0,0.002499107,2800,2,0,0,0,0,1
"15295",1,0.337831084,26,0,0.17553469,3833,7,0,0,0,0,1
"8152",1,0.11026866,56,1,0.088007214,5544,7,0,0,0,2,0
"2838",1,0,78,0,0.373304158,2284,11,0,1,0,0,0
"5945",1,0.185619757,74,1,0.12323973,12000,8,0,0,0,0,0
"14257",1,0.847892221,26,3,0.191120259,3400,8,0,0,0,0,1
"8687",1,0.988204456,46,0,0.051937611,6218,7,0,0,0,1,1
"3730",1,0.614625149,45,1,0.6565514,4250,13,0,1,0,0,0
"15439",1,0.9999999,46,0,0.038143924,5085,1,2,0,0,3,1
"3031",1,0.846773719,53,2,1.439100562,1600,8,0,1,1,0,0
"2142",1,0.064134161,57,0,0.201173177,7500,9,0,1,0,1,0
"9051",1,0.9999999,30,1,0.109424181,5400,4,3,0,2,0,1
"1280",1,1.005554994,34,0,0.613233557,7616,8,0,2,0,1,0
"6827",1,0.242648693,27,0,0.124468883,4000,8,0,0,0,0,0
"5307",1,0.21025493,52,0,0.295478894,9333,8,0,2,0,2,0
"6041",1,0.053186392,59,0,0.731841764,3083,5,0,1,0,0,0
"3824",1,0.209414222,45,0,1701,0,9,0,0,0,3,0
"4719",1,0.226856562,57,0,1.030492785,3672,7,0,2,0,0,0
"10878",1,0.013297085,42,0,0.003683241,3800,7,0,0,0,1,1
"11545",1,0.249262102,37,2,1.67130829,3087,7,1,2,0,0,1
"3983",1,0.669767152,32,0,0.372525495,5000,8,0,0,0,3,0
"7705",1,0.528811823,44,1,0.173230064,9166,6,0,0,0,2,0
"9121",1,0.388914682,55,1,0.563907871,3950,7,0,1,0,0,1
"7597",1,0.046290469,74,0,2.091383812,765,4,0,1,0,0,0
"5111",1,0.854845806,65,1,0.305525353,10116,6,0,0,0,0,0
"15174",1,0.9999999,58,0,0.085257226,5500,3,3,0,0,3,1
"13654",1,0,65,0,0.434385382,1203,6,0,0,0,0,1
"3678",1,0.096935449,27,0,0.005985267,2171,2,0,0,0,0,0
"8756",1,0.592001702,34,2,0.510686164,5333,6,1,1,0,0,1
"10982",1,0.9999999,75,0,0.165648261,9000,4,0,2,0,1,1
"443",1,0.04080806,36,1,0.007664112,3000,6,0,0,0,0,0
"11668",1,1.018593229,29,0,0.294633643,1937,4,0,0,0,0,1
"8497",1,0,43,0,0.454052007,7921,4,0,1,3,1,1
"8745",1,0.419627554,63,1,0.438756124,10000,13,1,2,0,0,1
"3768",1,0.64591926,72,0,0.085182963,5000,7,0,0,0,0,0
"11088",1,0.351750973,70,2,0.946017994,3000,5,2,2,0,0,1
"7126",1,0.056733922,65,0,0.333787837,3666,15,0,1,0,1,0
"16670",1,0.996890725,31,2,1413,0,6,0,0,0,0,1
"1494",1,0.104344783,43,0,0.413635498,5250,6,0,2,0,0,0
"10230",1,0,29,0,0.71732067,4000,7,0,1,0,2,1
"12467",1,0.488609422,55,1,0.155354739,5200,7,2,0,1,1,1
"13888",1,1.228506141,30,0,0.31884058,2000,6,0,0,0,0,1
"11228",1,0.35258342,49,1,0.275987938,6300,11,0,1,0,4,1
"1837",1,0.983929528,52,0,0.260496183,4191,4,0,0,0,1,0
"10847",1,0.9999999,44,1,0.339787633,1600,1,1,1,0,0,1
"956",1,0.037646173,45,0,0.233418509,9000,8,0,0,0,4,0
"14346",1,0.9999999,45,0,0.04041721,2300,1,0,0,1,0,1
"8143",1,0.259354807,47,0,0.031624012,32000,5,0,1,0,3,0
"13818",1,0,79,2,0.494929296,7000,9,0,1,0,0,1
"14083",1,0.889330758,39,3,2356,0,10,3,1,0,2,1
"192",1,0.043464486,44,0,0.555222253,11000,11,0,3,0,2,0
"5357",1,0.354588447,42,0,1.087825777,2800,18,0,1,0,1,0
"14740",1,0.234859354,47,1,0.32642487,1350,11,0,0,0,3,1
"16399",1,0.9999999,50,0,0.044630404,2150,0,0,0,0,0,1
"4866",1,0.334599757,48,0,0.209731898,9473,7,0,2,0,0,0
"5841",1,0.631424218,62,0,0.377118209,9736,17,0,2,0,1,0
"14654",1,0.956810631,29,2,0.241394431,4560,5,3,0,0,0,1
"528",1,0.255672756,61,0,0.37507379,13551,14,0,2,0,1,0
"10935",1,1.053406239,39,0,0.312601088,6800,20,0,1,0,2,1
"4351",1,0.200719712,65,0,0.30796819,6412,2,0,1,0,0,0
"12470",1,0.519309498,35,0,0.0797029,7000,9,0,0,0,0,1
"9950",1,0.9999999,52,0,0.011244378,5335,2,2,0,0,1,1
"679",1,0.029727524,78,0,0.06432942,6046,4,0,0,0,0,0
"12918",1,0.562205399,47,0,0.417845689,5300,6,0,1,0,3,1
"16415",1,0.814065885,48,1,0.232067511,5450,7,3,0,0,2,1
"5566",1,0,56,0,0.322933853,6666,11,0,2,0,0,0
"4941",1,0.049730709,60,0,0.363663634,10000,16,0,3,0,4,0
"8054",1,0.049999219,45,0,0.24047578,5800,12,0,2,0,3,0
"5302",1,0.029414215,60,0,0.237906906,3286,10,0,0,0,0,0
"8613",1,0.952629292,65,1,1.086778737,2200,4,0,1,1,1,1
"10665",1,0.068827347,30,2,0.414065104,9000,6,0,2,0,0,1
"12060",1,0.943854792,46,1,0.549358342,4051,6,0,0,0,3,1
"1458",1,0.746809447,47,0,0.357940343,6000,9,0,1,0,1,0
"3441",1,0.90098819,43,1,0.813145217,2905,8,0,1,0,0,0
"9778",1,1.287356322,34,1,0.140388769,4166,5,0,0,0,4,1
"41",1,0.26785797,37,0,0.647423479,2580,10,0,0,0,2,0
"4316",1,0.012707804,39,2,0.412529157,3000,11,0,0,0,2,0
"13604",1,1.083431257,44,1,0.757846451,4141,3,0,1,1,2,1
"2652",1,0.882185918,46,0,29.68316832,100,7,0,2,0,0,0
"13665",1,0.884235085,53,0,0.067023374,3550,1,1,0,0,2,1
"5747",1,0.124199012,33,0,0.650094399,4766,7,0,1,0,0,0
"4815",1,0.483033932,32,1,0.253553416,2180,3,0,0,1,0,0
"12037",1,0.718211956,30,0,0.020137185,15890,3,0,0,0,0,1
"396",1,0.9999999,33,1,0.105213045,4200,1,0,0,0,3,0
"16560",1,0.9999999,41,3,0.185532289,6828,6,0,1,2,2,1
"10354",1,0.099525677,39,0,0.713406819,3900,9,0,2,0,0,1
"7850",1,0.200078643,71,0,1.011993603,3751,21,0,2,0,0,0
"15513",1,0.9999999,56,1,0,5166,0,3,0,0,0,1
"14842",1,0.410299943,36,0,1.007508834,2263,9,0,1,0,2,1
"16192",1,0.9999999,48,1,0.227631128,2916,3,0,0,0,2,1
"6835",1,0.473536717,58,0,0.18839779,9049,4,0,1,0,0,0
"14033",1,0.12194251,29,2,0.488001846,4333,6,0,2,0,0,1
"10861",1,0.818580834,41,0,0.434134362,5700,7,1,1,0,3,1
"11768",1,0.188407008,53,0,0.160139977,6000,8,1,1,0,0,1
"2392",1,0.010786274,73,0,0.001845992,7583,7,0,0,0,0,0
"1130",1,0.366463354,63,0,0.1568027,16000,7,0,3,0,1,0
"3691",1,0.139432491,65,0,371,0,8,0,0,0,0,0
"14319",1,0.9999999,58,2,0.103474131,4000,2,2,0,0,2,1
"10967",1,0.851029794,32,1,0.185558527,4860,5,5,0,0,0,1
"15048",1,0.918630086,62,1,0.984992275,4530,13,1,2,0,0,1
"672",1,0.289241927,67,0,0.216924534,6333,12,0,2,0,0,0
"2406",1,0.16704502,88,0,1.193859336,2800,12,0,4,0,0,0
"10326",1,0.981555032,42,1,0.553602243,9271,21,0,2,0,1,1
"825",1,0.155653696,66,0,0.387497927,6030,8,0,1,0,0,0
"10959",1,0.765234765,22,0,0.014656895,1500,1,0,0,0,0,1
"13199",1,0.573685263,34,0,0.360409898,4000,5,0,2,0,0,1
"13697",1,0.871114343,55,1,0.68097587,7500,7,0,2,0,0,1
"9935",1,0.946843854,23,1,1.700348432,286,3,2,0,0,0,1
"7533",1,0.058950907,40,0,120,0,4,0,0,0,2,0
"16137",1,0.502339612,45,0,0.670501411,4606,11,0,1,0,0,1
"14997",1,0.751730621,48,5,0.308338332,1666,13,0,0,0,2,1
"4643",1,0.101727285,52,0,0.44881163,13000,18,0,1,0,0,0
"8686",1,1.010430248,32,1,0.313493866,2200,5,1,0,2,4,1
"4042",1,0.00286197,35,0,0.79337653,4166,8,0,2,0,0,0
"904",1,0.470573297,51,0,0.188310915,8400,5,0,0,0,1,0
"6528",1,0.198823096,63,1,0.360319449,6385,25,0,1,0,0,0
"2738",1,0.117725714,45,0,0.01330627,4433,3,0,0,0,0,0
"10740",1,0.297304504,33,0,0.353842785,13700,15,1,1,0,1,1
"14668",1,0.908366534,35,2,0.23431427,1800,3,1,0,1,0,1
"10209",1,0.163346614,39,0,0.217797034,6000,4,0,0,0,3,1
"7340",1,0.919970043,54,0,0.30260529,50550,20,0,3,0,0,0
"82",1,0.147123525,41,0,0.436025621,6400,5,0,1,0,2,0
"14683",1,0.865913409,32,3,0.190106993,6448,11,0,0,1,4,1
"8741",1,0.475980001,39,1,0.521492836,3000,3,0,2,0,3,1
"10578",1,0.673519334,58,0,0.607913669,1111,5,0,0,0,0,1
"14472",1,0.503612187,46,1,0.168383162,10000,7,1,1,1,3,1
"6258",1,0.0378483,45,0,0.140041256,4362,7,0,0,0,0,0
"6513",1,0.165933627,24,0,0.004284184,2800,2,0,0,0,0,0
"13606",1,0.9999999,46,2,0.252369347,3692,4,2,0,0,2,1
"7501",1,0.799321963,56,0,0.360593754,7140,13,0,1,0,2,0
"10478",1,0.627038401,31,0,0.216594469,3000,4,1,0,1,3,1
"8787",1,0.975339088,54,1,0.488702929,3584,5,4,1,1,1,1
"3085",1,0.799606291,58,0,0.770654782,5833,10,0,1,0,0,0
"7124",1,0.06365166,42,0,0.254337603,12333,8,0,2,0,2,0
"819",1,0.134149268,79,2,0.195251219,4716,8,0,1,0,0,0
"1120",1,0.05575925,62,0,0.014802119,6417,6,0,0,0,0,0
"8735",1,0.9999999,29,0,494,0,2,0,0,0,0,1
"13252",1,0.971400683,45,3,0.747402078,1250,15,0,1,0,0,1
"12681",1,0.426962656,48,1,0.593876913,3200,12,0,3,0,1,1
"3265",1,0.042365989,69,0,0.069478303,4101,8,0,0,0,0,0
"14736",1,0.000303007,55,0,0.251582806,3000,6,0,0,1,2,1
"11947",1,0.972972973,37,1,0.186908019,4750,6,0,0,0,2,1
"12759",1,0.349333062,43,0,0.38238615,5313,13,0,1,0,0,1
"16386",1,0.475003731,51,1,0.386441403,4675,8,0,1,3,2,1
"10385",1,0.68813979,31,3,0.073325186,9000,5,0,0,1,0,1
"15147",1,0.9999999,39,1,0.353851964,5295,5,3,2,1,3,1
"3478",1,0,63,0,0.243438762,5943,7,0,1,0,1,0
"2650",1,0.100786181,46,0,0.04350114,5700,16,0,0,0,0,0
"5744",1,0.127893054,58,0,0.413683907,10420,14,0,2,0,0,0
"12165",1,0.9999999,50,2,0.625074985,5000,9,1,1,0,0,1
"11075",1,0.906002725,70,0,0.726560389,3700,11,2,2,0,0,1
"2087",1,0.402486879,62,0,0.474964006,6250,10,0,2,0,1,0
"8570",1,0.991008991,25,3,0.039745032,8000,4,2,0,0,0,1
"580",1,0.084442854,55,0,0.315367704,14100,12,0,3,0,2,0
"6934",1,0.996000667,32,0,0.462341702,4500,8,0,1,0,0,0
"4808",1,0.108299187,52,0,0.151979922,3585,13,0,0,0,0,0
"12293",1,0.685546465,47,0,0.529867533,4000,11,0,1,1,2,1
"14570",1,0.852603511,62,2,0.220524369,6216,9,0,0,1,2,1
"14123",1,0.9999999,47,0,0.303049422,4754,2,1,1,0,3,1
"2203",1,1.025206432,31,0,0.134818623,3500,2,0,0,1,4,0
"15730",1,0.207312114,44,0,0.537503313,3772,8,0,1,0,3,1
"10965",1,0.714107366,37,3,0.415528157,3000,7,2,0,0,3,1
"4309",1,0.230203297,64,0,0.652724546,6000,8,0,1,0,0,0
"15700",1,0.9999999,32,0,0.012254112,3100,1,0,0,0,0,1
"2769",1,0.008633936,37,0,0.002221729,4500,3,0,0,0,0,0
"14379",1,0.9999999,31,0,0.078854025,3664,4,2,0,1,2,1
"5691",1,0.091325906,53,2,0.331666833,10000,13,0,3,0,2,0
"10376",1,0.533682093,50,0,0.819091967,8589,10,6,1,4,0,1
"6477",1,0.38863428,27,0,0.113563479,5300,5,0,0,0,3,0
"13209",1,0.915582442,70,0,0.75788761,7384,18,0,3,0,0,1
"13178",1,0.9999999,33,0,0.340274885,2400,2,1,0,0,1,1
"3184",1,0.107580557,56,0,0.405998696,4600,13,0,2,0,3,0
"1979",1,0.645229198,46,0,0.412210271,6600,6,0,1,0,3,0
"7098",1,0.869839148,53,1,0.829322473,2700,8,0,1,0,0,0
"15039",1,0.941138526,28,0,0.308996089,2300,4,1,0,0,0,1
