"","y","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"893",1,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
"555",1,7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5
"797",1,5.9,0.44,0.36,2.5,0.03,12,73,0.99201,3.22,0.48,10.8,6
"4266",1,7.1,0.23,0.23,3.5,0.038,23,112,0.99157,3.05,0.37,11.3666666666667,6
"4296",1,5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,7
"934",1,6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5
"2782",1,6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,6
"842",1,4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,7
"4613",1,7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
"1484",1,6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
"4336",1,6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5
"275",1,7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6
"3350",1,7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3
"2072",1,6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6
"3749",1,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
"1201",1,6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5
"4465",1,5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6
"4040",1,7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6
"2193",1,6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6
"2160",1,5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6
"3349",1,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
"3811",1,6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5
"1528",1,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
"1791",1,6.9,0.19,0.39,8,0.028,22,84,0.994,3.11,0.66,10.8,6
"3528",1,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
"118",1,6.9,0.2,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,6
"3252",1,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3
"900",1,6.7,0.33,0.36,6.6,0.042,34,116,0.99123,2.97,0.31,12.2,8
"3340",1,6.6,0.16,0.35,1.8,0.042,26,105,0.98962,3.19,0.75,12.4,7
"359",1,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5
"4568",1,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5
"3259",1,6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10,5
"887",1,7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6
"4729",1,5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6
"2912",1,6.9,0.4,0.3,10.6,0.033,24,87,0.99265,3.15,0.45,12.8,6
"1325",1,6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6
"4076",1,7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5
"1449",1,6.2,0.3,0.3,2.5,0.041,29,82,0.99065,3.31,0.61,11.8,7
"992",1,5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,7
"3765",1,6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5
"1253",1,7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6
"4236",1,5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,7
"4502",1,7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5
"292",1,6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6
"2888",1,6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7
"81",1,7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5
"1701",1,6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5
"2207",1,9.2,0.28,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,6
"4631",1,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
"904",1,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5
"3130",1,6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5
"1184",1,8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5
"1100",1,7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
"953",1,6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7
"4519",1,7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5
"2664",1,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
"4515",1,6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5
"4241",1,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
"3499",1,9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6
"4660",1,6.5,0.19,0.26,5.2,0.04,31,140,0.995,3.26,0.68,9.5,6
"606",1,6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6
"2627",1,7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7
"795",1,5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7
"3380",1,6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,5
"270",1,6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
"3498",1,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8
"2538",1,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
"1061",1,7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
"1684",1,6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5
"1436",1,6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6
"1965",1,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,7
"2831",1,5.9,0.28,0.39,1.4,0.031,47,147,0.98836,3.08,0.64,12.9,7
"777",1,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5
"1374",1,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,5
"2167",1,6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,6
"3539",1,6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
"1450",1,6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
"4133",1,6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,6
"4391",1,6,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11,6
"2958",1,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
"3958",1,8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
"3509",1,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6
"4838",1,6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5
"2020",1,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
"320",1,5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,8
"2893",1,7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6
"2568",1,6.6,0.16,0.25,9.8,0.049,59.5,137,0.995,3.16,0.38,10,6
"2439",1,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
"3126",1,6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6
"3231",1,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
"3427",1,7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,6
"2229",1,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
"780",1,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
"3151",1,6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6
"2628",1,6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6
"2554",1,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7
"20",1,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7
"4117",1,6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7
"1870",1,6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
"27",1,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7
"3339",1,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5
"1944",1,5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6
"4557",1,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
"3186",1,7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6
"2760",1,8,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9,5
"4412",1,6,0.41,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,6
"609",1,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
"3347",1,6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2,7
"3581",1,6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,7
"161",1,6.2,0.21,0.24,1.2,0.051,31,95,0.99036,3.24,0.57,11.3,6
"1168",1,6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6
"617",1,7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6
"4200",1,7,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5,8
"4288",1,4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6
"4247",1,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6
"74",1,8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,6
"523",1,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5
"3418",1,8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12,6
"3646",1,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8
"160",1,6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6
"3200",1,7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6
"3546",1,6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,5
"2681",1,6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5
"1694",1,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
"4345",1,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5
"3430",1,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
"991",1,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
"3262",1,6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5
"3203",1,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
"356",1,7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
"2658",1,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6
"2105",1,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
"3629",1,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
"66",1,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
"4347",1,6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7
"3061",1,6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,7
"812",1,5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,6
"1163",1,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5
"3472",1,6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
"3451",1,6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,7
"561",1,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8
"4495",1,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5
"3724",1,6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,5
"4028",1,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5
"2875",1,5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4,6
"4827",1,6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,7
"4881",1,7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
"4313",1,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
"3551",1,6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7
"1056",1,7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6
"2029",1,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6
"115",1,6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
"2521",1,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
"1545",1,5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6
"3120",1,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
"3024",1,7.3,0.145,0.33,1.1,0.042,14,64,0.99012,3.1,0.37,11.8,7
"4468",1,6.9,0.42,0.2,15.4,0.043,57,201,0.99848,3.08,0.54,9.4,5
"3478",1,7.4,0.23,0.25,1.4,0.049,43,141,0.9934,3.42,0.54,10.2,7
"2546",1,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
"846",1,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5
"1155",1,6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6
"1981",1,6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6
"3572",1,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
"1875",1,7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7
"1312",1,7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6
"871",1,8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6
"417",1,7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6
"2254",1,6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,7
"4058",1,5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,7
"4610",1,6.6,0.19,0.25,1.2,0.052,34,181,0.99352,3.3,0.42,9.4,7
"2468",1,5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5
"1172",1,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
"355",1,7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6
"4740",1,5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7
"1761",1,7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,7
"3735",1,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5
"4318",1,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
"3993",1,7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,6
"3747",1,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
"703",1,7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5
"4004",1,6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,7
"3871",1,8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
"1329",1,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
"2853",1,6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6
"4253",1,5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,6
"3085",1,7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6
"2307",1,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,4
"4385",1,6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7
"3381",1,6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,6
"1517",1,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
"2377",1,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
"4025",1,5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5
"1962",1,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4
"2556",1,7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,5
"2816",1,6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6
"3810",1,6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
"3639",1,5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7
"672",1,6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,7
"237",1,6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
"3931",1,6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6
"2846",1,7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7
"2342",1,6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6
"826",1,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
"2848",1,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
"192",1,5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7
"3751",1,6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6
"3907",1,8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4
"1513",1,6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,6
"39",1,7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7
"732",1,6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6
"4612",1,6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,7
"909",1,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
"673",1,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4
"3977",1,6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7
"3379",1,7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6
"1872",1,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,5
"3233",1,7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5
"3793",1,8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
"3315",1,5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5
"1005",1,5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,6
"1002",1,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5
"3249",1,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
"4717",1,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
"2240",1,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
"2409",1,6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5
"4741",1,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3
"4446",1,7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6
"4303",1,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
"3283",1,6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9,6
"467",1,6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
"638",1,5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
"4867",1,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6
"4617",1,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5
"2788",1,7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12,6
"961",1,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5
"247",1,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"3083",1,6.4,0.68,0.26,3.4,0.069,25,146,0.99347,3.18,0.4,9.3,5
"4738",1,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5
"3045",1,7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6
"1581",1,6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.44,12.6,6
"1811",1,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,6
"1483",1,7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,6
"360",1,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5
"293",1,7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5
"4512",1,5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,6
"2709",1,6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6
"2968",1,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
"4580",1,5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,7
"2541",1,6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
"3067",1,7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5
"2764",1,7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5
"4002",1,6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7,5
"489",1,6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,7
"2842",1,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"1614",1,8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6
"3467",1,6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,7
"3806",1,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,7
"4888",1,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7
"1770",1,7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
"2214",1,5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,6
"1967",1,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6
"3900",1,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,8
"3173",1,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8
"2379",1,6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6
"1416",1,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
"3686",1,6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,5
"4375",1,7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,6
"3090",1,8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6
"683",1,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5
"4280",1,6.2,0.1,0.41,1,0.04,17,76,0.98988,3.14,0.56,11.4,7
"2107",1,6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
"3657",1,6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,5
"3838",1,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5
"4327",1,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
"3306",1,5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4
"1114",1,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
"1567",1,7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
"728",1,7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6
"3076",1,6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6
"1214",1,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4
"666",1,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
"1182",1,7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
"3334",1,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
"4779",1,6.9,0.17,0.3,2,0.047,13,117,0.99152,3.16,0.51,11.6,6
"4189",1,6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,5
"1326",1,7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,6
"3938",1,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5
"1799",1,6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5
"4642",1,6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,6
