"","y","buying","maint","doors","persons","lug_boot","safety","class"
"1304",1,"med","high","3","4","small","med","unacc"
"688",1,"vhigh","low","5more","4","small","med","unacc"
"1230",1,"med","vhigh","3","more","big","low","unacc"
"1161",1,"low","high","3","4","small","low","unacc"
"1142",1,"low","high","4","2","big","high","unacc"
"1023",1,"high","med","2","2","med","low","unacc"
"301",1,"med","med","4","more","med","med","acc"
"1497",1,"low","low","3","more","med","low","unacc"
"956",1,"med","vhigh","5more","2","med","high","unacc"
"632",1,"med","med","5more","more","small","low","unacc"
"84",1,"med","med","5more","2","big","high","unacc"
"667",1,"med","high","5more","2","med","high","unacc"
"511",1,"high","vhigh","2","4","small","low","unacc"
"697",1,"vhigh","low","2","more","med","med","unacc"
"959",1,"vhigh","vhigh","3","more","small","low","unacc"
"790",1,"high","low","5more","2","small","high","unacc"
"217",1,"med","high","4","more","small","med","unacc"
"1487",1,"high","high","4","4","big","med","acc"
"1216",1,"high","high","3","2","med","high","unacc"
"878",1,"low","low","5more","more","big","low","unacc"
"1231",1,"high","med","2","more","small","med","unacc"
"1420",1,"low","vhigh","4","4","med","med","acc"
"517",1,"med","high","2","2","big","med","unacc"
"228",1,"high","low","4","4","big","low","unacc"
"423",1,"med","vhigh","3","2","small","high","unacc"
"663",1,"vhigh","high","3","4","small","med","unacc"
"187",1,"high","med","2","4","big","high","acc"
"1352",1,"med","vhigh","3","4","big","low","unacc"
"62",1,"vhigh","high","4","4","med","low","unacc"
"732",1,"vhigh","vhigh","5more","4","med","high","unacc"
"1276",1,"vhigh","med","3","2","small","low","unacc"
"508",1,"vhigh","low","4","more","med","low","unacc"
"58",1,"low","vhigh","2","more","small","low","unacc"
"639",1,"med","low","3","more","small","low","unacc"
"395",1,"low","vhigh","4","more","med","med","acc"
"1455",1,"vhigh","med","5more","4","small","med","unacc"
"516",1,"vhigh","high","3","4","small","high","unacc"
"1549",1,"low","low","3","more","med","med","good"
"811",1,"med","vhigh","2","more","small","med","unacc"
"701",1,"low","low","3","2","med","high","unacc"
"1526",1,"high","low","5more","more","small","low","unacc"
"1680",1,"vhigh","vhigh","5more","more","big","med","unacc"
"159",1,"low","vhigh","5more","more","small","med","unacc"
"604",1,"vhigh","low","4","2","med","high","unacc"
"854",1,"low","high","2","more","small","high","unacc"
"695",1,"low","high","3","4","small","med","acc"
"711",1,"high","low","5more","4","med","low","unacc"
"417",1,"med","low","3","4","small","med","acc"
"329",1,"med","low","5more","more","med","low","unacc"
"365",1,"vhigh","high","4","2","big","med","unacc"
"67",1,"high","high","4","more","big","high","acc"
"746",1,"med","low","2","4","big","high","vgood"
"25",1,"low","low","4","2","small","low","unacc"
"531",1,"vhigh","low","3","4","small","low","unacc"
"741",1,"high","vhigh","3","4","big","high","unacc"
"621",1,"med","vhigh","2","more","small","high","unacc"
"715",1,"high","low","4","4","small","med","unacc"
"637",1,"high","vhigh","2","2","med","med","unacc"
"264",1,"high","high","5more","more","med","high","acc"
"829",1,"vhigh","med","3","more","med","med","acc"
"1017",1,"vhigh","high","4","2","big","high","unacc"
"101",1,"vhigh","vhigh","3","4","med","med","unacc"
"605",1,"high","low","4","4","small","high","acc"
"946",1,"low","med","2","4","small","low","unacc"
"562",1,"low","med","3","more","med","high","vgood"
"1696",1,"low","vhigh","5more","2","big","high","unacc"
"748",1,"med","high","2","4","small","low","unacc"
"1682",1,"med","med","2","2","small","med","unacc"
"369",1,"high","med","5more","2","small","high","unacc"
"1545",1,"med","high","2","2","big","high","unacc"
"118",1,"med","vhigh","4","2","big","high","unacc"
"249",1,"vhigh","low","4","more","med","high","acc"
"202",1,"high","med","2","more","big","low","unacc"
"241",1,"vhigh","vhigh","2","2","med","low","unacc"
"425",1,"low","high","2","4","small","high","acc"
"454",1,"low","high","3","4","big","med","acc"
"706",1,"med","low","5more","4","big","low","unacc"
"299",1,"high","low","2","2","big","low","unacc"
"726",1,"high","vhigh","3","more","small","high","unacc"
"805",1,"vhigh","low","3","4","med","med","unacc"
"543",1,"vhigh","med","2","2","small","med","unacc"
"1098",1,"high","med","5more","more","small","low","unacc"
"941",1,"vhigh","vhigh","3","more","big","low","unacc"
"1508",1,"med","med","2","more","small","high","unacc"
"315",1,"high","vhigh","4","2","small","high","unacc"
"414",1,"med","low","2","2","small","med","unacc"
"896",1,"vhigh","low","2","more","big","high","acc"
"253",1,"med","med","3","2","big","med","unacc"
"244",1,"vhigh","high","2","4","small","low","unacc"
"126",1,"low","high","2","2","small","low","unacc"
"162",1,"high","low","5more","2","med","low","unacc"
"1300",1,"vhigh","high","2","4","big","med","unacc"
"908",1,"vhigh","med","2","2","med","low","unacc"
"670",1,"med","med","3","4","big","low","unacc"
"1193",1,"high","high","5more","more","small","high","acc"
"388",1,"high","low","3","more","big","med","acc"
"260",1,"low","vhigh","5more","4","small","low","unacc"
"96",1,"high","vhigh","3","more","big","high","unacc"
"1572",1,"med","vhigh","3","4","big","med","acc"
"900",1,"med","med","4","more","big","high","vgood"
"665",1,"low","low","3","2","small","low","unacc"
"1623",1,"vhigh","low","5more","more","small","med","unacc"
"1699",1,"med","high","3","more","small","high","acc"
"203",1,"low","med","4","2","small","high","unacc"
"1168",1,"vhigh","vhigh","2","more","big","low","unacc"
"547",1,"low","med","3","2","small","high","unacc"
"1156",1,"vhigh","low","2","4","small","med","unacc"
"951",1,"high","high","4","more","med","high","acc"
"1303",1,"vhigh","high","5more","4","med","low","unacc"
"453",1,"vhigh","low","2","4","small","low","unacc"
"1282",1,"med","high","5more","more","big","high","acc"
"279",1,"high","med","5more","4","med","med","acc"
"76",1,"med","vhigh","2","4","med","med","unacc"
"326",1,"med","low","3","4","med","low","unacc"
"1174",1,"low","med","4","2","big","med","unacc"
"384",1,"med","med","3","2","med","high","unacc"
"985",1,"low","med","2","4","big","low","unacc"
"1260",1,"med","high","2","4","med","med","unacc"
"1363",1,"vhigh","vhigh","5more","more","med","high","unacc"
"1233",1,"med","med","3","more","small","low","unacc"
"1219",1,"high","low","2","more","big","low","unacc"
"375",1,"vhigh","vhigh","4","4","big","med","unacc"
"1183",1,"vhigh","high","5more","2","med","med","unacc"
"875",1,"med","med","5more","4","med","low","unacc"
"380",1,"med","med","3","2","med","low","unacc"
"226",1,"med","vhigh","2","2","med","med","unacc"
"793",1,"low","high","4","4","med","high","vgood"
"1318",1,"high","med","5more","4","small","low","unacc"
"467",1,"high","med","4","2","big","high","unacc"
"1329",1,"vhigh","low","4","4","med","low","unacc"
"1603",1,"high","low","5more","2","big","low","unacc"
"403",1,"low","high","3","more","small","high","acc"
"953",1,"low","high","2","4","small","med","acc"
"66",1,"high","high","2","4","small","med","unacc"
"401",1,"high","high","2","4","big","low","unacc"
"230",1,"high","vhigh","3","4","med","med","unacc"
"285",1,"vhigh","high","2","more","big","med","unacc"
"445",1,"med","low","4","more","small","med","acc"
"1494",1,"med","high","5more","4","med","high","acc"
"636",1,"high","med","4","2","small","low","unacc"
"1041",1,"low","high","4","4","big","med","acc"
"1667",1,"high","low","2","more","small","high","unacc"
"984",1,"high","low","4","2","small","high","unacc"
"1655",1,"high","high","4","4","small","high","acc"
"1621",1,"vhigh","vhigh","4","4","med","high","unacc"
"1661",1,"low","med","5more","more","small","high","good"
"643",1,"high","vhigh","3","4","big","low","unacc"
"584",1,"high","low","3","4","med","low","unacc"
"958",1,"high","med","3","more","big","low","unacc"
"1051",1,"high","vhigh","2","2","med","high","unacc"
"1169",1,"vhigh","vhigh","5more","2","big","low","unacc"
"907",1,"med","vhigh","5more","2","big","low","unacc"
"692",1,"low","high","5more","4","big","med","acc"
"568",1,"vhigh","vhigh","4","4","big","high","unacc"
"1704",1,"med","high","3","more","big","med","acc"
"970",1,"vhigh","high","4","more","small","low","unacc"
"1350",1,"vhigh","low","2","2","med","high","unacc"
"1377",1,"med","vhigh","5more","4","big","low","unacc"
"1514",1,"vhigh","med","4","2","small","med","unacc"
"1007",1,"low","vhigh","5more","2","med","low","unacc"
"513",1,"low","med","4","4","big","high","vgood"
"1581",1,"vhigh","med","4","more","big","med","acc"
"599",1,"vhigh","vhigh","4","2","small","high","unacc"
"1491",1,"low","high","2","more","small","med","unacc"
"758",1,"high","low","3","4","small","med","unacc"
"1103",1,"low","low","5more","4","big","low","unacc"
"19",1,"vhigh","med","2","4","small","low","unacc"
"1425",1,"low","low","4","more","med","high","vgood"
"974",1,"high","low","2","more","med","high","acc"
"704",1,"med","low","5more","4","med","low","unacc"
"1124",1,"vhigh","high","4","2","small","low","unacc"
"585",1,"high","vhigh","5more","2","small","med","unacc"
"482",1,"high","high","3","4","med","high","acc"
"83",1,"low","vhigh","4","more","big","high","acc"
"88",1,"vhigh","vhigh","5more","2","med","med","unacc"
"1645",1,"vhigh","med","4","more","small","high","acc"
"969",1,"vhigh","med","2","more","med","med","unacc"
"1043",1,"low","low","5more","more","big","high","vgood"
"216",1,"med","low","2","4","med","high","good"
"102",1,"low","low","4","4","small","low","unacc"
"1500",1,"vhigh","vhigh","5more","2","small","med","unacc"
"64",1,"med","vhigh","4","4","small","low","unacc"
"1328",1,"low","high","5more","2","small","high","unacc"
"1286",1,"med","vhigh","5more","more","big","med","acc"
"514",1,"med","high","3","4","med","med","unacc"
"530",1,"low","med","2","2","big","low","unacc"
"246",1,"high","vhigh","3","4","small","med","unacc"
"1647",1,"med","vhigh","3","more","med","low","unacc"
"1181",1,"low","med","5more","4","big","high","vgood"
"1018",1,"vhigh","high","4","4","small","med","unacc"
"30",1,"low","high","2","more","med","med","acc"
"736",1,"med","med","3","4","med","med","acc"
"1130",1,"high","med","5more","4","small","high","acc"
"573",1,"med","vhigh","3","4","big","high","acc"
"1653",1,"med","med","3","more","med","high","vgood"
"1005",1,"med","vhigh","2","2","small","med","unacc"
"1225",1,"low","low","2","more","big","low","unacc"
"886",1,"vhigh","high","4","4","med","high","unacc"
"1405",1,"med","low","4","more","big","low","unacc"
"442",1,"low","vhigh","5more","more","small","low","unacc"
"923",1,"low","high","5more","more","med","med","acc"
"477",1,"high","high","3","2","med","low","unacc"
"407",1,"high","vhigh","2","more","med","low","unacc"
"600",1,"low","vhigh","5more","more","small","high","acc"
"567",1,"med","vhigh","4","2","med","med","unacc"
"1648",1,"high","high","3","2","big","high","unacc"
"1334",1,"vhigh","vhigh","3","more","small","med","unacc"
"309",1,"high","vhigh","5more","more","big","med","unacc"
"432",1,"med","vhigh","3","2","big","low","unacc"
"887",1,"vhigh","med","2","more","small","med","unacc"
"1427",1,"high","high","5more","more","med","low","unacc"
"932",1,"vhigh","low","5more","4","big","med","acc"
"1651",1,"low","high","3","4","med","low","unacc"
"532",1,"low","low","3","2","big","med","unacc"
"160",1,"med","high","5more","more","med","high","acc"
"80",1,"vhigh","low","3","4","med","low","unacc"
"1584",1,"high","med","2","2","big","high","unacc"
"1148",1,"high","med","3","2","big","high","unacc"
"209",1,"high","med","3","2","big","med","unacc"
"167",1,"high","med","2","more","med","high","acc"
"1471",1,"med","low","4","2","small","low","unacc"
"468",1,"med","low","5more","4","small","high","good"
"1020",1,"high","vhigh","3","2","small","high","unacc"
"1253",1,"high","med","4","2","small","med","unacc"
"782",1,"vhigh","high","3","4","big","med","unacc"
"175",1,"vhigh","med","4","more","small","low","unacc"
"78",1,"high","high","3","more","big","high","acc"
"1587",1,"high","vhigh","2","2","big","high","unacc"
"296",1,"low","med","2","2","med","high","unacc"
"1516",1,"med","high","4","2","small","low","unacc"
"1205",1,"med","high","3","2","big","low","unacc"
"188",1,"med","high","2","more","big","med","acc"
"398",1,"low","low","3","more","big","high","vgood"
"1709",1,"low","vhigh","4","more","small","low","unacc"
"1571",1,"med","med","4","2","med","low","unacc"
"1654",1,"high","low","4","4","small","low","unacc"
"1033",1,"high","vhigh","4","more","big","med","unacc"
"848",1,"low","high","5more","4","big","high","vgood"
"669",1,"med","vhigh","4","4","small","high","acc"
"1010",1,"low","high","5more","more","big","low","unacc"
"371",1,"vhigh","med","4","more","med","low","unacc"
"303",1,"low","vhigh","2","4","small","low","unacc"
"727",1,"med","med","2","4","med","low","unacc"
"862",1,"high","high","2","2","big","low","unacc"
"1271",1,"low","low","2","2","big","high","unacc"
"926",1,"high","low","3","4","med","med","unacc"
"1547",1,"high","med","4","more","small","med","unacc"
"1452",1,"high","med","4","more","big","low","unacc"
"1331",1,"low","low","5more","4","big","high","vgood"
"461",1,"low","med","5more","more","med","low","unacc"
"50",1,"low","low","3","more","big","med","good"
"1511",1,"med","low","3","4","big","low","unacc"
"1374",1,"low","vhigh","3","4","big","low","unacc"
"540",1,"high","vhigh","2","4","med","med","unacc"
"808",1,"high","high","5more","more","big","low","unacc"
"601",1,"high","high","5more","more","big","high","acc"
"628",1,"high","vhigh","3","2","med","low","unacc"
"1175",1,"high","low","3","4","big","med","acc"
"1400",1,"vhigh","high","3","2","med","high","unacc"
"304",1,"low","vhigh","5more","2","small","low","unacc"
"123",1,"med","med","2","more","med","med","acc"
"1383",1,"high","high","2","more","med","med","unacc"
"1290",1,"med","vhigh","2","more","big","high","acc"
"1302",1,"low","med","4","4","big","low","unacc"
"823",1,"low","high","2","more","big","med","acc"
"112",1,"low","low","2","more","small","med","unacc"
"1053",1,"high","low","3","2","med","low","unacc"
"1437",1,"vhigh","high","3","2","big","high","unacc"
"1387",1,"vhigh","low","5more","more","big","high","acc"
"827",1,"vhigh","vhigh","3","4","big","med","unacc"
"1641",1,"high","med","2","4","small","med","unacc"
"906",1,"med","high","2","2","med","high","unacc"
"1154",1,"high","med","4","more","big","high","acc"
"681",1,"med","low","3","2","med","high","unacc"
"1247",1,"vhigh","high","4","4","med","med","unacc"
"1059",1,"vhigh","vhigh","4","more","med","high","unacc"
"1112",1,"high","high","2","4","med","med","unacc"
"712",1,"vhigh","vhigh","3","4","big","low","unacc"
"179",1,"vhigh","low","4","4","med","med","acc"
"1411",1,"low","med","5more","4","small","med","acc"
"902",1,"vhigh","med","5more","4","med","low","unacc"
"1083",1,"vhigh","high","2","2","big","high","unacc"
"1398",1,"vhigh","high","2","2","small","med","unacc"
"992",1,"low","vhigh","3","2","med","low","unacc"
"1185",1,"low","high","3","2","med","low","unacc"
"960",1,"med","low","5more","more","big","low","unacc"
"23",1,"med","med","4","2","small","high","unacc"
"512",1,"high","med","4","4","small","low","unacc"
"864",1,"high","vhigh","3","more","small","low","unacc"
"1512",1,"med","high","4","more","big","med","acc"
"441",1,"low","low","3","4","big","med","good"
"1227",1,"low","high","3","more","med","med","acc"
"1293",1,"med","vhigh","3","more","med","med","acc"
"912",1,"med","med","5more","4","big","high","vgood"
"764",1,"low","vhigh","4","2","small","med","unacc"
"1456",1,"vhigh","vhigh","3","4","med","low","unacc"
"1503",1,"vhigh","low","4","4","med","high","acc"
"1228",1,"vhigh","med","3","2","big","low","unacc"
"22",1,"vhigh","med","2","2","big","high","unacc"
"619",1,"low","med","3","4","small","med","acc"
"1694",1,"med","vhigh","3","more","small","med","unacc"
"355",1,"low","high","3","2","big","low","unacc"
"1472",1,"low","vhigh","4","4","big","low","unacc"
"1166",1,"med","low","5more","more","med","high","vgood"
"957",1,"med","vhigh","2","4","med","low","unacc"
"1395",1,"low","low","3","4","small","med","acc"
"439",1,"high","low","2","more","med","med","unacc"
"1012",1,"low","low","4","2","big","low","unacc"
"898",1,"med","low","5more","2","big","low","unacc"
"1553",1,"high","med","5more","4","big","med","acc"
"768",1,"low","low","2","2","med","high","unacc"
"693",1,"med","low","3","more","big","high","vgood"
"1337",1,"low","low","4","4","big","low","unacc"
"1353",1,"med","med","2","2","small","high","unacc"
"1086",1,"high","high","5more","4","med","med","acc"
"1715",1,"med","med","4","2","med","med","unacc"
"377",1,"high","low","4","more","small","med","unacc"
"1153",1,"high","high","2","4","med","high","acc"
"2",1,"vhigh","med","4","more","med","med","acc"
"702",1,"low","high","4","more","med","med","acc"
"114",1,"med","low","2","2","med","low","unacc"
"881",1,"vhigh","vhigh","4","more","big","low","unacc"
"457",1,"high","low","3","more","small","low","unacc"
"1520",1,"med","high","2","4","med","low","unacc"
"1424",1,"low","med","2","more","med","low","unacc"
"1095",1,"vhigh","med","3","more","med","low","unacc"
"235",1,"med","med","4","more","med","low","unacc"
"655",1,"med","low","3","more","big","med","good"
"840",1,"med","med","2","more","small","low","unacc"
"495",1,"med","high","2","more","med","med","unacc"
"554",1,"high","low","2","4","small","low","unacc"
"1050",1,"vhigh","high","2","4","med","high","unacc"
"1588",1,"low","high","5more","more","small","low","unacc"
"458",1,"high","vhigh","4","4","small","low","unacc"
"707",1,"high","med","5more","2","big","high","unacc"
"842",1,"low","high","3","more","small","med","acc"
"944",1,"high","med","3","4","big","high","acc"
"1401",1,"med","med","5more","2","big","med","unacc"
"1412",1,"low","vhigh","5more","4","big","low","unacc"
"809",1,"high","low","2","more","big","high","acc"
"56",1,"low","med","3","2","big","high","unacc"
"980",1,"low","high","4","2","small","low","unacc"
"184",1,"low","vhigh","3","more","small","high","acc"
"1240",1,"low","med","5more","4","med","med","good"
"927",1,"low","low","5more","4","big","med","good"
"1539",1,"med","med","3","more","small","high","acc"
"413",1,"med","med","4","more","small","low","unacc"
"1453",1,"low","vhigh","3","more","med","high","acc"
"1402",1,"low","med","3","more","big","high","vgood"
"1470",1,"med","med","5more","more","med","high","vgood"
"630",1,"low","med","5more","2","big","high","unacc"
"1322",1,"high","low","5more","2","big","high","unacc"
"473",1,"low","low","2","4","big","med","good"
"860",1,"med","vhigh","5more","more","med","med","acc"
"822",1,"med","high","3","4","small","high","acc"
"752",1,"vhigh","vhigh","5more","2","small","high","unacc"
"200",1,"low","vhigh","4","2","big","low","unacc"
"1335",1,"high","med","3","4","small","low","unacc"
"1444",1,"vhigh","med","2","4","med","high","acc"
"176",1,"vhigh","high","2","2","small","high","unacc"
"113",1,"high","low","5more","2","small","med","unacc"
"521",1,"low","high","5more","4","small","high","acc"
"41",1,"high","high","3","4","big","low","unacc"
"868",1,"low","high","5more","more","small","high","acc"
"800",1,"low","med","5more","4","big","low","unacc"
"1464",1,"med","low","5more","4","big","high","vgood"
"258",1,"med","vhigh","3","2","med","high","unacc"
"341",1,"vhigh","vhigh","3","4","small","low","unacc"
"603",1,"vhigh","med","4","2","med","med","unacc"
"1285",1,"low","high","5more","4","med","low","unacc"
"60",1,"med","low","4","2","small","med","unacc"
"582",1,"med","vhigh","3","4","small","med","unacc"
"491",1,"med","med","4","more","small","high","acc"
"1272",1,"med","low","3","2","small","low","unacc"
"1030",1,"low","med","2","more","big","med","good"
"229",1,"vhigh","med","4","4","small","low","unacc"
"654",1,"low","vhigh","3","4","big","med","acc"
"1046",1,"low","low","2","more","big","high","vgood"
"986",1,"med","vhigh","3","4","small","low","unacc"
"1513",1,"low","vhigh","2","2","med","med","unacc"
"1014",1,"vhigh","high","3","2","small","low","unacc"
"586",1,"med","vhigh","2","more","small","low","unacc"
"503",1,"low","med","5more","4","med","high","vgood"
"1598",1,"high","vhigh","4","more","small","low","unacc"
"1308",1,"low","vhigh","5more","4","small","high","acc"
"876",1,"vhigh","high","5more","more","big","low","unacc"
"498",1,"low","low","4","more","med","med","good"
"899",1,"med","med","3","more","med","low","unacc"
"993",1,"low","low","4","2","big","med","unacc"
"943",1,"low","med","3","4","med","high","good"
"821",1,"vhigh","high","2","more","small","high","unacc"
"569",1,"vhigh","med","3","more","big","med","acc"
"1122",1,"high","vhigh","4","4","small","med","unacc"
"465",1,"med","high","4","more","big","high","acc"
"1123",1,"low","vhigh","4","more","med","low","unacc"
"215",1,"low","med","2","2","med","low","unacc"
"911",1,"med","low","4","2","med","med","unacc"
"719",1,"low","low","4","more","small","high","good"
"302",1,"vhigh","med","2","4","big","high","acc"
"1525",1,"low","vhigh","4","more","small","med","unacc"
"1702",1,"low","med","3","2","small","low","unacc"
"1223",1,"low","low","5more","2","big","low","unacc"
"612",1,"high","high","2","more","med","high","acc"
"737",1,"high","vhigh","4","4","med","high","unacc"
"100",1,"low","med","4","more","big","low","unacc"
"802",1,"vhigh","high","2","4","med","low","unacc"
"415",1,"med","low","4","4","small","high","good"
"983",1,"high","high","3","4","big","med","acc"
"1552",1,"med","med","3","4","med","low","unacc"
"844",1,"high","low","4","4","med","high","acc"
"132",1,"high","vhigh","3","more","small","med","unacc"
"372",1,"high","med","3","4","big","med","acc"
"1165",1,"vhigh","med","3","4","small","low","unacc"
"1589",1,"low","vhigh","2","more","big","low","unacc"
"92",1,"high","low","3","more","small","med","unacc"
"1362",1,"med","high","3","4","big","med","acc"
"1638",1,"low","vhigh","2","2","small","med","unacc"
"483",1,"med","high","5more","4","big","high","acc"
"63",1,"high","low","4","more","big","low","unacc"
"1630",1,"low","vhigh","2","4","med","high","acc"
"1080",1,"high","low","3","4","small","high","acc"
"451",1,"high","high","4","2","small","high","unacc"
"93",1,"vhigh","vhigh","4","4","med","low","unacc"
"871",1,"vhigh","vhigh","2","2","small","high","unacc"
"1035",1,"low","low","4","2","med","low","unacc"
"459",1,"vhigh","high","5more","2","big","low","unacc"
"618",1,"vhigh","med","3","2","med","low","unacc"
"1627",1,"low","low","5more","2","small","med","unacc"
"1281",1,"med","vhigh","2","more","med","med","unacc"
"1717",1,"vhigh","low","4","more","small","high","acc"
"1384",1,"vhigh","low","3","2","big","low","unacc"
"1189",1,"high","vhigh","5more","more","big","low","unacc"
"496",1,"low","low","4","4","med","med","good"
"1465",1,"med","med","3","2","med","med","unacc"
"1178",1,"low","med","3","2","med","high","unacc"
"143",1,"high","med","2","4","small","high","acc"
"895",1,"med","med","5more","4","small","high","acc"
"1152",1,"vhigh","low","3","4","big","high","acc"
"1533",1,"low","vhigh","5more","4","med","low","unacc"
"270",1,"high","low","3","more","med","high","acc"
"408",1,"high","high","3","more","med","med","acc"
"622",1,"low","vhigh","4","4","small","med","unacc"
"1194",1,"vhigh","high","3","more","big","high","unacc"
"1044",1,"med","vhigh","5more","4","big","med","acc"
"1217",1,"med","low","4","4","med","low","unacc"
"1713",1,"low","low","4","2","big","high","unacc"
"1075",1,"vhigh","vhigh","3","more","med","high","unacc"
"548",1,"low","med","5more","2","med","high","unacc"
"1215",1,"vhigh","med","4","4","big","med","acc"
"1669",1,"low","vhigh","3","2","big","high","unacc"
"1690",1,"high","med","4","more","med","low","unacc"
"1419",1,"low","high","4","more","small","high","acc"
"359",1,"med","low","5more","more","small","med","acc"
"856",1,"vhigh","vhigh","5more","4","big","high","unacc"
"1296",1,"vhigh","vhigh","3","more","med","low","unacc"
"1021",1,"high","high","2","2","med","high","unacc"
"6",1,"high","high","4","more","small","low","unacc"
"340",1,"high","vhigh","4","more","med","low","unacc"
"938",1,"high","med","2","more","small","high","unacc"
"1724",1,"vhigh","high","2","2","small","low","unacc"
"1210",1,"med","med","5more","more","big","low","unacc"
"135",1,"med","med","3","4","big","high","vgood"
"1022",1,"vhigh","high","4","4","big","low","unacc"
"787",1,"low","high","4","more","med","high","vgood"
"1431",1,"high","low","4","2","big","high","unacc"
"1697",1,"med","med","2","more","big","high","vgood"
"1316",1,"high","high","2","4","big","med","acc"
"1258",1,"vhigh","high","3","more","big","med","unacc"
"1624",1,"vhigh","vhigh","3","more","big","high","unacc"
"1266",1,"low","low","2","4","small","high","good"
"724",1,"high","low","5more","4","small","med","unacc"
"815",1,"high","med","4","2","big","low","unacc"
"344",1,"high","high","3","2","small","med","unacc"
"295",1,"med","high","5more","4","small","med","unacc"
"387",1,"high","vhigh","4","more","big","low","unacc"
"641",1,"vhigh","high","3","4","small","low","unacc"
"774",1,"high","vhigh","4","2","big","high","unacc"
"723",1,"high","vhigh","2","2","big","med","unacc"
"1628",1,"med","med","2","more","med","low","unacc"
"416",1,"low","med","4","more","med","med","good"
"788",1,"vhigh","high","5more","2","med","high","unacc"
"1134",1,"med","vhigh","3","2","big","med","unacc"
"35",1,"high","vhigh","4","4","big","low","unacc"
"1381",1,"vhigh","vhigh","2","4","big","high","unacc"
"1274",1,"vhigh","high","5more","4","small","low","unacc"
"1554",1,"vhigh","vhigh","4","2","med","low","unacc"
"1097",1,"vhigh","high","4","2","med","med","unacc"
"1660",1,"vhigh","high","2","more","med","low","unacc"
"1176",1,"med","low","3","4","med","high","good"
"589",1,"low","low","3","4","small","low","unacc"
"70",1,"med","med","5more","2","small","low","unacc"
"149",1,"vhigh","high","2","more","small","med","unacc"
"336",1,"low","high","5more","4","med","med","acc"
"1418",1,"low","high","5more","more","small","med","acc"
"1370",1,"low","low","4","2","med","high","unacc"
"237",1,"vhigh","low","3","4","big","low","unacc"
"1371",1,"vhigh","low","3","4","big","med","acc"
"1386",1,"vhigh","high","4","more","big","med","unacc"
"250",1,"high","vhigh","5more","2","med","high","unacc"
"1662",1,"vhigh","high","5more","4","big","high","unacc"
"502",1,"med","vhigh","3","more","small","low","unacc"
"797",1,"vhigh","high","3","2","big","med","unacc"
"347",1,"vhigh","vhigh","2","more","small","med","unacc"
"43",1,"vhigh","high","2","2","big","med","unacc"
"775",1,"high","low","4","more","med","low","unacc"
"1564",1,"low","low","5more","4","med","low","unacc"
"393",1,"vhigh","vhigh","4","2","big","med","unacc"
"648",1,"high","low","4","4","big","high","acc"
"1006",1,"low","vhigh","3","4","small","med","unacc"
"1528",1,"high","high","3","4","big","high","acc"
"57",1,"high","med","2","4","med","high","acc"
"1605",1,"vhigh","high","3","2","small","high","unacc"
"659",1,"vhigh","vhigh","2","more","med","med","unacc"
"1718",1,"vhigh","high","2","2","med","low","unacc"
"1340",1,"med","med","4","2","big","med","unacc"
"542",1,"vhigh","high","4","2","big","low","unacc"
"664",1,"high","med","5more","2","big","low","unacc"
"1586",1,"vhigh","med","2","4","med","low","unacc"
"1019",1,"high","vhigh","2","more","small","low","unacc"
"1191",1,"vhigh","vhigh","4","more","big","high","unacc"
"174",1,"low","med","5more","4","small","high","good"
"942",1,"high","med","4","4","med","med","acc"
"988",1,"low","high","2","4","big","med","acc"
"1604",1,"vhigh","vhigh","4","more","small","low","unacc"
"1299",1,"low","med","3","4","big","med","good"
"409",1,"low","vhigh","5more","more","big","high","acc"
"1596",1,"high","high","3","4","small","high","acc"
"481",1,"low","med","5more","4","med","low","unacc"
"677",1,"low","low","5more","4","small","high","good"
"964",1,"high","vhigh","2","2","small","med","unacc"
"777",1,"high","high","4","4","med","low","unacc"
"1082",1,"low","low","2","4","small","low","unacc"
"1232",1,"vhigh","vhigh","3","2","med","low","unacc"
"1510",1,"vhigh","med","5more","2","big","med","unacc"
"1577",1,"high","vhigh","5more","2","big","low","unacc"
"314",1,"med","high","2","2","small","low","unacc"
"137",1,"vhigh","med","2","2","med","med","unacc"
"608",1,"vhigh","high","5more","2","small","high","unacc"
"242",1,"vhigh","med","2","more","big","med","acc"
"1049",1,"med","med","4","4","med","low","unacc"
"1125",1,"vhigh","high","2","more","med","med","unacc"
"1436",1,"low","high","3","4","big","low","unacc"
"1224",1,"low","low","2","more","med","high","good"
"1201",1,"vhigh","high","2","2","med","med","unacc"
"124",1,"med","high","3","2","big","med","unacc"
"138",1,"med","vhigh","2","2","big","low","unacc"
"757",1,"low","med","3","2","small","med","unacc"
"292",1,"med","high","4","more","med","low","unacc"
"207",1,"vhigh","low","2","2","big","med","unacc"
"967",1,"high","vhigh","5more","2","small","high","unacc"
"10",1,"high","high","5more","4","med","low","unacc"
"1483",1,"low","low","5more","2","big","high","unacc"
"1536",1,"vhigh","low","3","2","med","low","unacc"
"476",1,"high","high","3","2","big","med","unacc"
"157",1,"vhigh","vhigh","2","more","big","high","unacc"
"222",1,"med","vhigh","3","4","small","high","acc"
"1566",1,"med","med","4","4","med","high","vgood"
"213",1,"high","med","2","4","small","low","unacc"
"1486",1,"high","low","2","2","small","high","unacc"
"40",1,"low","high","3","more","big","high","vgood"
"1078",1,"vhigh","low","2","more","med","high","acc"
