"","y","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"532",1,"MS","M",17,"U","GT3","T",1,1,"at_home","services","other","mother",3,2,0,"no","no","no","no","yes","yes","yes","yes",5,1,3,3,3,1,0,10,10,10
"66",1,"GP","F",16,"U","LE3","T",4,3,"teacher","services","course","mother",3,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,2,1,2,16,15,16
"391",1,"GP","F",18,"R","GT3","T",2,2,"at_home","other","course","mother",2,4,0,"no","no","no","yes","yes","yes","no","no",4,4,4,1,1,4,6,14,13,14
"326",1,"GP","M",17,"U","LE3","A",4,1,"services","other","home","mother",2,1,0,"no","no","no","yes","yes","yes","yes","yes",4,5,4,2,4,5,22,11,11,10
"11",1,"GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",3,3,3,1,2,2,2,14,14,14
"311",1,"GP","F",18,"R","GT3","T",2,1,"other","other","reputation","mother",2,2,0,"no","yes","no","no","yes","no","yes","yes",4,3,5,1,2,3,12,8,9,10
"455",1,"MS","F",16,"U","GT3","T",1,2,"other","services","course","mother",1,3,1,"no","yes","no","no","yes","yes","no","no",1,3,2,1,2,4,3,9,8,8
"99",1,"GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",1,1,0,"no","no","no","yes","no","yes","yes","no",5,3,4,1,2,1,4,12,13,13
"270",1,"GP","M",16,"U","LE3","T",4,3,"teacher","other","course","mother",1,1,0,"no","no","no","yes","no","yes","yes","no",5,4,5,1,1,3,7,14,14,15
"413",1,"GP","F",18,"U","LE3","T",4,2,"teacher","other","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,2,2,1,1,3,0,14,17,17
"346",1,"GP","F",18,"U","LE3","A",4,4,"health","other","home","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","yes",4,2,4,1,1,4,0,14,15,15
"291",1,"GP","F",19,"U","GT3","T",2,2,"services","services","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,1,1,5,0,10,10,11
"115",1,"GP","M",15,"R","GT3","T",2,1,"health","services","reputation","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",5,4,2,1,1,5,4,10,9,10
"613",1,"MS","M",17,"R","GT3","T",4,3,"services","other","home","mother",2,2,1,"no","yes","yes","yes","no","yes","yes","yes",4,5,5,1,3,2,4,10,11,11
"57",1,"GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,1,0,15,14,15
"5",1,"GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"no","yes","no","no","yes","yes","no","no",4,3,2,1,2,5,0,11,13,13
"14",1,"GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,0,"no","yes","no","no","yes","yes","yes","no",5,4,3,1,2,3,0,12,12,13
"266",1,"GP","F",17,"R","LE3","T",1,1,"at_home","other","course","mother",2,3,0,"no","no","no","yes","yes","yes","yes","no",4,3,3,1,3,5,4,15,14,15
"626",1,"MS","F",18,"U","GT3","T",2,3,"at_home","services","course","father",2,1,0,"no","yes","no","no","yes","yes","yes","yes",5,2,3,1,2,4,0,10,10,10
"37",1,"GP","M",15,"U","LE3","T",4,3,"teacher","services","home","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,1,4,0,14,14,14
"472",1,"MS","F",16,"R","GT3","T",2,2,"at_home","other","course","mother",2,2,1,"no","yes","no","yes","no","yes","no","no",4,4,4,2,3,5,2,12,11,12
"570",1,"MS","M",18,"U","GT3","T",3,3,"at_home","at_home","course","mother",1,2,2,"no","yes","no","yes","yes","no","yes","no",4,4,5,1,3,3,9,4,8,8
"642",1,"MS","F",18,"R","GT3","T",2,2,"at_home","other","other","mother",2,3,0,"no","no","no","no","yes","yes","no","no",5,3,3,1,3,4,0,14,17,15
"253",1,"GP","F",16,"U","GT3","A",4,1,"other","other","home","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",5,3,3,1,2,5,0,14,13,13
"541",1,"MS","F",17,"U","GT3","T",3,2,"at_home","other","home","mother",2,1,0,"no","no","no","no","yes","yes","no","yes",4,3,3,2,2,1,5,9,11,11
"172",1,"GP","M",16,"R","GT3","T",2,2,"at_home","other","course","mother",3,1,0,"no","no","no","no","no","yes","no","no",4,2,2,1,2,3,4,12,10,11
"508",1,"MS","F",17,"U","LE3","T",1,1,"other","services","course","father",1,3,0,"no","yes","no","no","yes","yes","no","yes",4,3,3,1,1,3,0,11,11,10
"249",1,"GP","M",16,"U","LE3","T",1,1,"other","other","home","mother",2,2,0,"no","yes","no","no","yes","yes","yes","no",3,4,2,1,1,5,2,9,9,9
"232",1,"GP","M",18,"U","LE3","T",3,3,"services","health","home","father",1,2,0,"no","yes","no","no","yes","yes","yes","no",3,2,4,2,4,4,10,10,10,10
"286",1,"GP","M",16,"R","GT3","T",2,1,"other","other","course","mother",2,1,0,"no","no","no","yes","no","yes","no","no",3,3,2,1,3,3,2,14,13,12
"306",1,"GP","M",17,"U","GT3","T",2,2,"other","other","home","father",2,1,0,"no","no","no","no","yes","no","yes","no",4,4,4,2,3,4,8,8,8,9
"80",1,"GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",2,4,3,1,2,3,14,12,11,11
"309",1,"GP","F",18,"R","GT3","T",4,4,"teacher","other","reputation","mother",2,2,0,"no","no","no","yes","yes","yes","yes","no",4,3,4,2,2,4,8,10,11,12
"108",1,"GP","M",16,"U","GT3","T",3,3,"services","other","home","father",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,1,5,4,13,14,14
"357",1,"GP","F",17,"R","GT3","T",4,4,"teacher","teacher","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",4,4,4,1,1,5,2,15,16,17
"505",1,"MS","F",19,"U","LE3","T",2,2,"other","other","home","mother",1,3,0,"no","no","no","no","yes","yes","yes","yes",5,4,5,1,1,1,0,12,13,13
"127",1,"GP","F",15,"U","LE3","A",3,4,"other","other","home","mother",1,2,0,"yes","no","no","yes","yes","yes","yes","yes",5,3,2,1,1,1,0,10,11,11
"20",1,"GP","M",16,"U","LE3","T",4,3,"health","other","home","father",1,1,0,"no","no","no","yes","yes","yes","yes","no",3,1,3,1,3,5,6,12,12,12
"400",1,"GP","F",18,"U","GT3","T",3,2,"other","services","other","mother",1,3,0,"no","no","no","no","yes","yes","yes","yes",5,4,3,2,3,1,4,14,16,17
"87",1,"GP","F",16,"U","LE3","T",2,2,"at_home","other","course","mother",1,2,0,"no","yes","no","no","yes","yes","no","no",4,3,4,1,2,2,6,13,11,11
"339",1,"GP","F",17,"R","LE3","T",3,1,"services","other","reputation","mother",2,4,0,"no","yes","no","no","yes","yes","no","no",3,1,2,1,1,3,0,18,19,19
"580",1,"MS","M",18,"U","LE3","T",1,3,"at_home","services","course","mother",1,1,0,"no","no","no","no","yes","no","yes","yes",4,3,3,2,3,3,0,9,10,9
"79",1,"GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",2,1,3,"yes","yes","no","yes","yes","no","yes","no",4,5,1,1,1,3,0,9,9,10
"350",1,"GP","F",17,"U","GT3","T",3,2,"health","health","reputation","father",1,4,0,"no","yes","no","yes","no","yes","yes","no",5,2,2,1,2,5,0,18,18,18
"515",1,"MS","F",16,"U","GT3","T",3,2,"services","at_home","course","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",3,1,3,1,4,3,2,7,6,7
"643",1,"MS","F",17,"U","GT3","T",4,3,"teacher","other","other","mother",2,2,0,"no","no","no","no","yes","yes","yes","no",5,5,4,1,1,1,0,6,9,11
"285",1,"GP","M",18,"U","GT3","T",2,1,"services","services","other","mother",1,1,2,"no","no","no","no","no","no","yes","no",3,2,5,2,5,5,4,7,8,6
"119",1,"GP","M",17,"R","GT3","T",1,3,"other","other","course","father",3,2,1,"no","yes","no","yes","yes","yes","yes","no",5,2,4,1,4,5,14,12,11,11
"192",1,"GP","M",17,"U","GT3","T",3,3,"other","other","reputation","father",1,2,0,"no","no","no","yes","no","yes","yes","no",4,3,4,1,4,4,4,11,9,10
"371",1,"GP","F",19,"U","LE3","A",1,1,"other","other","course","other",3,2,2,"no","yes","no","no","no","yes","yes","yes",5,3,4,1,1,4,2,8,8,9
"243",1,"GP","M",18,"U","LE3","T",2,1,"at_home","other","course","mother",4,2,0,"yes","yes","no","yes","yes","yes","yes","yes",4,3,2,4,5,3,2,9,10,11
"402",1,"GP","M",18,"U","GT3","T",4,3,"teacher","other","course","mother",1,3,0,"no","yes","no","no","yes","yes","yes","yes",5,4,5,2,3,5,0,14,13,14
"524",1,"MS","M",18,"U","LE3","T",4,4,"at_home","health","home","mother",1,4,0,"no","yes","no","yes","yes","no","yes","yes",5,5,5,5,5,5,2,5,6,6
"239",1,"GP","F",16,"U","GT3","T",4,4,"teacher","services","home","mother",1,3,0,"no","yes","no","yes","no","yes","yes","no",5,3,2,1,1,5,4,15,16,16
"406",1,"GP","F",19,"U","LE3","A",2,3,"at_home","other","home","other",2,1,1,"no","no","no","no","yes","no","yes","no",2,2,3,3,4,5,16,10,11,11
"398",1,"GP","F",17,"U","GT3","A",2,2,"at_home","at_home","home","father",1,2,0,"no","yes","no","no","yes","yes","yes","yes",3,3,1,1,2,4,18,10,12,14
"54",1,"GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,0,"yes","yes","no","no","yes","yes","yes","no",3,3,4,2,3,5,0,13,12,12
"174",1,"GP","M",16,"U","LE3","T",1,2,"health","services","course","mother",2,1,2,"no","no","no","no","no","yes","yes","no",4,4,5,3,5,5,0,9,8,10
"377",1,"GP","F",18,"U","GT3","T",1,1,"other","other","home","mother",2,3,0,"no","no","no","yes","yes","yes","yes","no",4,5,5,1,2,2,0,14,14,14
"9",1,"GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,2,2,1,1,1,0,15,16,17
"438",1,"MS","F",16,"R","GT3","T",0,2,"other","other","other","mother",2,1,0,"no","yes","no","yes","yes","yes","no","no",3,2,3,1,2,2,0,12,11,12
"7",1,"GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,13,12,13
"268",1,"GP","M",17,"U","LE3","T",4,3,"health","other","course","mother",2,2,0,"no","no","no","yes","yes","yes","yes","yes",2,5,5,1,4,5,8,15,15,15
"98",1,"GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,0,"no","yes","no","no","yes","yes","no","yes",4,3,5,1,1,5,0,13,12,12
"331",1,"GP","F",18,"U","GT3","T",2,1,"other","other","reputation","mother",2,2,0,"no","no","no","yes","yes","yes","yes","yes",4,3,1,1,1,5,10,12,13,14
"30",1,"GP","M",16,"U","GT3","T",4,4,"teacher","teacher","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","yes",4,4,5,5,5,5,4,12,11,12
"444",1,"MS","M",15,"R","LE3","T",4,1,"health","services","reputation","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,3,4,1,2,2,7,7,9,8
"290",1,"GP","F",17,"U","LE3","T",4,2,"teacher","services","reputation","mother",1,4,0,"no","yes","no","yes","yes","yes","yes","no",4,2,3,1,1,4,2,14,15,17
"486",1,"MS","F",17,"R","GT3","T",2,2,"at_home","other","course","mother",2,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,5,1,2,4,0,11,10,11
"113",1,"GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1,2,1,"yes","no","no","yes","yes","yes","yes","no",3,1,2,1,1,5,12,8,10,10
"462",1,"MS","F",16,"R","GT3","T",1,1,"at_home","other","other","mother",2,1,0,"no","no","no","yes","yes","yes","yes","yes",4,2,2,4,3,2,0,13,12,14
"395",1,"GP","F",17,"R","GT3","A",3,2,"other","other","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,2,3,2,0,14,14,16
"180",1,"GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",2,1,3,"no","yes","no","yes","no","no","no","no",4,5,2,1,1,2,10,8,7,8
"458",1,"MS","M",17,"R","LE3","T",1,2,"at_home","services","reputation","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","no",5,5,5,5,5,3,4,10,11,11
"107",1,"GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,0,"yes","yes","no","no","yes","yes","yes","no",5,1,2,1,1,3,4,10,10,10
"561",1,"MS","M",17,"R","GT3","T",1,1,"other","services","course","mother",2,1,0,"no","yes","no","yes","no","yes","yes","yes",4,5,5,1,3,2,0,10,9,10
"288",1,"GP","M",17,"U","LE3","T",1,1,"health","other","course","mother",2,1,1,"no","yes","no","yes","yes","yes","yes","no",4,4,4,1,2,5,0,9,10,10
"347",1,"GP","M",17,"U","LE3","T",4,4,"other","teacher","home","father",2,1,0,"no","no","no","no","yes","yes","yes","no",4,1,1,2,2,5,0,12,13,13
"330",1,"GP","F",17,"U","GT3","T",2,2,"other","other","course","mother",1,2,0,"no","yes","no","no","no","yes","yes","no",5,4,5,1,2,5,12,12,12,14
"47",1,"GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",2,3,5,1,4,3,6,13,12,13
"553",1,"MS","M",19,"U","GT3","T",1,1,"other","other","other","mother",1,2,2,"no","yes","no","yes","yes","no","yes","no",4,4,3,3,4,4,2,9,9,10
"374",1,"GP","F",17,"R","LE3","T",2,2,"services","services","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",3,3,2,2,2,3,0,11,11,10
"231",1,"GP","F",17,"U","GT3","T",4,3,"other","other","reputation","mother",1,2,0,"no","no","no","no","yes","yes","yes","yes",3,4,5,2,4,1,16,11,9,10
"492",1,"MS","F",19,"U","GT3","T",1,1,"other","other","course","other",2,2,1,"no","yes","no","no","yes","yes","yes","yes",1,1,4,4,1,1,12,7,8,9
"38",1,"GP","M",16,"R","GT3","A",4,4,"other","teacher","reputation","mother",2,3,0,"no","yes","no","yes","yes","yes","yes","yes",2,4,3,1,1,5,4,13,13,13
"22",1,"GP","M",15,"U","GT3","T",4,4,"health","health","other","father",1,1,0,"no","yes","yes","no","yes","yes","yes","no",5,4,2,1,1,5,0,11,12,12
"49",1,"GP","M",15,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,0,"no","yes","no","no","yes","yes","no","no",4,3,3,2,2,5,4,11,12,13
"352",1,"GP","M",20,"U","GT3","A",3,2,"services","other","course","other",1,1,2,"no","no","no","yes","yes","yes","no","no",5,5,3,1,1,5,0,14,15,15
"293",1,"GP","F",17,"R","GT3","T",4,2,"other","other","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,3,4,1,3,5,2,11,12,14
"148",1,"GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,1,0,"no","no","no","yes","yes","yes","yes","no",4,3,2,1,1,5,6,13,14,14
"595",1,"MS","F",18,"U","GT3","T",4,4,"teacher","teacher","reputation","mother",2,2,0,"no","no","no","yes","no","yes","yes","no",4,3,5,1,2,1,0,18,18,18
"476",1,"MS","F",15,"U","GT3","T",2,2,"other","services","course","mother",2,3,0,"no","yes","no","yes","yes","yes","no","no",5,3,2,1,1,4,0,12,13,14
"516",1,"MS","F",18,"U","LE3","T",1,1,"other","at_home","reputation","mother",2,2,0,"yes","no","no","no","yes","yes","no","no",2,3,5,1,4,3,8,9,8,10
"43",1,"GP","M",15,"U","GT3","T",4,4,"services","teacher","course","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,1,5,0,14,15,15
"255",1,"GP","F",18,"U","LE3","T",2,2,"at_home","services","course","mother",1,2,1,"no","yes","no","no","no","yes","yes","yes",5,3,1,1,1,5,16,9,8,10
"451",1,"MS","F",16,"R","GT3","T",2,3,"other","services","course","mother",3,2,0,"no","yes","no","no","yes","yes","yes","no",4,5,4,1,2,1,2,15,15,15
"499",1,"MS","F",16,"U","GT3","T",2,1,"other","services","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,1,1,0,14,13,14
"478",1,"MS","M",15,"U","GT3","T",3,3,"services","services","course","father",2,1,0,"no","yes","no","yes","no","yes","yes","no",4,3,3,2,4,3,11,12,10,11
"139",1,"GP","M",15,"R","GT3","T",3,4,"at_home","teacher","course","mother",4,2,0,"no","yes","no","no","yes","yes","no","yes",5,3,3,1,1,5,2,12,11,11
"327",1,"GP","M",17,"U","LE3","A",3,2,"teacher","services","home","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",4,4,4,3,4,3,18,13,13,13
"645",1,"MS","F",19,"R","GT3","T",2,3,"services","other","course","mother",1,3,1,"no","no","no","yes","no","yes","yes","no",5,4,2,1,2,5,4,10,11,10
"152",1,"GP","M",16,"U","GT3","T",4,4,"services","services","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,3,5,0,15,13,13
"498",1,"MS","M",17,"U","GT3","T",3,3,"services","at_home","course","mother",2,4,1,"no","yes","yes","yes","yes","yes","no","no",5,4,5,3,4,5,0,10,11,10
"579",1,"MS","M",17,"U","GT3","T",3,3,"health","other","course","mother",2,2,1,"no","yes","no","no","yes","yes","yes","no",4,5,4,2,3,3,4,8,9,10
"130",1,"GP","M",16,"U","GT3","T",2,3,"other","other","course","mother",2,3,0,"no","yes","no","no","no","yes","yes","yes",3,2,3,2,2,1,4,13,12,13
"260",1,"GP","F",17,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,2,1,2,4,10,11,10,10
"624",1,"MS","M",18,"U","LE3","T",4,4,"teacher","services","other","mother",2,3,0,"no","no","no","no","yes","yes","yes","yes",4,2,2,2,2,5,0,15,16,16
"560",1,"MS","M",18,"R","GT3","T",1,0,"at_home","at_home","course","other",3,1,1,"yes","yes","no","no","yes","yes","no","no",4,3,2,1,1,4,0,12,12,13
"163",1,"GP","M",15,"U","LE3","A",2,1,"services","other","course","mother",4,1,0,"no","no","no","no","yes","yes","yes","no",4,5,5,2,5,5,0,12,11,11
"206",1,"GP","F",17,"U","GT3","T",1,1,"at_home","services","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",5,3,3,1,1,3,0,12,11,12
"225",1,"GP","F",19,"U","GT3","T",3,3,"other","other","reputation","other",1,4,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,2,3,4,12,12,12
"189",1,"GP","F",16,"U","LE3","T",3,3,"other","other","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",4,4,5,1,1,4,0,14,14,15
"441",1,"MS","M",16,"U","GT3","T",1,1,"at_home","services","home","mother",2,2,0,"no","yes","no","yes","yes","yes","no","yes",5,4,5,4,5,3,0,7,0,0
"568",1,"MS","M",18,"R","GT3","T",3,2,"services","other","course","mother",1,1,1,"no","no","no","no","yes","no","yes","no",2,3,1,2,2,5,0,4,0,0
"304",1,"GP","F",17,"U","GT3","T",3,3,"other","other","home","mother",1,3,0,"no","no","no","yes","no","yes","no","no",3,2,3,1,1,4,2,15,12,13
"153",1,"GP","M",16,"U","LE3","T",2,2,"services","services","reputation","father",2,1,0,"no","yes","no","yes","yes","yes","yes","no",2,3,3,2,2,2,4,12,11,11
"427",1,"MS","F",15,"R","GT3","T",3,3,"at_home","other","course","mother",2,1,0,"no","yes","no","no","yes","yes","yes","no",5,4,4,2,3,5,4,10,10,11
"39",1,"GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,5,2,11,12,12
"120",1,"GP","M",15,"U","GT3","T",3,4,"other","other","reputation","father",1,1,0,"no","no","no","no","yes","yes","yes","no",3,4,3,1,2,4,2,14,13,14
"336",1,"GP","M",18,"U","LE3","A",4,4,"teacher","teacher","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,1,2,0,17,17,17
"411",1,"GP","F",17,"U","GT3","T",2,2,"services","services","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,4,1,3,4,0,13,17,17
"8",1,"GP","F",17,"U","GT3","A",4,4,"other","teacher","home","mother",2,2,0,"yes","yes","no","no","yes","yes","no","no",4,1,4,1,1,1,2,10,13,13
"517",1,"MS","F",16,"R","GT3","T",4,4,"health","teacher","reputation","father",1,2,0,"no","no","no","yes","no","yes","yes","yes",4,3,3,2,3,2,0,14,16,16
"602",1,"MS","F",18,"U","GT3","T",2,2,"other","other","course","mother",2,2,0,"no","yes","no","no","no","yes","yes","yes",1,3,1,1,1,2,4,8,8,10
"154",1,"GP","F",15,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,2,2,1,1,5,2,13,13,13
"495",1,"MS","F",16,"R","LE3","T",1,2,"at_home","other","course","mother",1,2,0,"no","no","no","yes","yes","no","yes","no",4,4,5,1,3,3,0,8,9,9
"571",1,"MS","M",16,"R","GT3","T",2,2,"services","services","course","mother",2,1,0,"no","yes","no","yes","yes","yes","yes","yes",5,4,3,2,4,4,6,7,8,8
"439",1,"MS","F",17,"R","GT3","T",2,3,"other","other","course","mother",2,1,0,"no","yes","no","no","yes","yes","yes","no",5,5,5,1,3,3,2,10,11,12
"329",1,"GP","F",18,"U","GT3","T",1,1,"other","other","home","mother",2,2,0,"yes","no","no","yes","yes","yes","yes","no",5,4,4,1,1,4,0,12,13,13
"649",1,"MS","M",18,"R","LE3","T",3,2,"services","other","course","mother",3,1,0,"no","no","no","no","no","yes","yes","no",4,4,1,3,4,5,4,10,11,11
"282",1,"GP","M",16,"U","GT3","T",0,2,"other","other","other","mother",1,1,0,"no","no","no","no","no","yes","yes","no",4,3,2,2,4,5,0,11,12,11
"354",1,"GP","F",18,"U","GT3","T",1,4,"other","teacher","home","mother",1,2,0,"yes","yes","no","no","no","yes","no","yes",3,4,4,1,2,5,2,10,10,11
"616",1,"MS","F",17,"U","LE3","A",3,2,"services","other","reputation","mother",2,2,0,"no","no","no","no","yes","yes","no","yes",1,2,3,1,2,5,0,15,14,15
"619",1,"MS","F",18,"R","LE3","A",1,2,"at_home","other","course","mother",3,2,0,"no","no","no","no","yes","yes","no","yes",4,3,4,1,4,5,0,16,15,15
"89",1,"GP","M",16,"U","GT3","T",2,2,"services","other","reputation","father",2,2,0,"no","no","no","yes","no","yes","yes","no",4,4,2,1,1,3,6,12,10,11
"592",1,"MS","F",18,"U","GT3","T",2,2,"services","at_home","reputation","father",2,2,0,"no","no","no","yes","no","yes","yes","no",4,3,5,1,1,1,2,12,13,14
"422",1,"GP","F",20,"U","GT3","T",1,0,"other","other","reputation","mother",2,1,1,"yes","no","no","no","yes","yes","yes","yes",5,3,1,1,1,5,5,8,10,10
"12",1,"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"no","yes","no","yes","yes","yes","yes","no",5,2,2,1,1,4,0,10,12,13
"226",1,"GP","M",17,"U","LE3","T",4,4,"services","other","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","yes",5,3,5,4,5,3,15,13,12,12
"644",1,"MS","F",18,"R","GT3","T",4,4,"teacher","at_home","reputation","mother",3,1,0,"no","yes","no","yes","yes","yes","yes","yes",4,4,3,2,2,5,4,7,9,10
"510",1,"MS","F",16,"R","LE3","T",1,1,"at_home","other","course","father",3,2,0,"no","yes","no","no","yes","yes","no","no",5,3,2,1,1,1,0,16,17,18
"493",1,"MS","F",16,"R","GT3","A",2,2,"health","other","course","mother",1,2,0,"no","no","no","no","no","yes","no","yes",3,3,2,1,1,3,2,8,10,10
"501",1,"MS","M",17,"U","GT3","T",1,2,"other","other","course","father",1,1,1,"no","yes","no","yes","yes","no","yes","yes",5,3,5,5,5,1,12,6,7,7
"628",1,"MS","M",18,"R","LE3","T",1,2,"at_home","services","other","father",3,1,0,"no","yes","no","yes","yes","no","yes","yes",4,3,3,2,3,3,3,9,10,10
"449",1,"MS","F",16,"R","GT3","T",4,4,"teacher","teacher","course","mother",2,3,0,"no","no","no","yes","yes","yes","yes","yes",4,2,2,1,1,4,6,16,16,17
"573",1,"MS","F",16,"U","GT3","A",3,2,"services","at_home","course","mother",2,2,2,"no","yes","no","yes","yes","yes","no","yes",2,5,5,1,1,1,8,5,5,7
"134",1,"GP","F",15,"U","GT3","T",1,1,"at_home","other","course","mother",3,1,0,"no","yes","no","yes","no","yes","yes","yes",4,3,3,1,2,4,6,11,12,13
"546",1,"MS","M",17,"U","GT3","T",3,4,"services","other","other","mother",1,2,1,"no","yes","no","yes","no","yes","yes","yes",5,4,4,3,4,5,8,8,9,8
"292",1,"GP","M",18,"U","LE3","T",2,1,"services","other","course","mother",3,2,1,"no","no","no","yes","no","no","yes","no",4,4,5,4,4,5,4,11,10,11
"61",1,"GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,0,"no","yes","no","yes","yes","yes","no","no",2,4,4,2,3,4,0,17,16,16
"6",1,"GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,2,1,2,5,6,12,12,13
"169",1,"GP","M",15,"R","GT3","T",2,3,"at_home","services","course","mother",1,2,0,"yes","no","yes","yes","yes","yes","no","no",4,4,4,1,1,1,0,7,8,8
"372",1,"GP","F",18,"U","GT3","T",2,2,"other","other","course","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,5,2,4,5,2,10,10,10
"318",1,"GP","F",17,"U","LE3","T",2,2,"services","other","course","mother",2,2,0,"yes","yes","no","no","yes","yes","yes","yes",4,4,4,2,3,5,6,12,12,12
"542",1,"MS","F",17,"R","GT3","T",2,2,"other","other","other","mother",2,2,0,"yes","no","yes","no","yes","yes","no","no",5,1,3,1,1,5,0,11,9,11
"452",1,"MS","M",16,"R","GT3","T",1,2,"other","other","course","father",2,2,0,"no","no","no","no","yes","yes","no","no",4,3,3,1,1,5,0,10,11,11
"367",1,"GP","F",17,"U","LE3","A",3,3,"services","other","home","mother",1,2,0,"yes","yes","no","no","yes","yes","yes","no",5,3,3,1,1,5,0,12,12,13
"94",1,"GP","F",16,"U","GT3","T",4,2,"teacher","services","home","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,1,1,2,13,14,14
"474",1,"MS","M",16,"U","LE3","T",2,1,"at_home","services","course","mother",2,1,0,"no","yes","no","yes","yes","yes","yes","no",2,4,3,2,3,4,4,10,8,10
"448",1,"MS","M",17,"R","GT3","T",2,1,"other","other","other","mother",3,1,0,"no","no","no","yes","yes","no","no","yes",5,5,5,5,5,3,8,8,10,9
"51",1,"GP","F",16,"U","LE3","T",2,2,"services","services","course","mother",3,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,2,3,4,0,14,13,13
"393",1,"GP","F",17,"U","GT3","T",3,2,"other","other","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","yes",4,3,2,2,3,2,0,12,13,15
"48",1,"GP","M",16,"U","GT3","T",4,3,"health","services","reputation","mother",1,4,0,"no","no","no","yes","yes","yes","yes","no",4,2,2,1,1,2,2,17,17,17
"176",1,"GP","M",17,"R","GT3","T",3,2,"other","other","course","mother",2,2,2,"yes","yes","no","no","yes","yes","yes","yes",4,4,4,1,4,3,4,7,6,8
