"","classes","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"1540","e","f","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1544","e","x","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1545","e","x","f","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1560","e","f","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1561","e","x","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1562","e","f","s","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1569","p","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1575","e","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"1588","e","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1596","e","f","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1604","e","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1606","e","f","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1609","e","x","f","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","d"
"1612","e","f","s","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1616","e","x","f","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","v","d"
"1617","e","x","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1620","e","x","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1624","e","f","s","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1625","e","x","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"1629","p","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1631","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","u"
"1632","e","f","f","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1635","e","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1638","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1641","e","x","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1650","e","x","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1651","e","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1655","e","x","s","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1666","p","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1678","e","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1682","e","x","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1686","e","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1693","e","f","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1695","e","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1705","e","x","f","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","d"
"1718","e","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"1729","e","x","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","g"
"1730","e","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1738","e","x","f","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","d"
"1742","e","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1744","e","x","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1750","e","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1761","e","x","s","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1772","e","x","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1788","e","x","s","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1798","e","f","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1803","e","x","f","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"1809","e","x","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"1817","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","g"
"1820","e","x","f","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1823","p","x","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1829","e","x","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1832","e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"1833","e","f","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1834","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","v","d"
"1844","p","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1859","p","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","g"
"1869","e","x","s","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1870","e","x","s","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1872","e","f","f","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1875","e","x","y","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1879","e","f","s","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1882","e","x","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1888","p","f","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1895","e","x","s","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1906","e","f","f","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1915","e","f","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1922","e","f","f","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1923","e","x","f","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1926","e","f","f","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d"
"1927","e","x","f","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1933","e","x","f","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"1936","e","x","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1937","e","f","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"1941","e","x","y","e","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","d"
"1950","e","x","f","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1951","e","x","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","d"
"1953","e","x","f","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"1961","e","x","f","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","d"
"1962","e","x","f","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1964","e","f","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1966","e","f","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1969","e","f","f","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","v","d"
"1977","e","x","f","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","v","d"
"1980","e","x","f","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1981","e","f","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1983","e","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m"
"1986","e","x","f","g","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","y","d"
"1990","p","f","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","u"
"1993","e","f","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1994","e","x","f","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","d"
"1995","e","x","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1997","e","f","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1998","e","f","f","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","g"
"2007","p","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","g"
"2011","e","x","s","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","g"
"2012","e","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g"
"2016","e","f","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"2018","e","f","s","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"2021","e","x","f","n","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","y","d"
"2026","e","x","f","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"2031","e","x","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"2033","e","x","f","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","d"
"2035","e","x","y","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d"
"2038","e","x","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"2039","e","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","g"
"2042","e","f","f","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","d"
"2044","e","f","s","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"2051","e","x","f","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","g"
"2059","e","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","g"
"2074","e","x","f","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","y","d"
"2088","e","x","f","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","y","d"
"2091","e","x","y","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"2096","e","x","y","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","y","d"
"2098","e","x","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"2111","e","x","f","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d"
"2113","p","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","g"
"2114","e","x","f","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","v","d"
"2115","e","x","y","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2123","e","f","f","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","d"
"2128","e","x","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d"
"2129","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g"
"2130","p","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","g"
"2132","e","x","f","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"2137","e","x","y","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"2138","e","x","f","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"2142","e","x","y","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","v","d"
"2145","e","f","y","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","d"
"2148","p","f","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"2149","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","y","d"
"2156","e","x","f","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","d"
"2159","e","f","f","n","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","y","d"
"2162","e","x","f","e","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","d"
"2165","e","f","f","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","y","d"
"2169","e","x","y","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","y","d"
"2170","e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","v","d"
"2189","e","x","f","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","d"
"2190","e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","d"
"2194","e","x","y","e","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","y","d"
"2206","e","x","f","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d"
"2211","p","x","s","p","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","s","d"
"2231","e","x","y","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","d"
"2236","e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","d"
"2238","e","f","f","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g"
"2244","e","x","f","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","d"
"2252","e","f","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2258","e","x","f","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","v","d"
"2278","e","x","f","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","d"
"2281","e","x","f","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","d"
"2291","e","x","y","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","y","d"
"2293","e","x","y","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","v","d"
"2294","e","x","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"2298","e","x","f","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","g"
"2306","e","x","y","g","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","d"
"2307","e","f","y","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","d"
"2308","e","x","f","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2309","e","x","y","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","y","d"
"2314","e","x","y","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","d"
"2315","e","x","f","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"2318","e","f","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","d"
"2320","e","f","f","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","v","d"
"2321","e","x","y","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2339","e","x","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d"
"2349","e","f","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g"
"2351","e","x","y","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","d"
"2365","e","x","f","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","v","d"
"2377","e","x","f","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","d"
"2392","e","x","f","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2393","e","x","y","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","v","d"
"2396","e","f","f","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"2406","e","x","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"2409","e","x","y","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","d"
"2411","e","x","f","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2414","e","x","y","g","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"2415","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","d"
"2416","e","x","y","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","y","d"
"2418","e","x","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"2423","e","x","y","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2446","e","x","y","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","d"
"2450","e","f","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"2451","e","f","f","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","d"
"2458","e","x","f","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"2481","e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","d"
"2484","e","x","y","n","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","d"
"2485","e","x","f","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"2488","e","x","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","g"
"2489","e","f","f","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","d"
"2490","e","x","y","g","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","v","d"
"2495","e","x","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2500","e","x","y","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"2510","e","f","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","v","d"
"2512","e","x","y","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","d"
"2517","e","x","y","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d"
"2522","e","f","f","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","d"
"2526","e","x","y","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2528","e","x","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","d"
"2544","e","x","f","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","v","d"
"2546","e","x","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","d"
"2547","e","f","f","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","y","d"
"2549","e","x","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","d"
"2555","e","x","f","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","y","d"
"2562","e","f","f","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","d"
"2564","e","x","y","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","y","d"
"2568","e","x","y","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","y","d"
"2576","e","x","y","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"2582","e","x","y","g","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","v","d"
"2599","e","x","f","g","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","d"
"2604","e","x","f","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","d"
"2606","p","x","f","g","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","v","p"
"2612","e","f","y","g","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","d"
"2614","e","x","f","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","y","d"
"2616","e","x","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","d"
"2619","e","x","f","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","d"
"2629","e","f","f","g","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","v","d"
"2633","e","x","y","g","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","d"
"2635","e","x","y","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"2646","e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","d"
"2649","e","x","y","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","d"
"2665","e","x","f","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","d"
"2669","e","x","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","d"
"2670","e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","d"
"2677","e","x","f","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d"
"2683","e","f","f","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d"
"2691","e","f","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"2693","e","x","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","d"
"2694","e","x","y","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","d"
"2697","e","f","f","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2700","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d"
"2702","e","x","f","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","d"
"2704","e","f","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d"
"2710","e","x","y","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2717","e","x","f","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d"
"2722","e","x","y","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","y","d"
"2723","e","f","f","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","d"
"2727","e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","d"
"2732","e","f","f","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","y","d"
"2734","e","x","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","y","d"
"2735","e","x","f","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"2745","e","x","y","n","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","v","d"
"2752","e","x","f","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d"
"2754","e","x","y","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","d"
"2763","e","x","y","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"2770","e","x","f","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","d"
"2771","p","x","f","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","d"
"2773","e","x","y","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","v","d"
"2777","e","x","y","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","v","d"
"2778","e","f","f","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d"
"2779","e","x","f","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","v","d"
"2799","e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d"
"2800","e","x","f","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d"
"2805","e","x","f","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","d"
"2806","e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","d"
"2808","e","x","y","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","d"
"2815","e","x","f","g","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","n","v","d"
"2832","e","x","f","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d"
"2835","e","x","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2839","e","x","y","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2840","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","y","d"
"2851","e","x","y","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2861","p","x","s","p","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"2869","e","x","y","g","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","d"
"2874","e","x","f","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","d"
"2877","e","f","f","g","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","y","d"
"2884","e","x","y","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","d"
"2888","p","x","s","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","v","d"
"2889","e","f","y","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","v","d"
"2891","e","x","f","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"2914","e","x","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","v","d"
"2920","e","f","y","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","d"
"2923","e","f","f","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","d"
"2949","e","x","y","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","v","d"
