"","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"1913","I",0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10
"1915","M",0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10
"1918","M",0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10
"1923","M",0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8
"1930","M",0.615,0.495,0.2,1.219,0.564,0.227,0.3885,10
"1933","F",0.62,0.495,0.17,1.062,0.372,0.213,0.34,11
"1934","M",0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15
"1940","F",0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11
"1942","F",0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
"1944","F",0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11
"1951","F",0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10
"1959","I",0.65,0.52,0.15,1.238,0.5495,0.296,0.3305,10
"1965","F",0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,10
"1970","F",0.67,0.53,0.205,1.4015,0.643,0.2465,0.416,12
"1974","M",0.68,0.54,0.155,1.534,0.671,0.379,0.384,10
"1975","M",0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075,10
"1980","M",0.7,0.55,0.195,1.6245,0.675,0.347,0.535,13
"1988","I",0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4
"1991","I",0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,7
"1992","I",0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6
"1999","I",0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7
"2002","I",0.36,0.27,0.085,0.2185,0.1065,0.038,0.062,6
"2005","I",0.375,0.275,0.085,0.22,0.109,0.05,0.0605,7
"2015","I",0.47,0.375,0.105,0.441,0.167,0.0865,0.145,10
"2016","I",0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
"2023","F",0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
"2026","F",0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
"2031","M",0.59,0.465,0.165,1.115,0.5165,0.273,0.275,10
"2035","F",0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,14
"2036","M",0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,9
"2040","I",0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
"2043","I",0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,8
"2044","I",0.395,0.295,0.1,0.293,0.14,0.062,0.082,7
"2046","I",0.405,0.31,0.09,0.312,0.138,0.06,0.087,8
"2049","I",0.44,0.305,0.115,0.379,0.162,0.091,0.11,9
"2052","F",0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8
"2057","F",0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7
"2062","F",0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8
"2078","F",0.61,0.43,0.14,0.909,0.438,0.2,0.22,8
"2083","F",0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10
"2084","M",0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11
"2085","F",0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12
"2086","F",0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10
"2090","F",0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10
"2091","M",0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17
"2094","F",0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
"2100","F",0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
"2103","I",0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
"2115","I",0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
"2122","I",0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
"2130","M",0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
"2135","F",0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8
"2138","F",0.59,0.455,0.175,0.966,0.391,0.2455,0.31,10
"2140","M",0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14
"2146","F",0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9
"2150","M",0.27,0.195,0.07,0.106,0.0465,0.018,0.036,7
"2151","M",0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
"2158","M",0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17
"2171","M",0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7
"2172","I",0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6
"2175","F",0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13
"2176","M",0.575,0.45,0.185,0.925,0.342,0.197,0.35,12
"2180","F",0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14
"2182","M",0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16
"2183","M",0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13
"2191","M",0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11
"2194","I",0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,6
"2196","I",0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
"2215","F",0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8
"2217","I",0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7
"2219","M",0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14
"2232","F",0.505,0.4,0.165,0.729,0.2675,0.155,0.25,9
"2235","F",0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14
"2240","F",0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8
"2247","F",0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
"2257","M",0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8
"2259","M",0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
"2270","M",0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12
"2273","M",0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15
"2281","M",0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
"2283","F",0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
"2288","F",0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7
"2296","F",0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
"2297","F",0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
"2304","F",0.58,0.455,0.12,0.94,0.399,0.257,0.265,11
"2307","F",0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12
"2327","M",0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
"2328","M",0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13
"2339","M",0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
"2340","M",0.64,0.52,0.2,1.407,0.566,0.304,0.455,17
"2343","I",0.255,0.185,0.07,0.075,0.028,0.018,0.025,6
"2360","F",0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13
"2365","F",0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15
"2371","I",0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8
"2372","M",0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3
"2374","F",0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12
"2381","M",0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5
"2386","F",0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12
"2387","F",0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14
"2396","I",0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14
"2403","I",0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
"2405","I",0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15
"2411","F",0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10
"2425","M",0.26,0.2,0.065,0.096,0.044,0.027,0.03,6
"2427","I",0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
"2440","F",0.345,0.255,0.1,0.197,0.071,0.051,0.06,9
"2441","M",0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13
"2444","F",0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11
"2446","M",0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12
"2450","F",0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9
"2453","M",0.395,0.305,0.105,0.282,0.0975,0.065,0.096,9
"2454","I",0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8
"2457","I",0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5
"2461","M",0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
"2482","M",0.39,0.285,0.095,0.271,0.11,0.06,0.08,8
"2484","F",0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14
"2486","I",0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8
"2492","F",0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10
"2498","M",0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,12
"2499","M",0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15
"2506","I",0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6
"2518","M",0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7
"2522","M",0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,9
"2528","M",0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
"2533","F",0.625,0.49,0.155,1.33,0.6675,0.259,0.33,10
"2534","M",0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,10
"2536","F",0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11
"2567","F",0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
"2569","I",0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
"2572","M",0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
"2580","M",0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7
"2582","F",0.53,0.42,0.17,0.828,0.41,0.208,0.1505,6
"2583","M",0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,6
"2585","M",0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9
"2594","F",0.595,0.47,0.155,1.1775,0.542,0.269,0.31,9
"2597","F",0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
"2602","F",0.615,0.5,0.165,1.327,0.6,0.3015,0.355,10
"2607","M",0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,10
"2608","F",0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,9
"2625","M",0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
"2643","I",0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
"2651","I",0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,8
"2656","M",0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7
"2660","F",0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
"2668","F",0.585,0.45,0.15,0.938,0.467,0.203,0.225,7
"2672","F",0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8
"2675","M",0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,9
"2682","M",0.62,0.49,0.155,1.1,0.505,0.2475,0.31,9
"2688","M",0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,10
"2698","M",0.66,0.515,0.165,1.4465,0.694,0.298,0.3755,10
"2702","F",0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,13
"2708","M",0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
"2712","I",0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
"2714","I",0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4
"2718","I",0.345,0.255,0.095,0.183,0.075,0.0385,0.06,6
"2723","I",0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,7
"2727","I",0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
"2729","I",0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
"2735","I",0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8
"2738","I",0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
"2740","I",0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,7
"2747","I",0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8
"2750","I",0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,9
"2764","I",0.55,0.425,0.135,0.656,0.257,0.17,0.203,10
"2766","I",0.555,0.435,0.145,0.6975,0.262,0.1575,0.24,11
"2771","F",0.57,0.445,0.155,1.017,0.5265,0.2025,0.265,10
"2772","F",0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,9
"2780","M",0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9
"2781","M",0.59,0.475,0.14,0.977,0.4625,0.2025,0.275,10
"2795","F",0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
"2797","M",0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,10
"2800","M",0.64,0.495,0.17,1.139,0.5395,0.282,0.285,10
"2805","F",0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,9
"2807","F",0.675,0.525,0.17,1.711,0.8365,0.352,0.475,9
"2809","F",0.705,0.54,0.205,1.757,0.8265,0.417,0.461,9
"2825","I",0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7
"2827","M",0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,9
"2835","F",0.57,0.425,0.13,0.782,0.3695,0.1745,0.1965,8
"2837","M",0.58,0.445,0.16,0.984,0.49,0.201,0.27,9
"2849","F",0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9
"2854","F",0.645,0.49,0.16,1.144,0.5015,0.289,0.319,8
"2859","M",0.695,0.54,0.195,1.691,0.768,0.363,0.4755,11
"2860","F",0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,11
"2862","F",0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,12
"2866","I",0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4
"2868","I",0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,6
"2880","I",0.47,0.385,0.13,0.587,0.264,0.117,0.174,8
"2887","M",0.505,0.365,0.115,0.521,0.25,0.096,0.15,8
"2896","I",0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
"2897","I",0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,8
"2900","I",0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8
"2901","F",0.55,0.435,0.14,0.745,0.347,0.174,0.2265,9
"2908","M",0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,10
"2911","M",0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
"2920","F",0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
"2921","M",0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10
"2925","M",0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9
"2926","I",0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,10
"2931","F",0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11
"2937","M",0.625,0.495,0.175,1.2075,0.531,0.281,0.3525,11
"2940","F",0.625,0.49,0.145,0.92,0.437,0.1735,0.28,10
"2945","M",0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7
"2947","M",0.635,0.52,0.175,1.292,0.6,0.269,0.367,11
"2949","F",0.635,0.5,0.19,1.29,0.593,0.3045,0.352,8
"2953","F",0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,12
"2957","F",0.65,0.565,0.2,1.6645,0.753,0.367,0.43,12
"2960","F",0.66,0.525,0.16,1.277,0.4975,0.319,0.394,13
"2963","I",0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,9
"2971","M",0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,13
"2973","M",0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
"2979","M",0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
"2982","F",0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
"2991","F",0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9
"2993","I",0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,8
"2998","F",0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9
"3007","M",0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,11
"3015","I",0.395,0.3,0.09,0.253,0.1155,0.05,0.075,6
"3020","I",0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8
"3022","I",0.455,0.355,0.105,0.372,0.138,0.0765,0.135,9
"3023","I",0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8
"3024","I",0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
"3032","I",0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,8
"3034","M",0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,8
"3035","M",0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10
"3036","I",0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,10
"3041","F",0.57,0.47,0.14,0.871,0.385,0.211,0.2315,10
"3042","M",0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,9
"3044","M",0.575,0.445,0.14,0.737,0.325,0.1405,0.237,10
"3058","M",0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13
"3059","I",0.62,0.475,0.16,0.907,0.371,0.167,0.3075,11
"3062","M",0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10
"3076","F",0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11
"3077","F",0.68,0.56,0.195,1.664,0.58,0.3855,0.545,11
"3078","M",0.685,0.51,0.165,1.545,0.686,0.3775,0.4055,10
"3080","F",0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
"3082","F",0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965,14
"3088","I",0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,7
"3093","M",0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11
"3094","F",0.52,0.43,0.15,0.728,0.302,0.1575,0.235,11
"3098","M",0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11
"3104","M",0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,11
"3106","I",0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5
"3108","I",0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5
"3114","I",0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
"3115","I",0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7
"3134","F",0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9
"3135","M",0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8
"3145","F",0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9
"3164","F",0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9
"3169","M",0.605,0.47,0.115,1.114,0.3925,0.291,0.31,15
"3173","F",0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11
"3175","M",0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
"3181","F",0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
"3189","M",0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
"3190","M",0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7
"3196","F",0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18
"3200","F",0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
"3203","F",0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
"3212","F",0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10
"3222","M",0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9
"3231","M",0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11
"3233","M",0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
"3242","M",0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,14
"3244","F",0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14
"3246","F",0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13
"3257","F",0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
"3258","M",0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
"3263","F",0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,14
"3264","M",0.565,0.45,0.115,0.9085,0.398,0.197,0.29,17
"3273","M",0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,11
"3281","M",0.69,0.54,0.185,1.6195,0.533,0.353,0.555,24
"3283","F",0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13
"3298","M",0.645,0.5,0.19,1.229,0.524,0.278,0.395,17
"3299","F",0.62,0.5,0.175,1.146,0.477,0.23,0.39,13
"3305","F",0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,16
"3306","I",0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
"3308","F",0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
"3314","M",0.4,0.31,0.11,0.314,0.138,0.057,0.1,11
"3316","M",0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9
"3323","F",0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15
"3324","F",0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12
"3325","I",0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12
"3333","I",0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
"3339","F",0.685,0.525,0.175,1.71,0.5415,0.309,0.58,16
"3349","I",0.49,0.385,0.115,0.683,0.3265,0.1615,0.165,13
"3350","I",0.47,0.375,0.105,0.468,0.1665,0.108,0.17,10
"3358","I",0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8
"3359","M",0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
"3360","I",0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
"3361","F",0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19
"3366","I",0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11
"3372","M",0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
"3381","I",0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5
"3383","M",0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
"3390","M",0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16
"3392","M",0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13
"3394","M",0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10
"3398","F",0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,12
"3409","I",0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7
"3411","I",0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6
"3412","I",0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7
"3413","I",0.48,0.355,0.115,0.5785,0.25,0.106,0.184,8
"3417","M",0.56,0.45,0.14,0.9,0.472,0.182,0.218,7
"3421","F",0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
"3426","F",0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10
"3434","I",0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6
"3437","I",0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6
"3439","I",0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
"3443","M",0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
"3452","M",0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8
"3459","F",0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8
"3466","F",0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9
"3467","M",0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9
"3469","F",0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,11
"3473","I",0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
"3476","I",0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
"3480","I",0.44,0.33,0.11,0.38,0.197,0.079,0.09,7
"3482","I",0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
"3484","I",0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
"3486","I",0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
"3487","F",0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8
"3492","M",0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
"3493","M",0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
"3496","M",0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8
"3498","F",0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,9
"3502","M",0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12
"3504","F",0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
"3510","F",0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
"3515","M",0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10
"3524","I",0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4
"3529","I",0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,6
"3532","I",0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,7
"3537","I",0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8
"3548","I",0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9
"3549","F",0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
"3552","I",0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
"3555","I",0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8
"3558","I",0.54,0.41,0.135,0.7025,0.31,0.177,0.2,8
"3559","I",0.55,0.425,0.155,0.8725,0.412,0.187,0.2425,10
"3567","M",0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9
"3568","I",0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,10
"3574","F",0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,10
"3575","F",0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,9
"3586","M",0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,9
"3590","M",0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,11
"3591","F",0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11
"3599","M",0.715,0.52,0.18,1.6,0.708,0.3525,0.445,12
"3600","M",0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
"3603","I",0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5
"3604","I",0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7
"3614","F",0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11
"3621","F",0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9
"3629","F",0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,13
"3630","I",0.27,0.205,0.05,0.084,0.03,0.0185,0.029,6
"3632","I",0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5
"3638","I",0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
"3642","I",0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9
"3646","I",0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
"3647","I",0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9
"3650","I",0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
"3661","F",0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10
"3670","I",0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9
"3671","M",0.59,0.465,0.135,0.9895,0.4235,0.199,0.28,8
"3676","M",0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
"3679","F",0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
"3705","M",0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11
"3707","F",0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11
"3708","M",0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
