"","y","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"2408",1,"I",0.625,0.43,0.175,1.411,0.572,0.297,0.395,12
"3423",1,"M",0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
"3056",1,"F",0.61,0.495,0.16,1.089,0.469,0.198,0.384,11
"2578",1,"I",0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
"1283",1,"M",0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9
"1682",1,"F",0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,11
"3102",1,"M",0.595,0.455,0.145,0.942,0.43,0.182,0.277,11
"1760",1,"F",0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12
"2621",1,"F",0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10
"4083",1,"I",0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9
"1910",1,"F",0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9
"1501",1,"F",0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10
"3070",1,"M",0.655,0.54,0.165,1.403,0.6955,0.2385,0.42,11
"2455",1,"I",0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,5
"3974",1,"I",0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7
"1186",1,"F",0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9
"936",1,"I",0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
"309",1,"M",0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
"432",1,"M",0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20
"887",1,"F",0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
"286",1,"F",0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10
"2208",1,"M",0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8
"3152",1,"F",0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21
"3433",1,"I",0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6
"3497",1,"M",0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8
"1233",1,"I",0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7
"1390",1,"M",0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
"2516",1,"F",0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
"1667",1,"F",0.605,0.47,0.155,0.974,0.393,0.224,0.3345,9
"3644",1,"I",0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8
"2223",1,"F",0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13
"2126",1,"M",0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8
"3508",1,"F",0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11
"2344",1,"I",0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6
"398",1,"M",0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
"156",1,"M",0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
"3187",1,"F",0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
"3138",1,"M",0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
"1872",1,"I",0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9
"2717",1,"I",0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,6
"1706",1,"M",0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,11
"2351",1,"F",0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12
"2775",1,"F",0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9
"1987",1,"I",0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4
"2418",1,"M",0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
"3920",1,"I",0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11
"916",1,"I",0.375,0.28,0.09,0.215,0.084,0.06,0.055,6
"461",1,"M",0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11
"2098",1,"M",0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7
"3060",1,"F",0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11
"3818",1,"M",0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8
"2588",1,"F",0.57,0.445,0.15,0.995,0.504,0.185,0.2505,9
"1472",1,"M",0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8
"3265",1,"F",0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12
"1328",1,"M",0.565,0.39,0.125,0.744,0.352,0.13,0.1685,11
"3195",1,"F",0.61,0.47,0.16,1.017,0.426,0.2255,0.32,12
"2022",1,"M",0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9
"1883",1,"M",0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
"2379",1,"I",0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,12
"3713",1,"F",0.705,0.53,0.17,1.564,0.612,0.394,0.44,10
"823",1,"I",0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
"112",1,"M",0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
"1350",1,"M",0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10
"3698",1,"M",0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12
"1763",1,"M",0.77,0.62,0.195,2.5155,1.1155,0.6415,0.642,12
"2875",1,"I",0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8
"3556",1,"M",0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,8
"616",1,"M",0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
"3236",1,"M",0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
"3431",1,"I",0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
"2760",1,"F",0.545,0.44,0.15,0.9475,0.366,0.239,0.275,8
"2227",1,"I",0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7
"238",1,"I",0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3
"1847",1,"I",0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
"3491",1,"M",0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10
"3054",1,"F",0.6,0.45,0.14,0.869,0.3425,0.195,0.291,11
"3149",1,"F",0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12
"1112",1,"I",0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,8
"3545",1,"I",0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
"734",1,"M",0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13
"2071",1,"I",0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11
"1536",1,"I",0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6
"1888",1,"I",0.56,0.445,0.165,0.832,0.3455,0.179,0.279,9
"1342",1,"M",0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10
"1465",1,"F",0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
"3356",1,"I",0.435,0.34,0.11,0.407,0.1685,0.073,0.13,10
"3702",1,"M",0.66,0.51,0.18,1.261,0.5,0.2335,0.339,10
"2856",1,"F",0.655,0.515,0.155,1.309,0.524,0.346,0.385,11
"1788",1,"I",0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8
"2943",1,"M",0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
"1681",1,"M",0.62,0.515,0.175,1.221,0.535,0.241,0.395,13
"3995",1,"I",0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4
"1854",1,"I",0.495,0.38,0.145,0.5,0.205,0.148,0.1505,8
"22",1,"I",0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
"2320",1,"F",0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15
"355",1,"M",0.635,0.515,0.17,1.275,0.509,0.286,0.34,16
"1502",1,"M",0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,9
"3520",1,"M",0.715,0.545,0.18,1.7405,0.871,0.347,0.449,10
"1262",1,"I",0.45,0.33,0.105,0.448,0.208,0.089,0.12,9
"1474",1,"F",0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
"3717",1,"I",0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
"439",1,"M",0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9
"3672",1,"I",0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10
"3363",1,"M",0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
"3840",1,"M",0.52,0.425,0.125,0.79,0.372,0.205,0.19,8
"3096",1,"M",0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9
"2816",1,"I",0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7
"1717",1,"F",0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
"3787",1,"M",0.625,0.5,0.185,1.2425,0.5995,0.248,0.335,10
"543",1,"M",0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15
"1318",1,"I",0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,10
"377",1,"M",0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
"2745",1,"M",0.48,0.375,0.12,0.5895,0.2535,0.128,0.172,11
"3074",1,"M",0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10
"114",1,"M",0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
"1758",1,"F",0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655,11
"457",1,"F",0.64,0.54,0.175,1.221,0.51,0.259,0.39,15
"1138",1,"F",0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10
"669",1,"M",0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13
"1259",1,"I",0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8
"655",1,"F",0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
"3385",1,"F",0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7
"3139",1,"M",0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10
"2112",1,"I",0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
"2799",1,"M",0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10
"458",1,"I",0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9
"3202",1,"F",0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6
"3404",1,"I",0.35,0.265,0.11,0.209,0.066,0.059,0.075,9
"3438",1,"I",0.395,0.3,0.09,0.279,0.134,0.049,0.075,8
"1969",1,"M",0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12
"3859",1,"F",0.565,0.45,0.165,0.9765,0.322,0.244,0.37,12
"849",1,"F",0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8
"866",1,"F",0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
"4142",1,"F",0.65,0.505,0.165,1.357,0.5725,0.281,0.43,11
"2857",1,"F",0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,11
"2294",1,"I",0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6
"1208",1,"F",0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
"3251",1,"F",0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9
"2873",1,"I",0.4,0.315,0.09,0.3245,0.151,0.073,0.088,8
"3704",1,"F",0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11
"1267",1,"I",0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9
"413",1,"F",0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11
"1765",1,"I",0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5
"540",1,"F",0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10
"2509",1,"I",0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,6
"1931",1,"M",0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11
"3745",1,"I",0.275,0.205,0.065,0.101,0.041,0.021,0.034,5
"4159",1,"I",0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
"752",1,"M",0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
"3855",1,"F",0.485,0.4,0.155,0.731,0.236,0.183,0.255,11
"453",1,"F",0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
"3903",1,"I",0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,4
"521",1,"M",0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3
"2089",1,"F",0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
"3165",1,"F",0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13
"1824",1,"M",0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
"781",1,"M",0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13
"2306",1,"F",0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
"1984",1,"F",0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11
"341",1,"M",0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14
"1966",1,"M",0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11
"897",1,"I",0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
"2108",1,"F",0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
"2630",1,"I",0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6
"2539",1,"M",0.66,0.535,0.2,1.791,0.733,0.318,0.54,15
"200",1,"M",0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
"2277",1,"F",0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14
"654",1,"M",0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7
"3159",1,"M",0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9
"1108",1,"I",0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8
"3284",1,"F",0.59,0.475,0.155,0.9715,0.371,0.235,0.28,11
"586",1,"I",0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11
"2551",1,"I",0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5
"2236",1,"M",0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13
"2489",1,"M",0.5,0.385,0.145,0.7615,0.246,0.195,0.204,14
"1816",1,"F",0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,11
"2546",1,"I",0.205,0.15,0.065,0.04,0.02,0.011,0.013,4
"1920",1,"I",0.605,0.49,0.165,1.071,0.482,0.1935,0.352,10
"908",1,"I",0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
"95",1,"M",0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
"3267",1,"F",0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11
"3229",1,"I",0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
"243",1,"I",0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
"1489",1,"M",0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9
"2652",1,"I",0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,8
"2263",1,"F",0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17
"2767",1,"F",0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,8
"2350",1,"F",0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9
"1753",1,"M",0.71,0.56,0.22,2.015,0.9215,0.454,0.566,11
"1769",1,"I",0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8
"4097",1,"F",0.635,0.5,0.175,1.477,0.684,0.3005,0.39,12
"1848",1,"I",0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
"1761",1,"F",0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11
"3101",1,"M",0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10
"895",1,"I",0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3
"1921",1,"F",0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9
"3523",1,"I",0.24,0.185,0.06,0.0655,0.0295,5e-04,0.02,4
"3754",1,"I",0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
"1481",1,"F",0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9
"2420",1,"F",0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
"1257",1,"I",0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
"1781",1,"M",0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
"4057",1,"M",0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,11
"1313",1,"F",0.55,0.405,0.125,0.651,0.2965,0.137,0.2,9
"2531",1,"F",0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,9
"1087",1,"I",0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8
"960",1,"M",0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
"2839",1,"M",0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9
"4133",1,"I",0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10
"3168",1,"M",0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15
"1427",1,"F",0.745,0.57,0.215,2.25,1.1565,0.446,0.558,9
"459",1,"I",0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,10
"1882",1,"I",0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6
"2006",1,"I",0.395,0.29,0.095,0.3,0.158,0.068,0.078,7
"924",1,"I",0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
"1523",1,"M",0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
"2544",1,"F",0.7,0.525,0.19,1.6015,0.707,0.365,0.43,10
"2154",1,"I",0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5
"3706",1,"F",0.67,0.54,0.2,1.46,0.6435,0.328,0.4165,9
"4155",1,"I",0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6
"143",1,"M",0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
"1879",1,"I",0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10
"1805",1,"M",0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10
"1147",1,"M",0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9
"2357",1,"M",0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13
"2334",1,"M",0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13
"270",1,"F",0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
"4113",1,"F",0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9
"2456",1,"I",0.235,0.17,0.065,0.0625,0.023,0.014,0.022,6
"2670",1,"M",0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
"1163",1,"M",0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9
"204",1,"F",0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
"782",1,"M",0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12
"856",1,"F",0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9
"3066",1,"F",0.64,0.485,0.145,1.1335,0.5525,0.2505,0.3015,11
"3374",1,"M",0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19
"1677",1,"M",0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,10
"141",1,"F",0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
"2436",1,"F",0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
"2207",1,"F",0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5
"1383",1,"F",0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9
"3514",1,"F",0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9
"541",1,"F",0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15
"4082",1,"M",0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,11
"3171",1,"F",0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14
"1364",1,"M",0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10
"2842",1,"M",0.595,0.435,0.16,1.057,0.4255,0.224,0.31,9
"2268",1,"F",0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15
"3988",1,"F",0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
"2823",1,"I",0.45,0.335,0.105,0.362,0.1575,0.0795,0.1095,7
"3914",1,"I",0.54,0.4,0.145,0.757,0.315,0.181,0.215,11
"135",1,"I",0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
"3291",1,"F",0.51,0.395,0.12,0.6175,0.262,0.122,0.193,12
"3089",1,"I",0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8
"1196",1,"F",0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
"3692",1,"M",0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
"153",1,"F",0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10
"795",1,"M",0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12
"2039",1,"I",0.28,0.215,0.08,0.132,0.072,0.022,0.033,5
"740",1,"M",0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10
"2199",1,"I",0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6
"4114",1,"I",0.56,0.42,0.14,0.837,0.414,0.214,0.2,8
"918",1,"I",0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7
"2783",1,"M",0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8
"2096",1,"M",0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
"2392",1,"M",0.37,0.29,0.09,0.241,0.11,0.045,0.069,10
"295",1,"M",0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
"2435",1,"I",0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
"2689",1,"M",0.63,0.465,0.15,1.027,0.537,0.188,0.176,8
"3322",1,"I",0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
"2464",1,"M",0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17
"3810",1,"F",0.52,0.375,0.135,0.5375,0.221,0.117,0.17,8
"2106",1,"M",0.585,0.48,0.185,1.04,0.434,0.265,0.285,10
"35",1,"F",0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
"1003",1,"F",0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
"3100",1,"M",0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,9
"1012",1,"F",0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
"2903",1,"I",0.56,0.435,0.13,0.777,0.354,0.173,0.222,9
"930",1,"I",0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
"1236",1,"I",0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7
"2494",1,"I",0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,8
"862",1,"F",0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12
"3583",1,"F",0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
"3880",1,"F",0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,15
"2229",1,"F",0.505,0.39,0.175,0.692,0.267,0.15,0.215,12
"1613",1,"I",0.55,0.425,0.15,0.639,0.269,0.1345,0.217,9
"70",1,"I",0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6
"768",1,"M",0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9
"1173",1,"M",0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8
"336",1,"M",0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11
"3271",1,"F",0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,13
"2779",1,"F",0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,8
"1084",1,"I",0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
"2967",1,"M",0.67,0.54,0.175,1.482,0.739,0.2925,0.365,10
"3143",1,"I",0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5
"237",1,"I",0.075,0.055,0.01,0.002,0.001,5e-04,0.0015,1
"3967",1,"I",0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6
"2685",1,"F",0.625,0.49,0.155,1.115,0.484,0.277,0.3095,9
"2550",1,"I",0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,5
"2395",1,"I",0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14
"2999",1,"F",0.635,0.51,0.17,1.2235,0.532,0.271,0.354,9
"1741",1,"F",0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10
"1972",1,"F",0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,11
"2617",1,"F",0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9
"3788",1,"M",0.63,0.49,0.16,1.09,0.407,0.224,0.354,12
"2557",1,"I",0.38,0.285,0.085,0.237,0.115,0.0405,0.07,6
"3490",1,"F",0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8
"648",1,"M",0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
"2561",1,"I",0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
"2298",1,"M",0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
"1684",1,"F",0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12
"687",1,"F",0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13
"2846",1,"F",0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10
"1559",1,"I",0.425,0.315,0.08,0.303,0.131,0.0585,0.095,7
"2996",1,"M",0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9
"2810",1,"M",0.71,0.565,0.2,1.601,0.706,0.321,0.45,11
"2954",1,"F",0.645,0.52,0.17,1.197,0.526,0.2925,0.317,11
"2777",1,"M",0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
"43",1,"I",0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
"651",1,"M",0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
"3701",1,"F",0.66,0.53,0.17,1.431,0.622,0.309,0.398,10
"1371",1,"M",0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
"2615",1,"M",0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,9
"893",1,"I",0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6
"2222",1,"M",0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17
"4071",1,"I",0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
"2264",1,"F",0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13
"3966",1,"I",0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,6
"4170",1,"M",0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10
"2788",1,"F",0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11
"409",1,"M",0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
"3270",1,"F",0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12
"3888",1,"F",0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9
"4080",1,"M",0.55,0.385,0.13,0.7275,0.343,0.1625,0.19,8
"2787",1,"M",0.61,0.48,0.185,1.3065,0.6895,0.2915,0.29,10
"2529",1,"F",0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,9
"3245",1,"F",0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19
"3336",1,"F",0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12
"824",1,"I",0.385,0.29,0.095,0.312,0.143,0.0635,0.086,6
"1382",1,"F",0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
"3607",1,"F",0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7
"4004",1,"I",0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
"580",1,"F",0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
"2744",1,"I",0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,7
"3517",1,"F",0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11
